! Written by JB Pacific Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.0833,3.497,3.9097,3.9,2.1547,7.6895,2.5123,2.3693,3.2077,2.9933,3.3897
0.1667,8.736,5.9962,5.85,3.9585,2.4375,4.602,4.0462,3.0778,2.652,3.77
0.25,5.2487,6.5553,3.9,5.1578,0.8222,4.7417,5.3007,3.0778,3.6465,2.6357
0.3333,3.5295,3.627,4.55,6.955,4.5923,3.7668,4.3225,3.7115,2.3075,1.6185
0.4167,3.5295,2.9283,2.925,4.9173,6.6333,4.7417,3.7668,3.9163,2.3335,2.0995
0.5,3.5295,2.7885,1.95,2.7593,2.8698,3.627,3.9065,3.7863,3.2955,3.341
0.5833,2.3822,0.975,2.275,3.237,0.8352,2.2328,3.7668,3.5848,6.9257,4.9433
0.6667,0.6532,2.093,3.9,1.6803,3.7798,2.9283,3.068,4.9108,5.9995,6.6593
0.75,1.3942,3.627,3.25,1.6803,2.8405,3.3475,1.9532,3.2273,2.3465,4.043
0.8333,0,0,0,0,0,0,0,0,0,0
