! Written by JB Pacific Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.0833,1.7873,3.2393,5.9346,1.3783,2.9652,1.5624,2.8916,2.6012,1.8978,1.7382
0.1667,2.8507,4.5644,6.8957,3.0798,3.7832,1.7055,4.4499,3.3252,3.9796,3.816
0.25,5.2925,5.3252,5.2925,3.4274,2.1922,1.7055,1.9264,5.3456,4.8589,2.773
0.3333,5.7015,4.5644,5.2925,5.8242,2.2699,1.5624,3.7301,5.2025,2.3477,1.227
0.4167,8.9571,4.5644,4.1718,7.2843,4.5317,4.8303,0.8425,3.1779,0.9448,0.8466
0.5,4.0736,1.9796,2.4049,0.9162,3.6974,6.5317,2.4049,4.6258,1.4724,2.5072
0.5833,4.0736,0.8753,2.2454,2.7199,7.8405,3.8364,5.8937,3.1779,2.4581,4.5031
0.6667,1.3047,2.4744,1.6033,3.1738,2.5971,6.9571,3.6074,4.4785,2.728,4.6544
0.75,0.9366,3.8037,0.9611,4.1718,1.9918,2.8385,3.8487,2.4581,1.8691,5.8242
0.8333,3.4601,3.043,1.1247,4.4704,4.3518,4.9693,3.0061,1.591,6.8262,4.9407
0.9167,2.1186,3.043,1.9264,3.1657,2.2004,2.4131,4.4499,2.4581,6.9816,4.9407
1.0,0.3436,3.4233,3.0471,1.2883,2.4785,1.9877,3.8487,2.4581,4.5358,3.1288
1.0833,0,0,0,0,0,0,0,0,0,0
