! Written by JB Pacific Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.25,18.1395,35.8092,16.1559,12.6324,27.0135,27.144,17.9829,18.0612,34.1649,18.792
0.5,20.619,16.3908,6.5772,42.1776,25.3431,32.0508,32.4945,31.1634,25.6041,11.1447
0.75,18.4527,47.241,10.7271,12.2148,25.9956,15.6861,27.666,20.1492,14.7987,0.7569
1.0,15.5295,17.3043,21.9501,31.9464,29.9106,16.965,25.1082,21.6891,23.0463,7.7517
1.25,22.4199,32.0769,12.1365,39.8286,31.2156,46.6668,24.7689,17.9568,23.9076,32.1813
1.5,13.4415,12.9717,15.5817,23.6466,21.7674,16.1559,13.5198,18.7398,28.188,28.6056
1.75,15.9471,6.9948,55.4364,19.314,11.6928,5.2722,18.4788,17.1477,23.9076,23.229
2.0,16.9389,0.9657,22.707,12.9978,21.4542,15.399,18.2439,21.3237,18.5049,60.7869
2.25,30.1716,1.6965,15.7905,14.1984,8.1171,39.6198,24.1164,6.5772,15.9471,25.9173
2.5,21.7413,25.3953,19.2357,10.2573,18.1917,8.9523,18.531,14.3289,16.4952,10.7271
2.75,48.2067,37.1664,34.6608,28.7883,22.7592,12.5019,18.3222,17.3043,17.9307,15.1902
3.0,19.3923,26.9874,30.0411,12.9978,17.5392,24.5862,21.7674,56.5587,18.5049,25.9173
3.25,0,0,0,0,0,0,0,0,0,0
