! Written by JB Pacific Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
2.0,73.0752,80.2893,40.8453,11.8332,22.9398,20.9676,26.8323,46.9695,29.9982,27.4551
4.0,23.8221,0.2595,47.9037,22.836,43.8036,15.9852,21.3309,62.28,23.1993,23.7183
6.0,0.6228,47.2809,9.7572,16.2966,64.3041,10.5357,41.3643,34.9806,5.8647,27.507
8.0,0.2595,49.7721,0.7785,7.1622,63.0066,12.7155,39.6516,33.5793,36.2781,25.6386
10.0,3.5811,0.6747,3.5292,10.4319,29.3754,8.304,10.6395,29.4273,27.0399,31.2438
12.0,1.3494,4.2558,17.5422,12.5598,36.6933,19.0473,19.3068,16.7118,47.3847,38.0427
14.0,27.6108,0.0,41.3124,2.1279,11.7813,14.2725,33.3198,11.8332,18.0093,47.3847
16.0,20.9157,0.0,28.0779,13.3383,30.5691,26.7804,22.5246,35.1882,21.2271,18.3207
18.0,86.0502,0.0,2.7507,32.4894,26.988,41.8314,31.659,31.659,25.6386,41.2605
20.0,46.3467,0.0,4.3077,30.9324,24.8601,41.9871,28.9083,49.7721,49.0455,37.2642
22.0,4.0482,0.0,100.1151,29.5311,15.6219,67.5219,65.0826,34.6692,22.4208,47.748
24.0,5.8647,0.0,49.4607,66.5358,34.4097,59.1141,26.1576,23.8221,39.4959,32.1261
26.0,21.6423,87.5034,36.2262,84.3894,14.6358,53.3532,59.8926,23.7702,35.292,37.4718
28.0,39.8073,9.6015,27.6627,29.064,9.0306,46.3986,10.1205,9.4458,43.3884,26.2614
30.0,41.6238,117.3978,14.4282,7.4217,20.9676,21.1752,10.7433,23.2512,36.7971,14.9472
32.0,40.0149,88.8009,35.4477,42.7656,29.9982,16.1928,20.3967,18.165,34.1502,16.5042
34.0,33.2679,6.0204,27.2994,71.8815,16.608,1.8684,24.393,22.6803,15.1029,8.4078
36.0,49.0974,27.1437,31.5552,27.4032,23.4069,40.9491,26.6766,10.7952,8.6673,17.6979
38.0,0,0,0,0,0,0,0,0,0,0
