! Written by JB Pacific Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.0833,4.1268,6.7513,6.8961,6.697,9.774,4.7422,7.5658,6.8599,7.0047,2.6969
0.1667,10.6971,5.1947,9.9188,11.9822,11.1858,7.7649,10.0636,5.8825,14.0637,1.4299
0.25,2.8236,3.6743,11.2944,14.4076,8.3984,6.0454,9.05,8.8328,8.1993,1.6833
0.3333,6.9323,12.2356,11.2944,13.0501,9.7921,6.9142,9.05,9.8283,7.602,1.6471
0.4167,2.7331,11.6202,5.5024,8.3079,11.2039,8.6337,9.5568,6.5341,5.2671,7.1857
0.5,6.6789,14.9868,11.0229,5.0499,15.4031,13.8284,11.5659,3.6743,2.9322,7.5115
0.5833,11.3306,10.6971,8.2717,4.5431,15.4031,10.3713,9.5568,2.5521,2.6607,6.1721
0.6667,1.5204,9.4844,15.1497,7.1857,12.5976,12.9596,8.0364,10.8057,0.8145,4.887
0.75,3.9277,4.2716,6.0635,12.127,13.9913,7.783,8.5432,7.8554,1.0679,7.3667
0.8333,16.2719,10.0817,8.5432,17.2855,8.3984,5.1766,3.7648,11.7831,2.4978,21.4304
0.9167,12.0546,7.3305,12.9415,0.0,2.3349,5.1766,1.2489,11.7831,4.0906,2.7693
1.0,10.679,3.3666,12.127,0.6878,3.258,4.3259,4.525,6.878,10.5523,2.1901
1.0833,7.9097,3.0589,3.3123,3.2942,4.9051,3.4571,9.5568,8.8328,8.7785,4.7965
1.1667,4.2173,1.2308,8.2717,5.7377,7.6925,3.4571,11.0591,4.9051,7.9097,15.1135
1.25,3.3485,4.2716,9.9188,6.0997,8.3984,3.4571,11.0591,3.6019,4.3983,7.3305
1.3333,5.2852,2.4435,6.6065,2.715,8.3984,3.0227,8.5432,6.2264,12.308,5.5567
1.4167,1.81,6.4255,6.0635,8.8147,4.9051,3.0227,4.525,6.878,10.5523,6.0816
1.5,2.3168,7.3305,4.1268,7.3124,4.1992,6.0454,2.0091,9.8283,5.2671,8.5251
1.5833,2.6788,13.4483,2.7512,13.6655,3.9639,11.2401,5.0318,5.9006,7.0228,17.919
1.6667,15.1859,11.6202,2.2082,13.6655,3.0408,11.2401,9.5568,7.8554,12.308,3.7286
1.75,18.8964,10.0817,6.6065,6.7151,4.9051,11.2401,10.5523,9.8283,14.0637,14.1904
1.8333,13.5388,9.7921,3.0227,5.7558,4.1992,15.5479,6.0273,9.8283,12.308,15.385
1.9167,9.5387,7.3305,4.1268,2.2082,2.4435,10.3713,4.525,7.8554,10.5523,4.8508
2.0,6.4979,4.2716,4.9594,3.6924,2.2082,5.1766,6.0273,6.1902,8.7785,10.5523
2.0833,0,0,0,0,0,0,0,0,0,0
