! Written by JB Pacific Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.5,5.8,25.84,18.8,19.56,26.4,82.68,0.0,36.16,44.92,23.24
1.0,25.48,32.44,18.0,16.0,101.72,79.92,0.6,24.84,13.4,12.04
1.5,33.96,55.32,17.36,32.12,98.04,14.88,22.68,39.68,28.68,18.32
2.0,28.6,53.4,23.64,27.64,3.56,23.04,21.52,36.72,57.84,8.76
2.5,45.6,10.28,18.6,22.56,0.68,11.16,41.28,14.6,26.76,2.72
3.0,56.32,6.4,23.4,24.4,0.32,3.28,109.88,15.64,16.24,36.64
3.5,25.48,5.6,26.44,23.96,0.0,0.84,44.76,25.68,5.24,33.36
4.0,12.96,1.92,24.12,31.64,0.0,0.84,25.0,23.8,3.84,39.36
4.5,4.48,2.8,19.4,29.44,0.68,0.84,5.24,21.28,3.84,42.64
5.0,8.48,2.48,20.96,26.12,0.0,0.84,0.0,9.48,7.64,29.0
5.5,17.0,64.84,24.76,22.96,0.0,0.84,0.0,4.32,35.84,17.48
6.0,8.48,21.56,24.08,16.72,0.0,0.84,0.0,7.52,32.96,23.52
6.5,12.52,26.12,27.68,27.04,0.0,2.92,0.0,19.2,38.72,30.08
7.0,21.88,31.48,27.36,12.76,1.36,82.88,0.0,25.88,9.08,25.16
7.5,17.0,26.68,23.0,18.0,39.6,41.04,5.8,21.28,7.64,25.16
8.0,13.4,15.6,21.56,18.8,67.44,6.92,43.6,22.56,5.72,15.32
8.5,33.52,3.8,18.84,19.48,37.6,18.2,73.24,25.04,26.76,8.76
9.0,29.04,13.44,22.0,10.8,22.6,28.04,6.4,26.32,34.88,8.44
9.5,0,0,0,0,0,0,0,0,0,0
