! Written by JB Pacific Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.0833,2.4647,4.4669,8.1836,1.9007,4.089,2.1545,3.9875,3.587,2.617,2.397
0.1667,3.9311,6.2942,9.509,4.2469,5.217,2.3519,6.1363,4.5853,5.4877,5.2621
0.25,7.2982,7.3433,7.2982,4.7263,3.023,2.3519,2.6564,7.3715,6.7003,3.8239
0.3333,7.8622,6.2942,7.2982,8.0314,3.1302,2.1545,5.1437,7.1741,3.2374,1.692
0.4167,12.3516,6.2942,5.7528,10.0448,6.2491,6.6608,1.1618,4.3823,1.3028,1.1675
0.5,5.6174,2.7298,3.3163,1.2634,5.0986,9.0071,3.3163,6.3788,2.0304,3.4573
0.5833,5.6174,1.207,3.0964,3.7506,10.8119,5.2903,8.1272,4.3823,3.3896,6.2096
0.6667,1.7992,3.4122,2.2109,4.3766,3.5814,9.5936,4.9745,6.1758,3.7619,6.4183
0.75,1.2916,5.2452,1.3254,5.7528,2.7467,3.9142,5.3072,3.3896,2.5775,8.0314
0.8333,4.7714,4.1962,1.551,6.1645,6.001,6.8526,4.1454,2.194,9.4132,6.8131
0.9167,2.9215,4.1962,2.6564,4.3654,3.0343,3.3276,6.1363,3.3896,9.6275,6.8131
1.0,0.4738,4.7207,4.2018,1.7766,3.4178,2.741,5.3072,3.3896,6.2548,4.3146
1.0833,0,0,0,0,0,0,0,0,0,0
