! Written by JB Pacific Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.0833,0.9733,5.1861,1.8385,1.1691,0.6695,2.1785,0.2575,2.678,0.9425,0.7313
0.1667,4.2076,3.6153,3.2806,1.6428,0.6489,5.3045,0.6541,1.3184,1.1073,0.8703
0.25,4.0015,3.0643,5.1088,1.1742,0.3296,2.8531,1.3287,0.4172,2.5287,0.7571
0.3333,4.6608,2.06,5.3715,0.8189,1.9416,2.987,1.9106,0.4172,1.5811,0.5974
0.4167,4.6608,2.024,4.0633,1.1742,3.4865,2.5802,1.5244,1.2412,3.3166,1.7407
0.5,4.2436,5.8813,2.0961,3.7544,1.9364,2.1733,0.6386,0.86,1.1073,3.296
0.5833,2.5647,2.6471,2.6214,3.7544,2.714,1.4935,2.6729,0.0,1.4214,3.4711
0.6667,2.1475,1.8952,1.8334,2.23,1.9364,1.2206,5.1397,11.0107,0.6334,4.3106
0.75,1.3287,1.3081,3.1467,3.2857,1.1639,1.3596,5.4539,3.157,0.6334,1.5914
0.8333,0.5253,1.2721,3.4093,3.9861,1.9364,0.5459,7.3594,1.133,0.4738,0.9116
0.9167,0.6283,2.1012,1.3081,4.223,0.5202,0.6798,2.7862,3.4196,1.8952,0.6386
1.0,1.03,1.9158,4.326,2.8171,0.4481,0.8137,0.685,1.5347,4.4238,0.2318
1.0833,1.0403,1.1484,1.1794,1.9931,2.5183,1.4935,0.0,1.8385,2.2094,0.2318
1.1667,0.5717,1.545,1.5707,2.1115,6.2006,2.1733,0.7983,0.6334,2.0549,2.1373
1.25,0.2781,1.7871,0.3914,1.7613,4.6505,1.0866,1.0043,0.6334,1.5811,2.1373
1.3333,0.2781,1.3957,0.2626,1.1742,5.0367,1.3596,0.6541,0.9425,4.5835,3.8368
1.4167,2.4411,1.3441,1.7046,2.5802,5.0367,2.3124,1.0197,1.4111,3.6359,3.6101
1.5,3.4814,1.4575,0.6541,1.6428,2.714,3.5329,1.8231,5.217,2.6831,4.0582
1.5833,4.3826,1.0609,0.1288,1.6428,1.4163,2.5802,3.466,3.1261,2.369,4.0582
1.6667,1.2721,1.7149,0.1288,2.8171,0.9064,0.6798,3.1621,0.8189,3.6359,2.8943
1.75,0.8755,2.7295,1.7046,2.1115,1.3544,2.0394,2.4874,3.6977,2.2094,2.6008
1.8333,0.9888,1.4111,3.5381,1.1742,1.3544,3.6668,6.077,2.2042,1.7356,2.6008
1.9167,1.9467,1.4678,1.3081,1.406,1.1639,4.2127,0.3399,1.2875,2.8428,2.7244
2.0,2.9715,1.4678,0.5253,1.0557,1.4163,2.1733,0.2575,2.5029,1.8952,1.4626
2.0833,0,0,0,0,0,0,0,0,0,0
