EventID,Duration,TimeStep,Region,Area,Increments
26,720,30,East Coast (South),500,3.32,2.62,2.37,2.52,2.88,2.44,2.1,3.3,4.02,3.12,1.84,2.67,2.25,6.29,2.44,2.41,4.51,3.49,10.51,4.97,8.96,9.12,8.48,3.37
27,720,30,East Coast (South),500,2.53,2.13,3.08,1.72,2.38,1.89,2.07,1.37,2.69,2.56,4.28,7.44,5.61,3.38,3.28,5.61,3.36,5.38,4.92,9.27,6.71,6.74,5.92,5.68
28,720,30,East Coast (South),500,3.02,4.53,4.47,2.25,1.57,1.41,1.54,1.12,2.09,3.08,5.06,6.56,8.37,8.69,7.59,4.98,4.47,4.4,4.21,5.12,5.63,4.87,2.6,2.37
29,720,30,East Coast (South),500,4.1,4.02,3.9,2.39,2.01,3.42,4.17,4.46,5.33,5.08,5.25,4.79,6.77,6.31,7.28,5.11,4.26,3.46,3.54,3.22,3.47,2.79,2.5,2.37
30,720,30,East Coast (South),500,1.2,1.79,2.64,3.38,2.57,2.59,2.48,2.46,2.04,2.14,2.59,2.65,5.11,4.51,3.14,3.72,9.21,5.96,6.7,10.24,5.95,8.49,6.5,1.94
31,720,30,East Coast (South),1000,1.38,2.15,2.88,4.24,2.53,2.93,1.5,1.51,2.07,2.46,1.84,3.21,2.69,7.12,10.41,7.02,5.99,6.57,6.77,8.91,6.15,3.65,2.92,3.1
32,720,30,East Coast (South),1000,5.08,3.46,5.17,3.62,1.96,2.96,2.17,3.41,1.3,1.4,1.44,3.12,2.23,0.93,5.08,10.99,4.36,5.33,5.42,6.67,4.84,4.25,9.13,5.68
33,720,30,East Coast (South),1000,4.32,3.48,4.15,4.77,4.1,4.25,4.36,4.5,6.86,6.24,5.8,5.19,3.42,9.1,3.16,3.95,4.11,3.41,2.18,1.6,2.44,2.24,2.85,3.52
34,720,30,East Coast (South),1000,2.98,3.78,2.35,3.19,4.09,3.33,5.21,4.34,6.17,6.22,4.36,3.2,3.91,4.97,4.13,4.34,5.08,6.65,4.42,3.04,2.97,5.1,4.4,1.77
35,720,30,East Coast (South),1000,3.09,4.61,4.23,3.89,2.47,2.04,2.26,1.74,2.31,2.6,3.78,6.02,7.77,8.33,7.43,4.78,4.58,3.95,3.85,4.32,4.83,5.38,2.82,2.92
36,720,30,East Coast (South),1000,0.23,0.46,1.9,3.73,4.38,3.92,4.08,4.69,5.85,7.73,6.17,6.75,7.27,6,6.41,5.38,5.09,3.98,4.57,3.71,2.64,2.61,2.05,0.4
37,720,30,East Coast (South),1000,1.46,1.08,2.03,1.93,3.66,8.79,6.23,2.79,4.51,6.52,4.72,5.23,4.3,7.02,6.16,7.04,5.57,6.16,1.26,0.92,1.36,5.23,5.1,0.93
38,720,30,East Coast (South),1000,2.15,3.14,3.5,5.66,5.37,4.41,4.32,5.33,4.99,3.98,5.03,4.99,5.83,5.65,5.64,5.53,3.86,3.65,3.59,3.45,3.03,2.86,2.49,1.55
39,720,30,East Coast (South),1000,2.97,3.72,2.39,1.81,2.67,2.95,3.17,2.48,2.46,3.75,2.04,2.07,4.67,3.87,3.52,4.22,4.94,5.71,7.11,7.6,6.62,7.17,8.8,3.29
40,720,30,East Coast (South),1000,2.15,2.39,3.57,4.42,3.95,3.99,3.71,3.81,3.55,3.71,4.93,4.01,4.27,3.54,4.2,4.02,4.79,4.59,4.89,4.87,5.37,4.58,5.94,4.75
41,720,30,East Coast (South),2500,2.48,1.52,2.14,1.74,4.2,4.29,4.33,4.77,5.67,7.16,6.62,3.95,5.66,5.17,6.29,7.44,3.22,1.82,3.35,5.15,3.25,1.79,4.77,3.22
42,720,30,East Coast (South),2500,1.77,3.03,3.65,4.92,3.08,3.45,1.52,1.45,2.15,2.85,2.11,3.45,3.16,6.07,7.92,7.09,5.67,6.38,6.03,8.97,6.21,3.42,2.85,2.8
43,720,30,East Coast (South),2500,4.99,3.55,5.39,3.79,2.15,3.02,2.15,3.39,1.46,1.49,1.52,3.12,2.42,1.15,4.87,10.56,4.28,5.38,5.95,6.67,4.57,4.17,8.57,5.39
44,720,30,East Coast (South),2500,1.63,1.34,1.14,1.53,3.47,2.12,2.62,4.34,4.3,5.13,5.96,5.91,3.87,4.53,6.2,8.19,6.28,6.42,7.75,5.68,3.78,3.59,1.99,2.23
45,720,30,East Coast (South),2500,2.43,3.39,2.15,2.97,5.37,3.75,5.81,4.69,5.59,5.98,5.68,3.86,4.48,4.81,3.13,3.47,3.85,6.03,3.75,3.8,4.22,5.01,3.99,1.79
46,720,30,East Coast (South),2500,5.21,4.09,4.4,3.6,4.19,4.02,4.66,4.41,4.99,4.95,5.6,4.48,6.16,5.08,3.17,3.6,3.99,2.78,3,3.24,3.29,3.88,4.31,2.9
47,720,30,East Coast (South),2500,3.37,4.8,5.75,4.22,1.47,5.49,8.41,6.79,4.38,4.01,9.46,2.12,2.03,5.25,6.49,4.6,0.72,0.52,2.99,7.47,0.67,2.31,4.08,2.6
48,720,30,East Coast (South),2500,3.44,4.89,5.89,4.29,6.31,6.43,4.04,5.78,4.23,2.1,3.03,3.35,4.69,2.16,3.45,1.4,1.65,2.15,5.06,3.8,6.05,3.5,8.18,4.13
49,720,30,East Coast (South),2500,1.95,0.8,1.76,1.37,4.57,2.26,3.57,2.44,3.28,4.83,3.95,7.63,8.37,5.21,5.22,5.84,10.86,4.41,5.28,6.41,2.21,2.45,3.12,2.21
50,720,30,East Coast (South),2500,2.24,2.36,3.08,3.7,4.94,6.35,7.22,7.34,6.44,6.32,5.67,4.51,3.93,4.32,5.15,2.85,2.75,2.52,2.7,3.27,3.6,3.68,2.99,2.07
51,720,30,East Coast (South),5000,3,2.4,2.75,3.78,4,5.17,3.32,2.91,1.39,1.35,2.33,3.45,3.6,5.06,4.78,6.29,6.77,6.51,5.12,5.88,4.91,7.38,5.01,2.84
52,720,30,East Coast (South),5000,4.67,3.37,4.83,3.76,2.65,3.56,2.8,3.55,2.18,2.53,2.41,3.85,3.04,1.67,4.76,9.09,3.88,5.01,5.04,5.96,4.46,4.3,7.54,5.09
53,720,30,East Coast (South),5000,2.05,1.44,2.95,3.2,3.36,3.56,4.2,5.57,4.73,3.04,4.52,4.13,4.3,5.24,4.28,2.11,4.57,6.58,4.29,3.15,4.96,4.22,7.97,5.58
54,720,30,East Coast (South),5000,1.86,3.11,3.28,3.41,3.09,3.19,3.84,4,5.42,4.95,4.63,4.95,5.56,5.68,5.08,5.98,4.55,4.46,4.48,4.21,4.5,3.89,3.14,2.74
55,720,30,East Coast (South),5000,1.11,4.62,2.77,2.67,5.03,5,7.96,7.25,8.79,4.92,6.21,4.81,4.02,3.59,2.52,2.04,2.49,2.82,2.18,3.96,2.9,5.49,4.47,2.38
56,720,30,East Coast (South),5000,1.31,1.07,1.65,1.85,1.91,1.39,1.64,2.04,3.52,2.34,2.85,4.35,4.62,5.35,6.66,7.19,4.38,4.74,6.3,8.17,6.42,6.58,7.73,5.94
57,720,30,East Coast (South),5000,4.39,3.69,2,2.6,1.95,3.57,4.85,2.73,3.21,4.26,4.48,5.81,5.55,7.35,3.52,6.22,8.32,11.07,5.56,1.86,3.97,2.72,0.12,0.2
58,720,30,East Coast (South),5000,2.09,2.63,5.08,3.79,5.31,4.91,5.95,6.05,5.32,4.09,4.93,5.37,3.78,4.07,4.41,4.88,4.98,4.32,4.35,4.28,3.6,1.99,2.09,1.73
59,720,30,East Coast (South),5000,3.13,5.39,14.21,7.74,4.75,5.64,5.1,8.12,10.61,3.43,3.15,4.86,4.07,3.61,1.93,3.97,2.32,1.57,1.45,1.11,0.61,1.17,1.04,1.02
60,720,30,East Coast (South),5000,2.42,2.85,3.11,3.77,2.61,2.41,3.06,3.19,3.72,3.08,3.22,4.44,2.84,2.1,4.44,4.25,3.95,4.99,5.44,6.02,7.1,7.27,6.58,7.14
61,720,30,East Coast (South),10000,4.73,3.33,4.71,3.65,2.61,3.47,2.91,3.65,2.36,2.43,2.35,3.79,2.82,1.71,4.58,8.82,3.88,5.23,5.37,5.9,4.24,4.45,7.66,5.35
62,720,30,East Coast (South),10000,1.93,1.36,2.71,3.15,3.17,4.66,4.9,5.5,5.14,3.13,4.96,5.28,4.34,4.84,5.62,2.43,3.93,5.58,3.78,2.91,4.14,3.75,7.54,5.25
63,720,30,East Coast (South),10000,3.95,3.59,3.62,4.71,4.25,5.06,3.44,3.1,2.28,2.45,2.66,3.49,3.68,4.39,4.53,4.92,5.58,5.61,4.54,5.47,4.23,7.18,4.47,2.8
64,720,30,East Coast (South),10000,2.7,3.52,3.44,3.71,3.35,3.5,3.62,4.14,5.03,4.53,4.25,5.15,5.75,5.24,5.06,5.45,4.28,4.14,4.36,4.51,4.57,3.93,3.49,2.28
65,720,30,East Coast (South),10000,2.84,2.6,2.28,2.31,2.98,3.81,3.72,3.75,3.76,3.6,3.62,3.73,4.79,4.02,4.4,4.01,4.79,4.78,6.58,6.48,5.41,5.14,5.39,5.21
66,720,30,East Coast (South),10000,4.54,3.84,3.41,5.19,5.44,4.89,2.27,5.02,8.58,6.04,3.56,3.83,8.14,2.32,2.82,4.98,5.97,4.25,1.09,1.08,2.72,6.6,0.92,2.5
67,720,30,East Coast (South),10000,3.16,3.5,4,2.16,2.87,3.55,3.86,2.83,4.97,4.03,3.31,3.05,7.42,4.17,6.05,4.31,5.93,4.39,4.19,5.84,5.69,3.56,4.18,2.98
68,720,30,East Coast (South),10000,3.79,3.31,2.12,2.77,2.25,3.31,5,3.42,4.27,5.43,5.55,6.6,6.19,8.24,4.87,6.31,6.2,7.61,4.05,1.59,3.33,2.5,0.66,0.63
69,720,30,East Coast (South),10000,2.8,5.79,3.62,3.36,4.75,4.79,7.21,6.65,8.11,4.72,5.99,4.8,3.85,3.47,2.69,2.27,2.46,2.68,2.09,3.73,2.7,5.03,4.11,2.33
70,720,30,East Coast (South),10000,1.41,2.09,3.65,2.96,4.01,4.33,5.35,5.51,6.39,6.03,7.12,5.55,4.99,5.64,5.69,5.71,4.85,3.98,3.83,3.64,2.71,1.67,1.58,1.31
71,720,30,East Coast (South),20000,2.9,2.53,4.03,5.18,3.42,5.27,4.25,5.29,4.22,6.01,6.64,6.08,4.18,6.29,3.02,3.09,4.07,5.55,3.2,4.83,1.92,2.44,2.5,3.09
72,720,30,East Coast (South),20000,3.75,3.63,3.88,3.55,4.3,4.06,4.02,3.79,4.29,4.28,5.67,5.63,4.81,4.65,5.01,4.55,5.26,4.3,3.86,4.58,5,2.25,2.22,2.66
73,720,30,East Coast (South),20000,3.31,1.98,1.94,2.36,2.65,2.66,2.82,3.57,3.34,2.5,2.98,4.1,3.08,3.12,5.56,6.61,7.38,7.96,5.52,4.94,6.44,4.87,7.03,3.28
74,720,30,East Coast (South),20000,4.09,3.48,3.78,4.08,4.32,3.61,3.88,4.12,5.1,5.27,3.69,3.83,5.9,5.32,2.71,3.07,4.04,4.04,5.05,4.22,5.83,3.55,2.87,4.15
75,720,30,East Coast (South),20000,2.59,2.71,3.37,3.02,2.68,3.46,4.38,4.77,4.71,4.78,5.92,5.92,5.61,5.39,4.91,6.42,3.87,4.96,4.4,3.98,3.44,4.32,2.63,1.76
76,720,30,East Coast (South),20000,2.25,2.59,3.89,3.71,3.92,3.69,3.43,4.03,3.3,3.76,5.82,5.41,4.22,4.85,5.98,4.96,4.38,5.51,4.61,4.99,5.07,3.93,3.16,2.54
77,720,30,East Coast (South),20000,2.48,2.07,1.8,2.37,2.62,2.96,4.16,3.21,4.28,4.6,5.03,5.47,5.95,5.9,6.43,5.26,4.23,4.95,4.86,5.02,4.8,4.11,3.93,3.51
78,720,30,East Coast (South),20000,1.54,1.24,1.53,2.25,3.75,3.38,2.59,2.72,2.68,3.34,4.69,3.2,4.08,5.17,4.97,6.46,6.07,7.87,4.39,6.18,6.78,8.05,4.74,2.33
79,720,30,East Coast (South),20000,3.34,2.36,2.72,2.63,3.71,2.22,3.1,3.94,3.6,3.24,4.93,4.63,4.57,3.74,7.53,4.4,5.84,4.58,6.26,4.69,4.28,4.38,5.19,4.12
80,720,30,East Coast (South),20000,3.26,2.66,2.8,3.25,3.08,3.77,4.26,4.9,4.87,4.78,5.39,5.05,4.49,4.63,4.4,4.63,4.44,4.62,5.14,5.11,4.35,3.58,3.35,3.19
81,720,30,East Coast (South),40000,3.79,2.25,1.87,2.32,2.46,2.55,2.85,3.4,3.1,2.69,2.94,4.36,3.23,3.49,5.96,6.64,7.91,8.16,5.47,4.67,5.86,4.56,6.33,3.14
