Alpha:,1,Beta:,10,m:,0.6
SubCat,3,32,4,5,6,7,38,37,10,11,15,39,19,40,18,34,41,35,20,17,16,13,23,24,26,28,29,27,25,22,30,36,31,21,14,12,9,8,1,33,2
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area,0.87,1.539,2.011,0.736,0.967,0.484,0.185,0.259,1.25,1.468,1.085,1.183,0.742,0.429,0.558,0.661,0.43,0.902,1.7,0.815,0.687,1.356,0.557,1.069,0.308,0.878,0.885,0.176,0.892,1.899,0.546,2.956,1.672,3.108,1.891,1.197,1.191,1.399,1.871,0.208,1.767
Time (hours),Q_3,Q_32,Q_4,Q_5,Q_6,Q_7,Q_38,Q_37,Q_10,Q_11,Q_15,Q_39,Q_19,Q_40,Q_18,Q_34,Q_41,Q_35,Q_20,Q_17,Q_16,Q_13,Q_23,Q_24,Q_26,Q_28,Q_29,Q_27,Q_25,Q_22,Q_30,Q_36,Q_31,Q_21,Q_14,Q_12,Q_9,Q_8,Q_1,Q_33,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0.0005,0.0004,0,0,0.0015,0,0,0,0.0001,0.0016,0,0,0,0.0033,0.0017,0.0004,0.0007,0.0011,0,0,0.0003,0,0.004,0.0002,0.0068,0.0005,0,0.0012,0,0,0.0001,0,0,0.0001,0.0002,0,0,0,0,0.0004,0
0.25,0.0243,0.0279,0.0016,0,0.054,0,0,0,0.0103,0.0787,0,0.0019,0,0.0549,0.0471,0.022,0.0202,0.0369,0,0,0.0199,0,0.0865,0.0111,0.1306,0.0249,0,0.0196,0,0,0.0042,0.0007,0,0.0113,0.0137,0,0,0,0,0.014,0
0.33,0.1917,0.2632,0.0265,0,0.3511,0,0,0,0.1559,0.5877,0,0.0247,0.1463,0.2527,0.2766,0.1907,0.1292,0.233,0,0,0.196,0.7417,0.4545,0.0878,0.626,0.1934,0.3641,0.0686,0,0,0.0396,0.0115,0,0.1803,0.1449,0,0,0,0.0002,0.0965,0
0.42,0.6636,1.0078,0.178,0,1.05,0,0,0,0.9183,1.8949,0.119,0.1218,0.7147,0.6031,0.7903,0.7009,0.3978,0.6891,0,0,0.7754,2.4445,1.1711,0.3065,1.4247,0.6745,1.9398,0.307,0,0.1235,0.1607,0.0877,0,1.0461,0.5958,0,0,0.0003,0.002,0.3072,0
0.5,1.4545,2.3463,0.6443,0,2.0697,0,0,0,2.7606,3.9817,1.5017,0.3539,1.5187,1.0502,1.6211,1.5747,0.8234,1.3662,0,0.0287,1.8258,4.7343,2.0846,0.6875,2.2074,1.5015,3.7263,1.4147,0,0.5287,0.4055,0.3745,0.0005,3.4409,1.5698,0,0,0.0017,0.0098,0.6313,0.3475
0.58,2.4913,4.1528,1.5926,0.2732,3.2861,0,0,0,5.5597,6.4478,3.5786,0.7564,2.458,1.5472,2.6606,2.6829,1.3674,2.2056,0.2544,0.6171,3.3072,7.6479,3.0396,1.2236,2.8031,2.6094,5.3729,3.8583,0.1429,1.3217,0.7858,1.0658,0.0465,6.7423,3.4592,0,0,0.0065,0.0355,1.0116,2.2892
0.67,3.601,6.1445,3.0549,1.3689,4.4774,0.8753,0,0.4016,8.4317,8.5348,5.7267,1.3311,3.447,1.9909,3.626,3.781,1.9242,3.0764,1.665,2.0099,4.8586,11.0706,3.8041,1.8644,3.0765,3.8025,6.6298,7.216,0.7534,2.5624,1.2714,2.2931,0.2648,10.3451,6.5581,0,0,0.0198,0,1.3504,4.7556
0.75,4.5851,7.9559,4.9138,3.6121,5.4584,2.825,0,0.9917,10.3802,10.0239,7.4647,2.0327,4.4057,2.3517,4.4443,4.6337,2.4057,3.8589,3.7632,4.6135,6.649,14.6482,4.311,2.53,3.1277,4.8583,7.4018,10.4798,2.0227,4.2369,1.7925,4.0575,0.8959,13.8698,10.8649,0,0.5421,0,0,1.5881,7.2644
0.83,5.3865,9.4355,6.9419,7.1546,6.2232,5.7268,0.2286,1.4422,11.4618,11.0324,8.6561,2.8005,5.3275,2.6353,5.1326,5.2122,2.7907,4.5353,6.2984,9.0699,9.1876,18.2233,4.6175,3.1857,3.0774,5.7076,7.8279,13.213,4.0058,6.3264,2.2991,6.2461,2.2137,17.1078,16.2125,0,2.5746,0,0.03,1.7353,9.5328
