Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0.02,0.0135,0.0113,0.0096,0.028,0.0009,0.0002,0.0012,0.0038,0.0315,0.0005,0.0052,0.0206,0.0476,0.076,0.0059,0.0239,0.039,0.004,0.0043,0.0095,0.0265,0.0467,0.023,0.0241,0.0216,0.0347,0.0181,0.0145,0.0252,0.0032,0.0062,0.0015,0.0254,0.0353,0.0037,0.0014,0.0008,0.0004,0.0021,0.0095
0.25,0.1295,0.1096,0.0923,0.0702,0.1723,0.0075,0.0015,0.0101,0.0315,0.2243,0.0039,0.0428,0.1226,0.163,0.2673,0.0455,0.094,0.2081,0.0329,0.0354,0.0679,0.1904,0.1735,0.1572,0.0861,0.1229,0.169,0.0587,0.103,0.2004,0.0261,0.051,0.0126,0.2062,0.2679,0.0306,0.0114,0.0065,0.0035,0.0137,0.0775
0.33,0.296,0.313,0.3037,0.1718,0.3839,0.0265,0.0052,0.0338,0.1108,0.5339,0.014,0.139,0.271,0.3017,0.4857,0.1173,0.1871,0.4404,0.116,0.1238,0.1636,0.4576,0.3329,0.3658,0.165,0.2709,0.3554,0.1084,0.2472,0.5338,0.0711,0.1812,0.0449,0.6613,0.6649,0.1053,0.0405,0.0234,0.0127,0.0321,0.2692
0.42,0.4892,0.5714,0.5945,0.296,0.6234,0.0654,0.013,0.0672,0.2692,0.8921,0.0349,0.2713,0.4408,0.4393,0.6869,0.2077,0.2895,0.6929,0.2832,0.2738,0.2802,0.7704,0.4978,0.6085,0.2485,0.4438,0.5645,0.1592,0.42,0.9394,0.1294,0.4366,0.1113,1.2619,1.1292,0.2161,0.1,0.0583,0.0319,0.0552,0.6327
0.5,0.6897,0.8584,0.9291,0.4316,0.8655,0.1206,0.0244,0.1059,0.4948,1.2589,0.0709,0.4266,0.615,0.5624,0.8526,0.3095,0.3917,0.9381,0.5547,0.4477,0.4072,1.0948,0.6519,0.86,0.3289,0.6261,0.7762,0.2066,0.6047,1.3715,0.1968,0.7719,0.224,1.9264,1.6068,0.3492,0.201,0.1181,0.065,0.0813,1.0777
0.58,0.8842,1.1543,1.2842,0.5705,1.0937,0.1844,0.038,0.1475,0.7437,1.6081,0.1263,0.5957,0.7821,0.6658,0.9801,0.4166,0.4877,1.1601,0.8798,0.6289,0.5368,1.4077,0.7869,1.103,0.4015,0.8067,0.9772,0.2481,0.7893,1.798,0.2698,1.1542,0.3941,2.6016,2.0621,0.4973,0.3464,0.2095,0.1163,0.1095,1.5335
0.67,1.0642,1.4448,1.6421,0.7063,1.299,0.2534,0.0532,0.1897,0.9982,1.9244,0.2049,0.7713,0.9353,0.7488,1.074,0.5248,0.5741,1.3519,1.2206,0.806,0.6633,1.6953,0.9,1.327,0.4645,0.9779,1.1597,0.2829,0.9653,2.1982,0.3455,1.5643,0.6158,3.251,2.4748,0.6541,0.5124,0.3382,0.1898,0.1386,1.9656
0.75,1.2253,1.7202,1.9898,0.8349,1.4774,0.3247,0.0697,0.2312,1.2453,2.2011,0.3039,0.9475,1.0711,0.8136,1.1411,0.6305,0.6496,1.512,1.5579,0.9714,0.783,1.9504,0.9919,1.5265,0.5174,1.1351,1.3201,0.3114,1.1278,2.5602,0.4218,1.9867,0.8572,3.8516,2.8354,0.8146,0.6887,0.493,0.2891,0.1678,2.3547
0.83,1.3658,1.9743,2.3185,0.9538,1.6286,0.3962,0.0871,0.2709,1.4767,2.4367,0.4124,1.1199,1.1885,0.8629,1.1883,0.7313,0.7139,1.6425,1.8787,1.1209,0.8934,2.1708,1.0649,1.6995,0.5608,1.2761,1.4577,0.334,1.2739,2.8789,0.4969,2.4091,1.1073,4.3913,3.1422,0.9748,0.8685,0.6596,0.4173,0.1966,2.6923
0.92,1.486,2.2038,2.6226,1.0614,1.7543,0.4662,0.105,0.3079,1.6875,2.6334,0.5273,1.2852,1.2881,0.9,1.2209,0.8257,0.7678,1.7469,2.1748,1.2529,0.9933,2.3575,1.1218,1.8468,0.5959,1.4,1.5736,0.3518,1.4027,3.1536,0.5693,2.8218,1.3578,4.8653,3.398,1.1316,1.0464,0.8327,0.5762,0.2245,2.9774
1,1.5873,2.4079,2.8991,1.1574,1.8572,0.5334,0.1232,0.342,1.8755,2.7952,0.6457,1.4411,1.3714,0.9276,1.2433,0.9127,0.8123,1.8293,2.4419,1.3671,1.0822,2.5132,1.1658,1.9702,0.6239,1.5074,1.6698,0.3656,1.5145,3.3866,0.6383,3.2177,1.6024,5.2747,3.6079,1.2825,1.2185,1.008,0.7517,0.2511,3.2134
1.08,1.6617,2.5774,3.1379,1.2361,1.9276,0.5959,0.1411,0.3718,2.0364,2.9103,0.7647,1.5818,1.4305,0.9302,1.2349,0.9879,0.8393,1.878,2.6738,1.4606,1.1549,2.6273,1.1825,2.0605,0.6362,1.5891,1.7345,0.3681,1.6023,3.5662,0.7006,3.5852,1.8343,5.6045,3.7588,1.4223,1.3801,1.1806,0.9348,0.2749,3.3972
1.17,1.601,2.6063,3.2333,1.2328,1.828,0.6406,0.1559,0.3852,2.1247,2.8047,0.8726,1.6546,1.3627,0.8116,1.0489,1.006,0.7738,1.7356,2.8179,1.4923,1.1486,2.5478,1.0539,1.9904,0.5734,1.533,1.6266,0.3259,1.5763,3.5238,0.7277,3.8402,2.0232,5.65,3.6446,1.5088,1.5067,1.3321,1.1117,0.2807,3.4414
