Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0003,0.0002,0.0001,0,0.0004,0,0,0.0001,0,0.0002,0.0003,0,0,0.001,0.0007,0.0002,0.001,0.0007,0,0,0.0002,0.0001,0.001,0.0003,0.0007,0.0004,0.0007,0.0005,0,0,0.0002,0.0001,0,0.0002,0.0002,0,0,0,0,0,0.0001
0.17,0.0426,0.0291,0.017,0,0.0653,0,0.0023,0.0107,0.008,0.0349,0.043,0.0075,0.006,0.1036,0.0745,0.0315,0.1137,0.0931,0,0,0.0258,0.0223,0.1156,0.0497,0.0721,0.0546,0.0992,0.0373,0.0022,0.0063,0.0252,0.01,0,0.0264,0.0259,0,0,0.0002,0,0.0065,0.0097
0.25,0.3004,0.251,0.1581,0,0.4041,0,0.0218,0.0898,0.0746,0.2768,0.3555,0.0711,0.0558,0.4775,0.3413,0.2638,0.5536,0.5073,0,0.0288,0.1889,0.323,0.5502,0.3218,0.3508,0.3567,0.5557,0.1769,0.0598,0.0956,0.1985,0.0955,0.0015,0.235,0.2114,0,0,0.0022,0,0.0598,0.0884
0.33,0.8027,0.7791,0.5861,0.0418,0.9917,0,0.0872,0.2686,0.2952,0.9068,3.851,0.2805,0.1887,1.012,1.0551,0.8007,1.2114,1.1789,0,0.1441,1.2311,2.5839,1.1846,0.8097,0.9035,0.9281,2.7506,0.3692,0.2207,0.33,0.5743,0.3895,0.011,2.2383,0.8057,0,0,0.0092,0,0.2215,0.3379
0.42,1.4879,2.1699,1.3027,0.0991,2.1646,0,0.2135,0.5044,0.8021,3.0012,8.3887,0.669,0.8978,1.5837,2.7145,1.5455,1.9273,1.9446,0.2719,0.4548,3.5024,7.3146,2.2053,1.3856,2.1312,1.6448,5.9575,2.0886,0.2845,1.2409,1.0821,1.0189,0.0476,7.4618,3.4565,0,0,0.0259,0,0.4888,0.8775
0.5,3.0849,4.9278,3.4716,0.1865,4.0781,0,0.3851,0.7524,2.8659,6.541,11.969,1.1937,2.0493,2.0956,4.3742,2.3733,2.5717,2.6862,2.3462,2.6348,6.0538,13.7894,3.7175,1.9648,3.2308,2.9922,8.622,6.3044,0.2758,3.1374,1.6445,1.9582,0.1507,13.8287,9.9844,0,0,0.0576,0,0.8062,4.1206
0.58,4.6998,8.0255,6.6614,2.0526,5.7848,1.3672,0.5727,0.9694,6.4351,9.5705,13.5471,1.7822,3.3714,2.4539,5.5093,3.5812,3.0148,3.2734,5.3962,6.6796,8.9247,20.2919,4.7324,2.4511,3.6489,4.6189,9.9028,11.3626,1.3212,5.6201,2.1573,3.7609,0.2958,19.5908,19.5456,0,0,0.1083,0,1.3269,7.8967
0.67,5.8625,10.5711,9.8984,6.2835,6.8728,4.2749,0.7483,1.5347,9.8757,11.4364,13.3367,2.3584,4.6087,2.6791,6.1656,4.7615,3.2726,3.9308,8.8243,11.6419,12.2208,25.6308,5.1593,3.0932,3.5777,5.8258,10.0318,15.4399,3.6092,8.2583,2.56,6.8731,0.5068,23.6366,28.5457,3.3413,0,0.1806,0,1.7725,11.2352
0.75,6.5097,12.1551,12.401,13.2303,7.3858,8.8207,0.893,1.8621,11.8995,12.2956,12.2789,2.8725,5.6472,2.8,6.4643,5.4153,3.3864,4.524,12.1567,16.7959,16.0146,29.7268,5.1537,3.6925,3.2773,6.5216,9.5152,16.9765,7.2054,11.3131,3.0008,10.2291,1.6477,25.9506,36.1089,12.8166,0.1825,0.3019,0,1.9801,13.5902
0.83,6.6688,12.5605,13.8973,20.6578,7.3937,15.1092,1.0002,1.9516,12.5098,12.3411,10.819,3.3058,6.443,2.8281,6.4622,5.5738,3.3745,4.8323,14.9842,21.6115,20.009,32.7729,4.841,4.0958,2.8669,6.7151,8.5925,16.9347,10.7127,14.5666,3.361,13.1601,4.4048,27.0994,42.0634,24.7618,4.238,0.2403,0.73,2.0067,14.8434
0.92,6.5008,12.1822,14.4504,26.375,7.1025,22.0059,1.0712,1.8907,12.1543,11.8557,9.3123,3.654,7.0009,2.8015,6.3117,5.397,3.2887,4.9352,17.1177,25.7616,23.9278,35.0875,4.4303,4.3324,2.4879,6.5728,7.5859,16.0672,13.4688,17.5389,3.5093,15.3297,8.4533,27.6838,46.5791,37.0335,11.5207,0.3695,2.8639,1.9178,15.2258
1,6.266,11.5717,14.4291,30.1541,6.8057,28.2924,1.1139,1.7907,11.3566,11.2624,8.2117,4.185,7.4136,2.7754,6.2111,5.1307,3.2034,4.9935,18.6055,29.1506,27.6906,37.2155,4.1313,4.5114,2.2587,6.3621,6.8494,15.0747,15.4554,20.3346,3.554,16.7338,13.8104,28.4681,50.3869,48.7031,20.3991,1.3669,5.9665,1.7885,15.0601
1.08,6.1879,11.2266,14.3284,32.5155,6.7404,33.3921,1.143,1.7459,10.5377,10.946,7.8284,4.6841,7.8547,2.7978,6.3167,4.9828,3.1829,5.1595,19.6422,31.9684,31.3409,39.7614,4.0737,4.7582,2.2337,6.3072,6.6104,14.5084,16.9298,23.2202,3.6168,17.6515,18.5238,30.2575,54.5461,59.5809,30.2604,3.2798,9.9443,1.6915,14.7235
1.17,6.085,10.9733,14.2202,33.9854,6.6096,37.2648,1.1643,1.7163,9.8178,10.6873,7.5804,5.1309,8.3026,2.7694,6.2307,4.861,3.1081,5.2142,20.4153,34.3611,34.4592,42.5254,3.8703,4.9565,2.0869,6.188,6.2486,13.9454,18.0395,25.9733,3.649,18.2536,22.2043,32.6907,59.073,69.9298,40.7002,6.2406,14.6082,1.6233,14.3639
1.25,5.6947,10.2461,13.7952,34.4637,6.1428,39.8562,1.1717,1.591,9.1207,9.9852,6.7081,5.4584,8.6014,2.6683,5.8929,4.5303,2.9418,5.0276,20.9094,36.1689,36.5993,44.5371,3.4714,4.9391,1.8076,5.7771,5.4971,12.9468,18.5677,27.8815,3.517,18.4825,24.8097,34.6673,62.7962,79.6623,51.3731,10.2867,19.7743,1.5275,13.894
1.33,5.174,9.2768,12.9037,33.8555,5.5524,41.1067,1.1566,1.4021,8.3621,9.0215,5.6072,5.5977,8.7154,2.5311,5.4699,4.0756,2.7331,4.7265,21.0424,37.2197,37.9979,45.685,3.0405,4.7911,1.5258,5.2458,4.6786,11.7043,18.5225,28.9556,3.2829,18.2304,26.4192,35.8229,65.465,88.25,61.8906,15.3816,25.2774,1.3753,13.1901
1.42,4.6348,8.3208,11.7953,32.4249,4.9566,41.104,1.1198,1.2056,7.4422,8.0074,4.6032,5.5759,8.6867,2.3774,5.0328,3.608,2.509,4.3834,20.7562,37.508,38.7467,46.1656,2.6405,4.5767,1.2808,4.6994,3.9267,10.5093,18.0534,29.3798,3.0108,17.4567,27.1248,36.398,67.2214,95.4327,71.8691,21.4184,30.9721,1.2043,12.1796
1.5,4.1269,7.4017,10.6545,30.4691,4.4041,40.0612,1.0694,1.0244,6.4378,7.0417,3.7724,5.4459,8.547,2.2182,4.6123,3.1743,2.2846,4.0362,20.0905,37.1865,38.9035,46.1368,2.2906,4.3326,1.0783,4.1853,3.2813,9.3049,17.2979,29.2964,2.7352,16.3847,27.0624,36.5166,68.17,101.1665,80.971,28.228,36.7475,1.0415,11.0353
1.58,3.6691,6.5661,9.5707,28.2447,3.911,38.2686,1.0109,0.9556,5.4961,6.1651,3.108,5.2476,8.3231,2.0601,4.2205,2.7901,2.0683,3.7038,19.1883,36.3868,38.5456,45.7036,1.9921,4.08,0.9137,3.7219,2.744,8.1945,16.3544,28.8203,2.5852,15.195,26.4169,36.2456,68.3955,105.4881,88.9571,35.5862,42.5273,0.9058,9.8916
1.67,3.2652,5.8269,8.5811,25.9421,3.4789,36.0169,0.9484,0.9108,4.6782,5.3895,2.5817,5.0096,8.0381,1.9067,3.861,2.5721,1.8646,3.4314,18.1495,35.2307,37.7612,44.9368,1.74,3.8306,0.7802,3.3127,2.3027,7.2113,15.3086,28.0465,2.4405,13.9935,25.3511,35.6553,67.9789,108.4789,95.728,43.2315,48.2815,0.8386,8.8174
1.75,2.9126,5.1817,7.6965,23.687,3.1035,33.5345,0.8846,0.8646,4.0959,4.7129,2.1643,4.7518,7.7116,1.7602,3.5336,2.3944,1.6758,3.2795,17.0781,33.8255,36.642,43.8903,1.5513,3.591,0.6716,2.9553,1.9419,6.3571,14.2255,27.0542,2.294,12.8385,23.9795,34.7858,67.0025,110.2441,101.2922,50.9037,53.9652,0.7698,7.8458
1.83,2.6062,4.6218,6.9144,21.5533,2.7782,30.9875,0.8214,0.8182,3.5931,4.127,1.8312,4.4877,7.3592,1.6218,3.2365,2.2182,1.5026,3.1282,16.026,32.27,35.2784,42.6117,1.4519,3.3645,0.6199,2.6444,1.6469,5.6213,13.1509,25.9201,2.1489,11.7589,22.4232,33.6743,65.5451,110.9008,105.6987,58.3973,59.5258,0.7022,6.9799
1.92,2.3401,4.1369,6.2267,19.579,2.4963,28.488,0.76,0.7725,3.1629,3.6217,1.563,4.2261,6.9938,1.4919,2.9672,2.0472,1.3449,2.9792,15.0097,30.639,33.7536,41.148,1.3556,3.1524,0.5725,2.3744,1.4049,4.9892,12.1206,24.7051,2.0076,10.7667,20.8123,32.3665,63.6891,110.5722,108.9902,65.5447,64.9415,0.6377,6.2141
2,2.1088,3.7166,5.6231,17.7785,2.2515,26.1059,0.7013,0.7279,2.796,3.1862,1.3452,3.9726,6.625,1.3708,2.7229,1.8838,1.2022,2.8339,14.0391,28.9856,32.1366,39.5455,1.2633,2.9552,0.5268,2.1395,1.2056,4.4461,11.1491,23.4483,1.8715,9.864,19.2286,30.9161,61.5154,109.385,111.2283,72.2066,70.1979,0.5771,5.5399
2.08,1.9073,3.3515,5.0933,16.1516,2.0384,23.8804,0.6457,0.6848,2.4829,2.8771,1.1665,3.7305,6.2602,1.2583,2.5011,1.7294,1.0736,2.6929,13.1194,27.3473,30.4808,37.8484,1.1755,2.7726,0.4833,1.9348,1.0404,3.9785,10.2435,22.18,1.7415,9.0475,17.7187,29.3754,59.1023,107.4661,112.4913,78.274,75.2695,0.5211,4.9475
2.17,1.7312,3.0335,4.6277,14.6901,1.8521,21.8292,0.5935,0.6434,2.215,2.6078,1.0186,3.591,5.9058,1.1541,2.2995,1.5849,0.9582,2.5568,12.2528,25.7493,28.8261,36.0964,1.0925,2.6037,0.4423,1.8263,0.9029,3.5839,9.4061,20.9239,1.6182,8.3115,16.3067,27.7904,56.5231,104.9406,112.8756,83.6678,80.1218,0.4697,4.427
2.25,1.5768,2.7554,4.2177,13.3817,1.6888,19.9563,0.5449,0.6039,1.9848,2.3718,0.8952,3.4716,5.5835,1.0578,2.116,1.4505,0.8547,2.4259,11.4396,24.2109,27.2012,34.3234,1.0143,2.505,0.4041,1.7355,0.7875,3.2649,8.6382,19.6965,1.5019,7.649,15.0028,26.199,53.8438,101.9282,112.4685,88.3383,84.7138,0.423,3.9696
2.33,1.4409,2.5115,3.8555,12.2123,1.5451,18.2566,0.4999,0.5663,1.7863,2.1642,0.7913,3.3512,5.2903,0.9691,1.9488,1.3261,0.7622,2.3004,10.6791,22.7472,25.6279,32.5578,0.9409,2.4271,0.3688,1.6472,0.7199,2.9994,7.94,18.5221,1.3925,7.0528,13.8083,24.6307,51.1227,98.5407,111.3627,92.2599,89.0022,0.3808,3.567
2.42,1.3463,2.2967,3.5347,11.2789,1.418,16.7281,0.4582,0.5307,1.6142,1.981,0.7032,3.2308,5.0217,0.8875,1.7962,1.2114,0.6797,2.1803,9.9693,21.3655,24.1213,30.8223,0.8723,2.3505,0.3361,1.5617,0.6884,2.7862,7.3081,17.4076,1.2901,6.516,12.7195,23.1073,48.4103,94.8805,109.6529,95.4284,92.9435,0.3428,3.2121
2.5,1.2882,2.1068,3.2497,10.5058,1.3053,15.401,0.4199,0.497,1.4644,1.8188,0.628,3.1113,4.7739,0.8124,1.6567,1.1061,0.6062,2.0655,9.308,20.0677,22.6908,29.1351,0.8082,2.2756,0.3061,1.4792,0.6571,2.6099,6.7394,16.3555,1.1944,6.0322,11.7302,21.6442,45.7458,91.0392,107.4332,97.8579,96.5001,0.3086,2.8988
2.58,1.2317,1.9383,2.9958,9.7999,1.2427,14.2436,0.3848,0.4652,1.3334,1.6747,0.5633,2.9934,4.5441,0.7436,1.529,1.0097,0.5407,1.9562,8.6927,18.8528,21.3407,27.5092,0.7485,2.2023,0.2787,1.4,0.6262,2.4575,6.2384,15.366,1.1053,5.5955,10.8327,20.2513,43.158,87.096,104.7944,99.5777,99.647,0.278,2.6214
