Alpha:,1,Beta:,10,m:,0.6
SubCat,3,32,4,5,6,7,38,37,10,11,15,39,19,40,18,34,41,35,20,17,16,13,23,24,26,28,29,27,25,22,30,36,31,21,14,12,9,8,1,33,2
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area,0.87,1.539,2.011,0.736,0.967,0.484,0.185,0.259,1.25,1.468,1.085,1.183,0.742,0.429,0.558,0.661,0.43,0.902,1.7,0.815,0.687,1.356,0.557,1.069,0.308,0.878,0.885,0.176,0.892,1.899,0.546,2.956,1.672,3.108,1.891,1.197,1.191,1.399,1.871,0.208,1.767
Time (hours),Q_3,Q_32,Q_4,Q_5,Q_6,Q_7,Q_38,Q_37,Q_10,Q_11,Q_15,Q_39,Q_19,Q_40,Q_18,Q_34,Q_41,Q_35,Q_20,Q_17,Q_16,Q_13,Q_23,Q_24,Q_26,Q_28,Q_29,Q_27,Q_25,Q_22,Q_30,Q_36,Q_31,Q_21,Q_14,Q_12,Q_9,Q_8,Q_1,Q_33,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0085,0.0103,0.0022,0.0026,0.0179,0.0001,0.0006,0.0008,0.0031,0.0182,0.0006,0.0031,0.0038,0.0362,0.0177,0.0042,0.0078,0.0188,0.0008,0.0008,0.003,0.0075,0.0219,0.0111,0.0158,0.0078,0.008,0.0108,0.0035,0.007,0.0026,0.002,0.0004,0.0064,0.0095,0.0015,0.0009,0.0001,0.0004,0.0024,0.0025
0.17,0.7365,0.9004,0.1982,0.2338,1.4604,0.0101,0.0557,0.0733,0.2751,1.5605,0.0568,0.2775,0.3357,1.3701,1.1746,0.3742,0.5356,1.4865,0.0749,0.0756,0.2637,0.665,1.2238,0.9598,0.6923,0.6849,0.7027,0.3922,0.31,0.6228,0.2327,0.1825,0.0369,0.5685,0.8335,0.135,0.0826,0.012,0.0328,0.1856,0.2243
0.25,2.9654,4.4891,1.1975,1.251,4.7783,0.0623,0.2455,0.4277,1.5907,6.2519,0.3446,1.6288,1.6332,3.1081,3.2267,1.6729,1.6009,4.6678,0.4551,0.4539,1.3327,3.4226,3.1589,3.9087,1.724,2.5661,2.6186,0.9495,1.6583,3.5722,1.1027,1.1104,0.2265,3.3618,4.5547,0.8163,0.498,0.0741,0.2018,0.5982,1.3236
0.33,5.4586,8.9206,3.6583,2.7091,7.9458,0.1979,0.5045,1.035,4.5583,11.0611,1.0671,3.9083,3.3246,4.4747,5.0408,3.2655,2.7471,7.6345,1.4112,1.38,2.7794,7.0267,4.9059,7.128,2.6719,4.7599,4.8441,1.4759,3.5707,8.2495,2.2413,3.4523,0.7145,9.5819,9.7435,2.3668,1.5253,0.237,0.6389,1.0769,3.914
0.42,8.0865,13.5165,7.2988,4.4286,11.0606,0.4696,0.8354,1.7221,8.6175,15.7234,2.4438,6.6239,5.2489,5.8139,6.8417,5.0544,4.0349,10.5431,3.2378,3.0565,4.461,10.898,6.702,10.4261,3.6602,7.2333,7.3481,2.0359,5.7791,13.4396,3.5732,7.8232,1.6789,17.4019,15.2464,4.4395,3.4426,0.5683,1.5088,1.6412,8.4425
0.5,10.3983,17.7719,11.4526,6.248,13.3777,0.9241,1.2016,2.4158,12.3559,19.5238,4.5782,9.5307,7.1794,6.5642,8.044,6.7888,5.0951,12.6472,6.1046,5.0573,6.1985,14.6175,7.9001,13.265,4.3235,9.4963,9.629,2.419,8.0658,18.6081,4.9388,13.3105,3.2619,25.4681,20.5112,6.8157,6.228,1.1335,2.9508,2.1514,13.7459
0.58,11.9472,20.7388,15.7231,7.7952,14.6505,1.5651,1.5397,2.9988,15.4224,21.7477,6.9945,12.1201,8.703,6.8239,8.6375,8.1019,5.81,13.7689,9.8833,7.0073,7.6249,17.3704,8.507,15.0893,4.6602,11.1524,11.2899,2.6185,9.9551,22.7942,6.054,19.1574,5.5269,32.8768,24.4366,9.2547,9.0956,1.9832,5.0393,2.5365,18.4044
0.67,12.197,21.6216,19.1793,8.6768,14.1856,2.2519,1.7582,3.3159,17.1935,21.5805,9.1785,13.736,9.4027,6.2418,8.1551,8.6051,5.8314,13.2364,13.4804,8.6004,8.3639,18.43,8.0431,15.2694,4.4187,11.5963,11.7186,2.4978,10.9615,24.9015,6.6105,24.4877,8.3562,37.6665,26.0103,11.1665,11.5365,3.1136,7.6896,2.6366,21.7633
