Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0.0001,0.0001,0,0,0,0,0.0001,0,0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0.0056,0.0038,0.0022,0,0.0087,0,0.0003,0.0014,0.001,0.0046,0.0056,0.001,0.0008,0.0142,0.0104,0.0041,0.0153,0.0125,0,0,0.0034,0.0029,0.0158,0.0066,0.0097,0.0072,0.0133,0.0051,0.0002,0.0008,0.0033,0.0013,0,0.0035,0.0034,0,0,0,0,0.0008,0.0013
0.25,0.0512,0.041,0.0251,0,0.0721,0,0.0034,0.0149,0.0118,0.0464,0.0583,0.0111,0.0088,0.0912,0.068,0.0426,0.1025,0.0923,0,0.0033,0.0316,0.0299,0.1042,0.0568,0.0644,0.0609,0.0999,0.033,0.0085,0.0148,0.0324,0.0149,0.0002,0.0388,0.0353,0,0,0.0003,0,0.0095,0.0143
0.33,0.2165,0.1922,0.1332,0.0033,0.2879,0,0.019,0.0682,0.0657,0.2057,0.2653,0.0613,0.0435,0.331,0.2416,0.1958,0.3818,0.3558,0,0.0317,0.1361,0.1336,0.3822,0.2304,0.2415,0.2529,0.3895,0.1297,0.0479,0.0764,0.1443,0.0844,0.0017,0.1888,0.1599,0,0,0.0019,0,0.0502,0.0783
0.42,0.5891,0.5681,0.4325,0.0317,0.7382,0,0.0658,0.1962,0.2355,0.5805,2.2947,0.2086,0.1368,0.7718,0.6115,0.5769,0.9137,0.8836,0,0.1312,0.645,1.5161,0.9004,0.6008,0.5838,0.6807,1.5406,0.3009,0.1657,0.2392,0.4151,0.305,0.0099,1.1458,0.4226,0,0,0.0073,0,0.1625,0.2693
0.5,1.2364,1.5196,1.0526,0.0952,1.7114,0,0.1702,0.4249,0.6279,2.2031,7.0876,0.5337,0.616,1.48,2.3898,1.2916,1.7855,1.7565,0.1169,0.2302,2.8289,5.5645,1.9094,1.2192,1.9014,1.4332,5.2882,1.2835,0.2598,0.8263,0.9143,0.8189,0.0412,5.5774,2.3059,0,0,0.0215,0,0.3943,0.6771
0.58,2.9906,4.54,2.9117,0,4.0878,0,0.3426,0.7257,2.2566,6.2967,12.5689,1.067,1.8331,2.1416,4.531,2.2816,2.6293,2.6954,1.7225,1.8819,5.981,12.8785,3.8851,1.9463,3.4797,2.908,9.1363,5.55,0.2238,2.8434,1.5913,1.714,0.129,13.0007,8.5271,0,0,0.0508,0,0.7404,3.2613
0.67,5.1031,8.5111,6.685,1.6274,6.4046,1.0498,0.5608,1.0432,5.9326,10.3169,15.426,1.7457,3.3945,2.636,6.1077,3.8178,3.2502,3.4551,4.8307,6.1499,9.311,20.9499,5.4134,2.5577,4.2723,5.0233,11.2525,12.0789,1.1175,5.8373,2.2292,3.419,0.2689,20.5869,19.7387,0,0,0.1007,0,1.3631,7.5922
0.75,6.6682,12.1124,10.7955,6.3188,7.871,4.1477,0.7764,1.8306,10.4029,12.8673,15.5548,2.4288,4.8942,2.9099,6.8716,5.3964,3.5783,4.5176,8.8094,11.8222,13.0173,27.7866,5.9345,3.519,4.1333,6.6188,11.5292,17.4052,3.7876,9.1339,2.7636,7.066,0.4262,25.9619,30.7149,2.5975,0,0.1741,0,1.9608,11.9343
0.83,7.2746,13.7415,13.8513,14.6876,8.2367,9.3551,0.9497,2.1472,13.1426,13.6683,13.7738,3.0237,6.0712,3.0052,7.0098,6.083,3.6571,5.082,12.8649,17.692,16.93,32.4018,5.6838,4.1433,3.5687,7.2719,10.5207,18.9767,8.083,12.8145,3.4128,11.0874,1.4997,28.5929,39.3807,13.1343,0,0.3093,0,2.2194,14.8993
0.92,7.4867,14.1118,15.5761,23.2128,8.3221,16.6811,1.0773,2.2199,14.0716,13.7198,12.0766,3.5167,6.969,3.0918,7.1909,6.2462,3.7099,5.5212,16.2536,23.1866,21.4506,35.771,5.507,4.6412,3.2735,7.5579,9.6955,19.0473,12.0597,16.4958,3.8266,14.6563,4.4642,29.8183,46.3089,26.5591,4.4639,0.2135,0.6362,2.2437,16.5095
1,7.664,14.2672,16.5727,30.1362,8.4386,24.8852,1.1714,2.2572,13.907,13.759,11.2208,4.2134,7.755,3.1647,7.3668,6.3165,3.7475,5.9217,18.9254,28.1711,26.4695,39.201,5.3658,5.1435,3.0811,7.7732,9.1709,18.7781,15.4888,20.5301,4.1591,17.4338,9.2469,31.2558,52.7766,40.6142,12.7339,0.3665,2.9699,2.195,17.1732
1.08,7.489,13.9085,16.9964,35.1572,8.1483,32.6385,1.2402,2.1949,13.1351,13.3551,10.1421,4.9922,8.4394,3.1396,7.1967,6.1305,3.6616,6.009,20.9274,32.5265,31.0159,42.3378,4.9204,5.4325,2.7014,7.591,8.2528,17.886,18.1177,24.2688,4.28,19.3892,15.7096,32.9595,58.3532,54.6373,23.0675,1.5292,6.5436,2.1116,17.2467
1.17,6.9233,12.7873,16.5587,37.9024,7.453,38.8437,1.2775,1.9909,12.1034,12.3288,8.5319,5.5653,8.9049,3.0288,6.7632,5.6167,3.4655,5.788,22.279,35.9488,34.6727,44.5874,4.2917,5.4457,2.2426,7.0141,7.0202,16.2822,19.6925,27.0875,4.1433,20.4865,21.3356,34.4143,62.4691,67.767,34.6862,3.778,11.2738,1.9466,16.8679
1.25,6.2023,11.2754,15.4162,38.4523,6.6295,42.9063,1.2778,1.7224,10.8522,11.0054,6.8958,5.8713,9.1474,2.8732,6.2405,4.9641,3.2154,5.416,22.9399,38.2147,37.4604,46.0235,3.669,5.2892,1.8332,6.2867,5.8126,14.3388,20.2805,28.9774,3.857,20.5939,25.5099,35.5287,65.3901,79.2603,46.7919,7.2727,16.829,1.7167,15.9539
1.33,5.4787,9.7385,13.9745,37.3364,5.8306,44.7468,1.248,1.4564,9.4052,9.6523,5.5185,5.9529,9.2113,2.6974,5.7123,4.3206,2.9463,4.9926,22.9024,39.3936,39.3751,46.8763,3.1221,5.0468,1.5017,5.5574,4.7676,12.4017,20.1017,30.0796,3.5154,19.88,28.0707,36.4109,67.4805,88.8782,58.68,12.0314,22.8552,1.4759,14.6301
1.42,4.8154,8.5693,12.501,35.208,5.1121,44.6786,1.1985,1.2194,7.9583,8.3927,4.4332,5.8777,9.1342,2.515,5.2119,3.7439,2.6773,4.5677,22.3219,39.6748,40.444,47.2825,2.6625,4.7669,1.2406,4.8879,3.9074,10.8672,19.3924,30.5187,3.1696,18.6975,29.1752,37.0262,68.9187,96.6781,69.7781,17.9552,29.0555,1.2558,13.1545
1.5,4.2313,7.5243,11.1197,32.6023,4.4866,43.2343,1.1371,1.0179,6.6653,7.271,3.5948,5.7005,8.9478,2.3337,4.7512,3.2472,2.4186,4.165,21.398,39.2477,40.75,47.3,2.2825,4.4764,1.0356,4.2972,3.2141,9.4873,18.3963,30.4132,2.844,17.3165,29.1714,37.2985,69.7546,102.8089,79.7239,24.8334,35.2401,1.0659,11.6988
1.58,3.7263,6.6146,9.8772,29.8343,3.9499,40.9282,1.0692,0.9509,5.5706,6.2951,2.9477,5.4618,8.6795,2.158,4.3326,2.8264,2.1757,3.7943,20.2789,38.2878,40.4107,46.9537,1.9695,4.1901,0.8737,3.7858,2.6594,8.2655,17.2357,29.8824,2.6268,15.8966,28.3629,37.1857,69.9908,107.4257,88.3734,32.3686,41.3138,0.9104,10.3443
1.67,3.2932,5.8322,8.7824,27.1028,3.4916,38.1598,0.9986,0.904,4.6747,5.4562,2.4449,5.1896,8.3531,1.9904,3.9544,2.5808,1.9512,3.4636,19.0607,36.9475,39.5569,46.2647,1.7111,3.9159,0.7446,3.3465,2.2157,7.2159,16.0033,29.0305,2.474,14.5245,26.9898,36.7044,69.6336,110.6646,95.7032,40.2628,47.2328,0.84,9.1244
1.75,2.9225,5.1623,7.8274,24.5202,3.1006,35.2125,0.9278,0.8565,4.061,4.7394,2.0501,4.9033,7.9884,1.8323,3.6134,2.3972,1.7457,3.3049,17.8323,35.3532,38.3156,45.2633,1.5352,3.6577,0.6522,2.9701,1.8594,6.3242,14.7645,27.946,2.3209,13.243,25.2933,35.8767,68.7125,112.6452,101.7469,48.2556,52.9711,0.769,8.0529
1.83,2.6049,4.589,6.9979,22.1419,2.7662,32.2728,0.8586,0.8093,3.5441,4.1283,1.7365,4.6155,7.6016,1.6841,3.3058,2.2167,1.5592,3.1482,16.6523,33.6142,36.8031,43.9905,1.4337,3.4171,0.6036,2.6474,1.5718,5.5684,13.5665,26.7165,2.1706,12.0692,23.4703,34.7487,67.2763,113.4792,106.5696,56.1227,58.541,0.7,7.1176
1.92,2.3321,4.0973,6.2781,19.9872,2.4791,29.4549,0.792,0.763,3.1092,3.6074,1.4847,4.3342,7.2053,1.546,3.0281,2.0427,1.3908,2.995,15.531,31.8127,35.1202,42.4964,1.3363,3.1943,0.5562,2.3699,1.338,4.9271,12.4372,25.4058,2.0251,11.0063,21.6466,33.3865,65.3977,113.2795,110.2209,63.6749,63.959,0.6345,6.3036
2,2.0968,3.6743,5.6527,18.0548,2.2318,26.8214,0.7288,0.7182,2.7424,3.166,1.2801,4.0644,6.8092,1.4179,2.777,1.8772,1.2394,2.8462,14.4739,30.0054,33.3475,40.8347,1.2435,2.9887,0.5108,2.1306,1.1467,4.3809,11.3868,24.0568,1.8855,10.0503,19.8943,31.8594,63.161,112.1651,112.7645,70.7556,69.2282,0.5734,5.5956
2.08,1.8932,3.3089,5.1081,16.3323,2.0176,24.4011,0.6694,0.6751,2.4318,2.8536,1.1122,3.8088,6.4204,1.2994,2.5495,1.7215,1.1037,2.7025,13.4826,28.2303,31.5451,39.0583,1.1557,2.7995,0.4679,1.9233,0.9889,3.9138,10.419,22.7027,1.7526,9.1934,18.2515,30.2314,60.6533,110.2615,114.2794,77.241,74.3348,0.5171,4.9795
2.17,1.7161,2.992,4.6325,14.8018,1.8312,22.2011,0.614,0.6338,2.1675,2.5823,0.973,3.6264,6.0425,1.1901,2.343,1.5761,0.9825,2.5642,12.5565,26.5123,29.7563,37.2148,1.0729,2.6255,0.4278,1.8193,0.8579,3.5234,9.5327,21.3684,1.627,8.4264,16.7349,28.5564,57.9583,107.6975,114.8608,83.0404,79.2503,0.4657,4.4425
2.25,1.5614,2.7158,4.2156,13.444,1.6684,20.2154,0.5626,0.5945,1.9413,2.3455,0.8567,3.5047,5.6966,1.0894,2.1552,1.4412,0.8743,2.4315,11.6939,24.8679,28.0108,35.3447,0.9952,2.5143,0.3905,1.7275,0.7483,3.209,8.727,20.0705,1.5087,7.7399,15.3484,26.8772,55.1516,104.6003,114.5964,88.0942,83.9358,0.419,3.9735
2.33,1.4256,2.4742,3.8488,12.2393,1.5254,18.4312,0.515,0.5572,1.7467,2.1382,0.7585,3.3822,5.3848,0.9968,1.9841,1.3166,0.778,2.3045,10.892,23.3113,26.3298,33.4811,0.9225,2.4351,0.356,1.6384,0.7074,2.9527,7.9997,18.8332,1.3978,7.1251,14.0885,25.2265,52.2988,101.0915,113.5814,92.3692,88.346,0.3769,3.563
2.42,1.3386,2.2618,3.5251,11.2823,1.3994,16.8395,0.4713,0.5218,1.5784,1.9558,0.6752,3.2599,5.1013,0.9118,1.8281,1.202,0.6923,2.1832,10.1476,21.8491,24.7282,31.6504,0.8546,2.3576,0.3243,1.5524,0.6757,2.7484,7.3462,17.6642,1.294,6.5738,12.9478,23.6275,49.4566,97.2832,111.9145,95.8555,92.4333,0.3391,3.2028
2.5,1.2801,2.0743,3.2383,10.4962,1.2877,15.4669,0.4312,0.4885,1.4321,1.7946,0.6039,3.1386,4.8417,0.8338,1.6855,1.0969,0.6162,2.0675,9.4573,20.4821,23.2144,29.8727,0.7913,2.2818,0.2952,1.4697,0.6443,2.5774,6.7617,16.5655,1.1973,6.0785,11.9172,22.0964,46.6683,93.2763,109.6953,98.5635,96.1543,0.3052,2.8858
