Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0031,0.0021,0.0018,0.0015,0.0044,0.0001,0,0.0002,0.0006,0.0049,0.0001,0.0008,0.0032,0.0121,0.0165,0.0009,0.0044,0.0062,0.0006,0.0007,0.0015,0.0041,0.0095,0.0036,0.0057,0.0034,0.0055,0.0061,0.0023,0.0039,0.0005,0.001,0.0002,0.004,0.0055,0.0006,0.0002,0.0001,0.0001,0.0003,0.0015
0.17,0.3688,0.2511,0.2109,0.1792,0.5126,0.017,0.0033,0.0231,0.0719,0.5787,0.0089,0.0978,0.3779,0.6941,1.1021,0.1093,0.3742,0.6854,0.0751,0.081,0.177,0.4873,0.7084,0.4232,0.3621,0.3922,0.5911,0.2604,0.2678,0.4665,0.0607,0.1165,0.0288,0.4719,0.6501,0.0699,0.0259,0.0149,0.0081,0.0393,0.1773
0.25,1.6442,1.5328,1.3297,0.9313,2.1415,0.1096,0.0217,0.1464,0.4554,2.8688,0.058,0.623,1.5307,1.7616,2.7393,0.6206,1.1146,2.4892,0.4777,0.5066,0.8956,2.4565,1.9526,2.0057,0.9844,1.5535,2.0588,0.648,1.3456,2.7001,0.3649,0.7485,0.1859,2.9252,3.4815,0.448,0.1673,0.097,0.0529,0.1826,1.0987
0.33,3.1784,3.6564,3.6934,1.9569,3.9995,0.3486,0.0703,0.4154,1.4107,5.6803,0.1884,1.7189,2.8653,2.6818,3.9736,1.3803,1.8947,4.3727,1.4905,1.5358,1.8572,4.9355,3.1176,3.9295,1.5926,2.9484,3.6808,1.0023,2.7494,5.9633,0.8607,2.3769,0.596,7.7519,7.1365,1.337,0.5348,0.314,0.1727,0.3809,3.2865
0.42,4.606,5.9236,6.4318,3.015,5.6403,0.7866,0.1629,0.7361,3.0833,8.229,0.4422,3.0334,4.0789,3.3281,4.7195,2.2111,2.5681,5.9117,3.304,2.9223,2.8435,7.2392,4.0031,5.7137,2.081,4.2883,5.1177,1.2701,4.1351,9.1653,1.4333,5.1783,1.3721,12.9084,10.4806,2.4846,1.226,0.7323,0.4083,0.6028,6.6729
0.5,5.7781,8.0179,9.1074,3.9797,6.9177,1.3253,0.2844,1.0557,5.028,10.2461,0.8568,4.3881,5.0562,3.7374,5.1266,3.0149,3.0906,7.024,5.8438,4.2266,3.7391,9.1102,4.6074,7.1683,2.4345,5.4359,6.2525,1.4534,5.34,11.8794,2.019,8.3926,2.5922,17.5258,13.1341,3.718,2.3039,1.4071,0.7984,0.8269,9.8592
0.58,6.5599,9.6922,11.3939,4.732,7.697,1.8635,0.4168,1.335,6.7538,11.5399,1.4534,5.6246,5.6815,3.7844,5.0742,3.694,3.3658,7.5987,8.2938,5.2747,4.4327,10.3574,4.806,8.1355,2.5658,6.2372,6.9304,1.4807,6.221,13.8211,2.5502,11.5551,4.2663,21.0774,14.8588,4.8976,3.6549,2.3629,1.3698,1.0253,12.2764
0.67,5.8369,9.7704,12.0666,4.5647,6.5968,2.2282,0.523,1.4323,7.6555,10.3521,2.1546,6.12,4.9034,2.6263,3.3095,3.7375,2.6566,6.1079,9.7951,5.5888,4.2438,9.4236,3.5085,7.3072,1.9188,5.5175,5.7307,1.0615,5.8246,13.222,2.6957,13.5834,5.8798,21.322,13.5767,5.5123,4.7448,3.4499,2.0592,1.0271,12.9375
0.75,4.648,8.4393,11.1281,3.8429,5.1344,2.3723,0.5871,1.3423,7.7098,8.0614,2.8165,5.8063,3.8911,1.9651,2.3671,3.2736,2.1193,4.6417,10.2478,5.2295,3.5621,7.4362,2.6721,5.7744,1.4979,4.5309,4.5517,0.8186,4.7669,10.7774,2.4688,14.2102,7.0167,18.6459,10.5999,5.4632,5.4189,4.3912,2.8251,0.9286,12.1113
