Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0117,0.0108,0.0064,0.0028,0.022,0.0002,0.0002,0.0021,0.0022,0.0157,0.0081,0.002,0.0025,0.0252,0.0414,0.0035,0.0169,0.0275,0.0031,0.0022,0.0069,0.015,0.028,0.0215,0.0117,0.0122,0.0232,0.0125,0.0064,0.0225,0.0038,0.0038,0.0003,0.0232,0.0179,0.0018,0.0005,0.0003,0.0003,0.0005,0.0058
0.17,1.1209,1.054,0.6367,0.2773,1.9784,0.0194,0.0244,0.2058,0.2131,1.5123,0.7903,0.1976,0.2517,1.3894,2.4528,0.3473,1.0988,2.1508,0.304,0.2204,0.673,1.4438,1.7325,2.0041,0.7188,1.1392,1.8992,0.5419,0.6218,2.1482,0.3736,0.3838,0.034,2.2438,1.7189,0.1838,0.0521,0.0319,0.0329,0.0532,0.5644
0.25,6.4155,7.6126,5.1688,2.1649,9.835,0.1652,0.2053,1.4485,1.7429,9.8112,5.4695,1.6522,1.9794,5.3661,8.8801,2.481,4.5988,9.6582,2.4719,1.7742,4.0793,9.1975,6.9025,10.3466,3.0147,6.1226,8.8019,2.0019,4.2715,13.8374,2.4533,3.2073,0.2918,16.7102,11.8124,1.54,0.4425,0.273,0.2828,0.4377,4.4366
0.33,10.5779,15.8879,13.6282,5.0896,13.8688,0.5307,0.6285,2.9049,5.1762,18.0825,10.9661,4.8078,4.7014,6.2466,9.3211,5.2428,5.7519,12.579,7.2627,5.1099,7.2211,16.6529,8.1423,15.1125,3.8484,9.6825,11.8498,2.3516,8.5547,25.0614,4.7533,9.9,0.9453,36.0322,22.9835,4.5455,1.4094,0.8832,0.9184,1.2092,12.3147
0.42,11.8029,19.2345,20.3503,6.9189,14.5169,1.1522,1.1421,3.3832,10.0678,20.3687,13.1713,8.1216,6.4496,6.5931,9.195,6.6657,6.2361,13.33,14.0511,8.7436,8.4188,18.6758,8.5374,15.9232,4.268,11.0885,12.7376,2.5934,10.3844,27.5443,5.8263,19.1346,2.0776,43.5386,26.2443,7.8172,3.0255,1.9376,2.0255,1.9096,21.1836
0.5,17.4508,26.4923,28.0029,9.9477,22.2068,2.2409,1.7203,4.6025,16.288,28.4964,18.5931,11.8762,9.2986,11.0314,15.6812,9.6698,10.3083,21.3701,22.9247,12.2468,12.4455,26.3423,14.201,24.0377,7.0762,17.0958,20.2936,4.3906,14.8422,38.0506,8.6104,30.2022,4.1302,57.2252,35.8582,11.5026,5.8584,3.8438,4.0425,2.6869,30.0084
0.58,28.3967,43.0185,43.6798,16.4483,35.69,3.9225,2.6876,7.4497,23.6573,46.398,30.4577,18.7982,15.3956,17.2936,24.3756,16.0615,16.3612,34.079,33.2944,17.6257,20.4224,42.9406,22.346,38.7478,11.266,27.8707,32.493,6.8676,24.4149,61.7895,14.3095,45.6886,7.7963,90.779,58.1937,18.1804,10.7009,7.2388,7.6654,4.2,41.2641
0.67,38.1037,60.9812,65.3786,24.5424,45.6858,6.0819,4.1959,10.407,33.3931,63.6366,43.0005,29.2804,23.0698,20.7069,28.25,23.3181,20.2574,42.7214,46.1918,25.7483,28.1062,58.6873,26.9963,50.0934,14.0587,37.3453,41.2369,8.1891,34.6119,84.0668,20.3455,68.9472,13.5742,128.3271,80.6784,28.4073,17.3065,12.5684,13.4185,6.389,57.8156
0.75,33.8797,61.5654,75.0775,27.3136,36.6911,8.3006,5.387,10.2036,41.5876,59.7543,42.8261,36.486,25.8824,14.9895,18.9156,24.4398,15.4263,32.9679,56.8516,30.6959,26.3307,54.6262,19.64,41.06,10.941,32.9245,32.5619,6.06,34.6794,77.7495,20.349,88.9338,20.5033,129.8842,77.7521,35.7226,23.2534,18.7261,20.4312,7.5926,68.2479
