Alpha:,1,Beta:,10,m:,0.6
SubCat,3,32,4,5,6,7,38,37,10,11,15,39,19,40,18,34,41,35,20,17,16,13,23,24,26,28,29,27,25,22,30,36,31,21,14,12,9,8,1,33,2
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area,0.87,1.539,2.011,0.736,0.967,0.484,0.185,0.259,1.25,1.468,1.085,1.183,0.742,0.429,0.558,0.661,0.43,0.902,1.7,0.815,0.687,1.356,0.557,1.069,0.308,0.878,0.885,0.176,0.892,1.899,0.546,2.956,1.672,3.108,1.891,1.197,1.191,1.399,1.871,0.208,1.767
Time (hours),Q_3,Q_32,Q_4,Q_5,Q_6,Q_7,Q_38,Q_37,Q_10,Q_11,Q_15,Q_39,Q_19,Q_40,Q_18,Q_34,Q_41,Q_35,Q_20,Q_17,Q_16,Q_13,Q_23,Q_24,Q_26,Q_28,Q_29,Q_27,Q_25,Q_22,Q_30,Q_36,Q_31,Q_21,Q_14,Q_12,Q_9,Q_8,Q_1,Q_33,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0015,0.0018,0.0004,0.0005,0.0032,0,0.0001,0.0001,0.0005,0.0032,0.0001,0.0005,0.0007,0.0064,0.0031,0.0008,0.0014,0.0033,0.0001,0.0001,0.0005,0.0013,0.0039,0.002,0.0028,0.0014,0.0014,0.0019,0.0006,0.0012,0.0005,0.0004,0.0001,0.0011,0.0017,0.0003,0.0002,0,0.0001,0.0004,0.0004
0.17,0.1335,0.1627,0.0353,0.0418,0.2687,0.0018,0.0099,0.0131,0.0494,0.2851,0.0101,0.0496,0.0603,0.2623,0.2189,0.0674,0.0976,0.2744,0.0133,0.0135,0.0473,0.1198,0.2283,0.1744,0.1293,0.1237,0.1269,0.0732,0.0556,0.1118,0.0417,0.0324,0.0065,0.1016,0.1501,0.024,0.0147,0.0021,0.0058,0.0335,0.0401
0.25,0.5709,0.8548,0.2166,0.2308,0.96,0.0111,0.0448,0.0792,0.2966,1.2333,0.0621,0.2989,0.3049,0.6716,0.6646,0.3147,0.3103,0.9444,0.082,0.0825,0.2472,0.6452,0.648,0.7578,0.3527,0.4873,0.4978,0.193,0.3072,0.6646,0.2048,0.1998,0.0405,0.6172,0.8575,0.1476,0.0902,0.0132,0.036,0.1134,0.2434
0.33,1.132,1.8266,0.677,0.5219,1.759,0.0355,0.0946,0.2018,0.8976,2.3945,0.1961,0.7468,0.6543,1.0736,1.1483,0.6506,0.5692,1.7055,0.259,0.2578,0.5405,1.4128,1.1043,1.4977,0.596,0.9605,0.9791,0.3245,0.6941,1.6227,0.4363,0.6322,0.1291,1.8311,1.9596,0.4382,0.2831,0.0423,0.1151,0.2153,0.7495
0.42,1.7113,2.8565,1.3597,0.8606,2.5048,0.0832,0.1538,0.3449,1.7757,3.5184,0.4501,1.2835,1.0459,1.4029,1.58,1.0188,0.8344,2.406,0.5951,0.5786,0.8756,2.2505,1.5188,2.2472,0.8195,1.4672,1.4933,0.4476,1.1388,2.7193,0.6992,1.4322,0.3006,3.4104,3.1688,0.8246,0.6444,0.0995,0.2686,0.3251,1.6621
0.5,2.2472,3.8235,2.1434,1.2138,3.1275,0.1617,0.2182,0.4909,2.6619,4.4845,0.8504,1.8516,1.4398,1.6473,1.9267,1.3822,1.0818,2.983,1.1304,0.9772,1.2194,3.0617,1.8597,2.9251,1.0061,1.958,1.9901,0.5527,1.5952,3.8199,0.9686,2.4452,0.5805,5.0919,4.336,1.2627,1.1848,0.1949,0.5206,0.4332,2.8094
0.58,2.6734,4.6153,2.951,1.5436,3.549,0.2725,0.2812,0.6233,3.4375,5.1818,1.3216,2.3918,1.7911,1.7451,2.1358,1.6976,1.2729,3.3627,1.8611,1.3845,1.5339,3.7528,2.0648,3.4491,1.1151,2.3707,2.4063,0.6137,2.0133,4.8004,1.2142,3.5374,0.9856,6.6851,5.3278,1.7119,1.7719,0.3367,0.8878,0.5245,3.9107
0.67,2.5746,4.6365,3.5191,1.6582,3.1374,0.3825,0.3015,0.676,3.8066,4.8209,1.7241,2.6424,1.8574,1.3537,1.7867,1.7181,1.1646,2.9305,2.5368,1.6815,1.6177,3.8499,1.719,3.2919,0.929,2.3101,2.3393,0.5142,2.144,5.1309,1.2671,4.4137,1.4711,7.559,5.5193,2.0102,2.2404,0.5136,1.3326,0.5019,4.6282
