Alpha:,1,Beta:,10,m:,0.6
SubCat,3,32,4,5,6,7,38,37,10,11,15,39,19,40,18,34,41,35,20,17,16,13,23,24,26,28,29,27,25,22,30,36,31,21,14,12,9,8,1,33,2
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area,0.87,1.539,2.011,0.736,0.967,0.484,0.185,0.259,1.25,1.468,1.085,1.183,0.742,0.429,0.558,0.661,0.43,0.902,1.7,0.815,0.687,1.356,0.557,1.069,0.308,0.878,0.885,0.176,0.892,1.899,0.546,2.956,1.672,3.108,1.891,1.197,1.191,1.399,1.871,0.208,1.767
Time (hours),Q_3,Q_32,Q_4,Q_5,Q_6,Q_7,Q_38,Q_37,Q_10,Q_11,Q_15,Q_39,Q_19,Q_40,Q_18,Q_34,Q_41,Q_35,Q_20,Q_17,Q_16,Q_13,Q_23,Q_24,Q_26,Q_28,Q_29,Q_27,Q_25,Q_22,Q_30,Q_36,Q_31,Q_21,Q_14,Q_12,Q_9,Q_8,Q_1,Q_33,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0.0001,0.0001,0,0,0.0003,0,0,0,0,0.0003,0,0,0,0.0007,0.0004,0.0001,0.0002,0.0002,0,0,0.0001,0,0.0009,0,0.0015,0.0001,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0.0001,0
0.25,0.0054,0.0062,0.0003,0,0.0125,0,0,0,0.0023,0.018,0,0.0004,0,0.0135,0.011,0.0048,0.0046,0.0086,0,0,0.0043,0,0.0205,0.0025,0.0312,0.0055,0,0.0046,0,0,0.0009,0.0001,0,0.0024,0.003,0,0,0,0,0.0031,0
0.33,0.0461,0.0626,0.0058,0,0.0891,0,0,0,0.0362,0.1469,0,0.0055,0,0.0689,0.0702,0.0448,0.0313,0.0593,0,0,0.0453,0.0892,0.1189,0.0212,0.1704,0.0457,0,0.0246,0,0,0.009,0.0025,0,0.0405,0.0338,0,0,0,0.0001,0.023,0
0.42,0.1839,0.2733,0.042,0,0.3129,0,0,0,0.2411,0.5539,0,0.03,0.1561,0.1987,0.2348,0.1895,0.1128,0.2054,0,0,0.2058,0.7828,0.372,0.0845,0.4967,0.1831,0.3237,0.0523,0,0.0188,0.041,0.0203,0,0.2593,0.1544,0,0,0.0001,0.0004,0.0864,0
0.5,0.4863,0.7629,0.1713,0,0.7494,0,0,0,0.8645,1.3778,0.2178,0.1,0.5497,0.4175,0.5533,0.5208,0.2826,0.4902,0,0,0.5898,1.9442,0.8183,0.225,0.9956,0.4922,1.3859,0.1936,0,0.1144,0.1217,0.0961,0,0.9382,0.4588,0,0,0.0004,0.0024,0.2203,0
0.58,0.9933,1.6145,0.4884,0,1.4134,0,0,0,2.0773,2.6425,1.3486,0.2483,1.1125,0.7187,1.0479,1.0823,0.5584,0.9297,0,0.0418,1.2488,3.563,1.4335,0.4677,1.5617,1.0229,2.6714,0.8282,0,0.3626,0.2773,0.3083,0.0066,2.5297,1.0731,0,0,0.0017,0.0095,0.4323,0.1405
0.67,1.6988,2.8297,1.0954,0.1023,2.2674,0,0,0,3.8111,4.4365,2.8314,0.5059,1.805,1.0817,1.7969,1.8467,0.9337,1.5111,0.1849,0.3666,2.2593,5.7243,2.146,0.8238,2.0804,1.7748,3.973,2.3159,0.0482,0.8469,0.5254,0.761,0.0528,4.867,2.2529,0,0,0.0056,0.0304,0.7033,1.4809
0.75,2.5543,4.3296,2.0661,0.6673,3.2414,0.265,0,0,5.9797,6.3278,4.3795,0.8938,2.5911,1.4794,2.6441,2.7251,1.3803,2.2016,1.0579,1.1528,3.51,8.4081,2.8717,1.2906,2.4897,2.6954,5.1591,4.6829,0.336,1.635,0.8694,1.5586,0.2137,7.6246,4.2733,0,0,0.0157,0.0532,0.9963,3.2592
0.83,3.4877,5.9865,3.4165,1.9488,4.2562,1.5002,0,0.4858,8.0198,8.054,5.811,1.4187,3.4452,1.8858,3.4968,3.6095,1.859,2.9586,2.5027,2.7528,4.9748,11.4782,3.5426,1.8539,2.7818,3.7003,6.168,7.5218,1.0346,2.7922,1.2967,2.776,0.6182,10.6249,7.3425,0,0,0.0385,0,1.2747,5.276
