Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0337,0.0226,0.0189,0.0162,0.0471,0.0015,0.0003,0.0021,0.0064,0.053,0.0008,0.0088,0.0346,0.1295,0.1759,0.0098,0.0476,0.066,0.0067,0.0073,0.016,0.0445,0.1021,0.0386,0.0612,0.0363,0.0588,0.0651,0.0243,0.0423,0.0054,0.0104,0.0026,0.0426,0.0594,0.0062,0.0023,0.0013,0.0007,0.0035,0.016
0.17,3.0618,2.1303,1.8009,1.5142,4.2139,0.1471,0.029,0.1979,0.6157,4.7914,0.0773,0.84,3.1212,5.0915,7.8113,0.9309,2.946,5.5048,0.6445,0.6888,1.4939,4.0507,5.3724,3.5149,2.7683,3.2615,4.7801,1.9327,2.2475,3.9131,0.5206,1.0051,0.249,3.9919,5.3948,0.6023,0.2242,0.1296,0.0705,0.3363,1.4997
0.25,11.8092,11.8601,10.5488,7.057,14.9599,0.9008,0.182,1.1683,3.639,20.4405,0.4875,5.0293,10.8369,10.5405,15.2403,4.8389,7.5566,16.6207,3.8468,3.9595,6.7631,17.7176,12.2866,14.4096,6.3661,11.2995,14.2887,4.0162,9.9777,20.1055,2.9167,6.1419,1.5411,22.5345,25.0186,3.6614,1.3826,0.8123,0.4472,1.4383,8.4578
0.33,20.5805,25.9029,27.2125,13.6831,24.9412,2.7752,0.5831,3.0999,10.6195,35.9752,1.5746,13.1116,18.2753,14.9066,20.3255,10.0826,11.8134,25.9008,11.3925,11.0916,12.9428,31.8186,17.9115,25.3426,9.5606,19.6541,23.1395,5.929,18.574,39.798,6.5461,18.8614,4.8309,54.0304,45.4149,10.466,4.3064,2.5979,1.4598,2.881,23.1013
0.42,34.6963,45.48,50.5005,23.9375,41.4794,6.6815,1.4778,5.8613,24.0871,58.8717,4.0709,25.1347,30.9725,23.0342,31.2186,18.1781,19.9352,42.6542,26.4072,21.5789,22.6402,52.5829,28.8926,42.2403,15.4382,34.3121,39.4039,8.9835,31.7543,66.5101,12.2568,43.7705,12.0048,94.5462,73.806,21.1036,10.6136,6.6286,3.8304,5.4364,47.3503
0.5,34.2704,56.4851,66.2888,27.2727,38.3583,10.5471,2.51,7.8204,35.3503,60.7214,7.6917,34.4074,28.5493,15.0038,18.9023,22.4726,15.2752,34.9971,42.3136,28.0314,25.3841,55.3757,19.9227,43.0113,10.9951,32.4402,33.0748,6.1455,34.5524,76.8711,16.2218,66.68,21.4745,116.8456,79.5092,30.1105,18.7793,12.2928,7.3927,6.3645,61.5627
0.58,31.7293,54.8689,72.0717,25.8284,35.5584,13.7329,3.5241,8.7026,42.8327,53.7924,12.4447,38.4473,27.1127,15.8127,20.3442,22.0479,15.7638,33.451,54.015,31.8031,24.0503,49.4702,20.7327,38.9425,11.4441,31.7818,32.7327,6.3921,31.9497,69.8582,16.8319,85.2768,32.7689,119.1607,69.6015,36.149,27.4386,19.4834,12.2554,6.6481,69.0624
0.67,26.8136,50.0122,65.3283,23.3493,29.0996,15.3199,4.2475,7.9781,44.8099,46.2356,17.6068,36.4856,22.1553,10.7813,13.2926,20.7282,11.7428,25.7886,58.6519,28.7183,21.6236,42.8903,14.5711,33.3849,8.2004,26.3714,25.5308,4.4949,28.2238,62.0272,16.403,91.8549,41.9331,103.4159,60.6802,35.2248,33.0837,26.863,17.817,6.2656,66.1557
0.75,23.4983,43.7913,60.0131,20.45,25.7262,14.8503,4.4623,7.4026,40.9088,39.3365,22.2793,34.26,19.8494,10.9092,13.823,18.4407,11.3154,23.5873,58.3174,25.7499,18.9767,36.5685,14.4115,28.7989,8.0668,23.9677,23.6924,4.4836,24.4673,52.7369,15.0551,87.7949,47.7274,92.1023,51.0069,34.1781,36.2431,32.8479,23.9485,5.856,56.3759
0.83,20.3222,38.7942,52.2998,18.2098,21.9255,13.9589,4.4827,6.4807,36.4766,34.4103,25.4846,30.7307,16.8647,8.1234,10.1117,16.7025,9.0415,19.4808,51.4185,22.0371,16.8627,32.0743,11.0975,25.1235,6.2328,20.4597,19.58,3.3406,21.587,46.4825,13.8721,82.0905,49.9717,78.6943,44.9021,31.0108,35.8243,36.4445,30.129,5.3427,49.1803
0.92,13.8758,29.9979,42.8311,13.4517,14.4249,12.0582,4.1598,5.3648,29.9183,23.5975,26.7944,25.7452,11.2099,4.2916,4.9026,12.9367,5.5571,12.021,43.9261,17.8226,12.3715,22.3139,6.2234,17.2606,3.6117,14.0148,12.5377,1.8468,15.4679,34.1129,11.2657,70.4839,46.602,62.1832,31.3787,26.8264,32.0186,37.1194,35.4043,4.1834,38.3784
1,8.8607,20.6861,31.2361,9.1471,8.9655,10.0769,3.7164,3.9767,23.7333,14.6118,25.6196,19.4831,7.1421,2.5448,2.7076,9.1893,3.586,7.264,34.8386,13.2513,8.3949,14.0366,3.7844,10.9065,2.2706,9.3148,8.0207,1.1434,10.1791,22.1162,8.4076,58.4181,40.844,42.8644,19.4275,21.1615,27.5817,34.1765,38.5334,3.1255,29.2408
1.08,6.0571,14.4502,22.0217,6.5193,6.0116,7.9446,3.1582,2.8368,17.685,9.7226,23.3712,14.3893,4.8743,1.6514,1.6753,6.7379,2.47,4.7756,27.2567,9.0199,5.9866,9.4375,2.4989,7.3994,1.5348,6.5561,5.49,0.7646,7.0911,14.8805,6.3691,45.2675,34.4467,28.634,12.8241,16.024,22.674,30.4418,39.5762,2.4072,20.0082
1.17,4.3537,10.5586,16.1932,4.8378,4.259,6.0129,2.5944,2.1012,12.4188,6.8489,20.5446,10.981,3.4992,1.1421,1.1197,5.1125,1.7856,3.3344,19.9471,6.1943,4.4446,6.6996,1.7503,5.2883,1.094,4.8182,3.9499,0.5406,5.1704,10.5692,4.9605,34.1869,28.2638,20.2295,8.9806,12.4224,18.2733,25.9843,38.6618,1.9004,13.0133
1.25,3.2521,7.9895,12.3147,3.706,3.1459,4.62,2.1431,1.6073,8.8693,5.0367,17.6656,8.6038,2.6113,0.8282,0.7914,3.9871,1.3398,2.4355,14.1438,4.4678,3.4059,4.9564,1.2816,3.9328,0.8118,3.6626,2.9528,0.3987,3.9059,7.8223,3.9522,26.4848,22.5996,14.9102,6.5745,9.8595,14.0719,21.8537,35.5102,1.5312,8.9389
1.33,2.5044,6.217,9.6216,2.9127,2.401,3.6401,1.7945,1.2617,6.5922,3.8306,14.8356,6.889,2.0094,0.6229,0.5835,3.1801,1.0355,1.8424,10.385,3.3464,2.6777,3.7875,0.9714,3.0178,0.6219,2.8606,2.2753,0.3039,3.0352,5.9795,3.209,21.0087,17.4352,11.3602,4.9823,7.9798,10.7473,17.829,32.0023,1.2551,6.4486
1.42,1.9768,4.9495,7.6859,2.3382,1.8814,2.9281,1.5204,1.0118,5.0563,2.9931,12.1595,5.617,1.5851,0.4824,0.4447,2.5845,0.8198,1.4333,7.8885,2.5826,2.1501,2.9708,0.7569,2.3752,0.4888,2.2844,1.7969,0.2379,2.4138,4.6915,2.6477,16.9953,13.4876,8.8893,3.8817,6.5658,8.4249,14.234,27.98,1.0439,4.8307
1.5,1.5926,4.0163,6.2544,1.9106,1.5065,2.3968,1.3015,0.8261,3.9782,2.3911,9.9935,4.6509,1.2764,0.3825,0.348,2.134,0.6621,1.1408,6.1575,2.0422,1.7572,2.3809,0.6033,1.909,0.3924,1.8585,1.4483,0.1903,1.9568,3.7607,2.2147,13.9783,10.6862,7.1098,3.0935,5.4792,6.7485,11.4847,24.2208,0.8794,3.7286
1.58,1.3054,3.3119,5.17,1.5849,1.2284,1.9912,1.1243,0.6848,3.1963,1.9458,8.3313,3.9024,1.0457,0.3093,0.2784,1.7863,0.5438,0.9256,4.9149,1.6478,1.458,1.9427,0.49,1.5614,0.3206,1.5359,1.1875,0.1551,1.6124,3.0692,1.8747,11.6609,8.6361,5.7917,2.5123,4.6286,5.5043,9.4249,20.5032,0.7489,2.9487
1.67,1.0857,2.769,4.3315,1.332,1.0172,1.6756,0.9792,0.5751,2.6137,1.6085,7.0319,3.3122,0.8694,0.2544,0.2268,1.5129,0.4531,0.7632,3.9968,1.3523,1.2255,1.6097,0.4044,1.2964,0.266,1.2866,0.9879,0.1283,1.3472,2.5434,1.6035,9.8476,7.097,4.7918,2.0732,3.9519,4.559,7.8474,17.1801,0.6441,2.3794
1.75,0.9145,2.343,3.6718,1.1321,0.8535,1.4258,0.8589,0.4886,2.1696,1.3477,5.9993,2.8398,0.732,0.2121,0.1877,1.2948,0.3822,0.638,3.3019,1.1259,1.0417,1.3514,0.3383,1.0903,0.2235,1.0905,0.8324,0.1076,1.1392,2.1356,1.3842,8.4057,5.9161,4.0178,1.7345,3.406,3.8262,6.6161,14.5308,0.5587,1.9528
1.83,0.7788,2.0034,3.1445,0.9719,0.7244,1.2251,0.7584,0.4192,1.8243,1.1424,5.1672,2.4565,0.6232,0.1791,0.1574,1.1182,0.326,0.5398,2.7651,0.9493,0.8944,1.1475,0.2864,0.9273,0.19,0.9338,0.709,0.0913,0.9736,1.8137,1.2047,7.2429,4.993,3.4082,1.4684,2.9601,3.2482,5.6392,12.42,0.4883,1.626
1.92,0.6697,1.7289,2.7175,0.8416,0.6211,1.0619,0.6736,0.3629,1.5513,0.9784,4.4881,2.142,0.5358,0.1529,0.1335,0.9736,0.2807,0.4615,2.3429,0.8091,0.7746,0.9843,0.245,0.7964,0.1631,0.8068,0.6098,0.0783,0.8398,1.5559,1.0562,6.2934,4.2595,2.9205,1.2561,2.5919,2.7855,4.8528,10.7146,0.4297,1.371
2,0.5809,1.5043,2.3674,0.7346,0.5373,0.9276,0.6015,0.3166,1.3323,0.8456,3.9276,1.8811,0.4646,0.1317,0.1144,0.8539,0.2437,0.3982,2.0058,0.6963,0.6761,0.8518,0.2116,0.6901,0.1413,0.7028,0.529,0.0677,0.7304,1.3466,0.9321,5.5094,3.6685,2.5252,1.0845,2.2847,2.41,4.2118,9.3199,0.3806,1.1686
2.08,0.5077,1.3185,2.0774,0.6457,0.4685,0.8159,0.5397,0.2782,1.1542,0.7367,3.4605,1.6625,0.406,0.1144,0.099,0.7538,0.2132,0.3465,1.7328,0.6043,0.5944,0.743,0.1841,0.6026,0.1233,0.6167,0.4625,0.059,0.6399,1.1746,0.8275,4.8556,3.1862,2.201,0.9439,2.0261,2.1017,3.6834,8.1667,0.3389,1.0057
2.17,0.4468,1.1633,1.8347,0.5711,0.4115,0.7221,0.4865,0.246,1.0077,0.6464,3.0675,1.478,0.3572,0.1002,0.0863,0.6694,0.1878,0.3036,1.5091,0.5285,0.5258,0.6527,0.1615,0.5299,0.1084,0.5446,0.4071,0.0518,0.5644,1.0319,0.7386,4.3055,2.7882,1.9321,0.8276,1.8068,1.846,3.2433,7.2037,0.3034,0.8729
