Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0.0052,0.0035,0.0029,0.0025,0.0073,0.0002,0,0.0003,0.001,0.0082,0.0001,0.0014,0.0054,0.0137,0.0216,0.0015,0.0066,0.0103,0.001,0.0011,0.0025,0.0069,0.0132,0.006,0.0069,0.0056,0.0091,0.0053,0.0038,0.0066,0.0008,0.0016,0.0004,0.0066,0.0092,0.001,0.0004,0.0002,0.0001,0.0005,0.0025
0.25,0.0414,0.0335,0.0281,0.0221,0.0554,0.0023,0.0004,0.0031,0.0096,0.0711,0.0012,0.013,0.0395,0.0551,0.0912,0.0141,0.031,0.0678,0.01,0.0108,0.0214,0.0602,0.0579,0.05,0.0287,0.0395,0.055,0.0198,0.0325,0.0618,0.008,0.0155,0.0038,0.063,0.0841,0.0093,0.0034,0.002,0.0011,0.0043,0.0237
0.33,0.1019,0.1049,0.1002,0.0583,0.1332,0.0085,0.0017,0.0111,0.0359,0.1838,0.0045,0.0457,0.0938,0.1096,0.1803,0.0394,0.0657,0.1548,0.0375,0.0403,0.0556,0.1571,0.1192,0.1259,0.0587,0.0932,0.1238,0.039,0.0843,0.181,0.0237,0.0583,0.0144,0.2201,0.2281,0.0343,0.013,0.0075,0.0041,0.0108,0.088
0.42,0.1764,0.2006,0.2061,0.1046,0.2272,0.0218,0.0043,0.0232,0.0908,0.3231,0.0115,0.0935,0.1598,0.1688,0.2725,0.0727,0.1063,0.2567,0.0952,0.0946,0.0992,0.2777,0.1879,0.2196,0.0928,0.1592,0.2059,0.0603,0.1497,0.3349,0.0448,0.1467,0.037,0.4433,0.408,0.0738,0.0333,0.0193,0.0105,0.0192,0.218
0.5,0.2585,0.312,0.3332,0.1577,0.3288,0.0418,0.0084,0.0378,0.1745,0.4754,0.0239,0.1514,0.2318,0.2271,0.3578,0.1115,0.1496,0.3636,0.1931,0.1616,0.1489,0.4108,0.2576,0.3227,0.1281,0.2326,0.2944,0.0818,0.2234,0.5086,0.07,0.2689,0.0763,0.7039,0.6057,0.1228,0.0686,0.04,0.0219,0.029,0.391
0.58,0.3432,0.4326,0.4741,0.2146,0.4315,0.0657,0.0133,0.0542,0.2719,0.6307,0.0433,0.2166,0.3055,0.281,0.4317,0.154,0.193,0.4684,0.3179,0.2353,0.2021,0.5479,0.3243,0.429,0.1626,0.3093,0.3842,0.1023,0.3011,0.6908,0.0981,0.4127,0.1371,0.9841,0.8079,0.1789,0.1215,0.0722,0.0398,0.0399,0.5806
0.67,0.4269,0.5572,0.6227,0.2731,0.5308,0.0924,0.0189,0.0715,0.3767,0.7819,0.0714,0.2868,0.3777,0.3287,0.4928,0.1987,0.235,0.5667,0.4553,0.3118,0.2568,0.6827,0.3852,0.5337,0.1949,0.3863,0.4716,0.1211,0.3796,0.8729,0.1283,0.5721,0.2196,1.27,1.0048,0.2402,0.1845,0.1186,0.0657,0.0515,0.7736
0.75,0.5069,0.6818,0.7741,0.3315,0.6237,0.121,0.0252,0.0893,0.4841,0.9241,0.1078,0.36,0.4463,0.3696,0.5417,0.2444,0.2743,0.6559,0.5987,0.3877,0.3113,0.8109,0.4393,0.6334,0.2244,0.4614,0.5539,0.1378,0.4564,1.0488,0.1598,0.7421,0.3131,1.5511,1.19,0.3051,0.2537,0.1765,0.1013,0.0636,0.9607
0.83,0.5815,0.8032,0.9245,0.3883,0.7084,0.1507,0.0319,0.1071,0.5907,1.0544,0.1488,0.4345,0.5098,0.4039,0.5799,0.2899,0.3103,0.7347,0.7426,0.4609,0.3643,0.9297,0.486,0.7261,0.2505,0.5328,0.6297,0.1523,0.5297,1.2142,0.192,0.9182,0.4134,1.82,1.3596,0.372,0.327,0.2407,0.1479,0.076,1.1358
0.92,0.6498,0.9191,1.0707,0.4427,0.7843,0.181,0.039,0.1246,0.6935,1.1715,0.1933,0.5088,0.5675,0.4321,0.6094,0.3346,0.3427,0.8031,0.8832,0.5297,0.4149,1.0376,0.5257,0.8106,0.2734,0.5996,0.6981,0.1647,0.5984,1.3667,0.2242,1.097,0.5177,2.0717,1.5118,0.4399,0.4024,0.3093,0.2066,0.0883,1.2952
1,0.7114,1.0281,1.2108,0.4939,0.851,0.2111,0.0463,0.1414,0.7908,1.2749,0.2403,0.5819,0.6192,0.455,0.6317,0.3777,0.3713,0.8615,1.0175,0.5932,0.4625,1.134,0.559,0.8864,0.293,0.6611,0.759,0.1751,0.6618,1.5049,0.256,1.2754,0.6237,2.3032,1.6462,0.5076,0.4783,0.3809,0.2734,0.1006,1.4375
1.08,0.76,1.1236,1.3375,0.538,0.9011,0.2402,0.0537,0.1569,0.8789,1.3551,0.2888,0.6503,0.6589,0.4621,0.6333,0.4164,0.3906,0.9011,1.1409,0.6486,0.5034,1.2104,0.5759,0.9463,0.3036,0.7107,0.8037,0.1786,0.7146,1.619,0.2857,1.4469,0.7281,2.5019,1.7513,0.5724,0.5524,0.4536,0.3445,0.1118,1.5572
1.17,0.7265,1.1389,1.3854,0.5347,0.8456,0.2605,0.0595,0.1634,0.9287,1.2991,0.3322,0.6823,0.6208,0.3893,0.5151,0.4232,0.3523,0.819,1.2194,0.6692,0.4985,1.1687,0.4987,0.9084,0.2663,0.6779,0.7417,0.1531,0.7001,1.6005,0.2962,1.5616,0.8133,2.5359,1.6932,0.6092,0.6102,0.517,0.4129,0.113,1.5954
