Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0011,0.0007,0.0006,0.0005,0.0015,0,0,0.0001,0.0002,0.0017,0,0.0003,0.0011,0.0043,0.0058,0.0003,0.0016,0.0022,0.0002,0.0002,0.0005,0.0014,0.0033,0.0013,0.002,0.0012,0.0019,0.0021,0.0008,0.0014,0.0002,0.0003,0.0001,0.0014,0.0019,0.0002,0.0001,0,0,0.0001,0.0005
0.17,0.1622,0.11,0.0922,0.0785,0.226,0.0074,0.0015,0.0101,0.0314,0.2547,0.0039,0.0427,0.1664,0.32,0.5112,0.0478,0.169,0.3047,0.0328,0.0355,0.0776,0.2143,0.3233,0.1862,0.1652,0.1727,0.2634,0.12,0.1175,0.2048,0.0265,0.0508,0.0125,0.2067,0.286,0.0305,0.0113,0.0065,0.0035,0.0172,0.0777
0.25,0.776,0.7059,0.6077,0.4333,1.0181,0.0497,0.0098,0.0668,0.2078,1.354,0.0262,0.2836,0.7258,0.8767,1.3918,0.2864,0.5362,1.1984,0.2176,0.2323,0.4172,1.1558,0.9579,0.9457,0.4797,0.7324,0.9828,0.3197,0.6294,1.2568,0.1672,0.3396,0.0842,1.3456,1.6374,0.2035,0.0758,0.0438,0.0238,0.0844,0.5055
0.33,1.5627,1.75,1.7466,0.942,1.988,0.1612,0.0322,0.1958,0.6607,2.8069,0.0862,0.8068,1.4156,1.3972,2.1339,0.6569,0.946,2.2094,0.6957,0.7265,0.895,2.4267,1.5995,1.9331,0.8067,1.4399,1.8287,0.5129,1.3355,2.9002,0.4055,1.1001,0.2746,3.7171,3.5189,0.6229,0.2467,0.144,0.0789,0.1801,1.565
0.42,2.2135,2.8092,3.0245,1.4209,2.7381,0.3605,0.0735,0.3448,1.4418,4.0123,0.1988,1.407,1.9598,1.6529,2.4119,1.0306,1.2254,2.9019,1.5353,1.3928,1.3395,3.5099,1.9634,2.759,1.0056,2.0252,2.4522,0.619,1.9697,4.427,0.6607,2.3794,0.6239,6.1917,5.1253,1.1444,0.5589,0.3305,0.1829,0.2745,3.2085
0.5,2.6967,3.6852,4.1784,1.8104,3.2698,0.5994,0.1257,0.4824,2.3451,4.8492,0.3769,1.9732,2.3658,1.8292,2.5709,1.3517,1.4478,3.3702,2.7037,1.9995,1.7006,4.2845,2.2243,3.3579,1.1586,2.4963,2.9287,0.6993,2.4611,5.5694,0.893,3.7944,1.1601,8.2347,6.2337,1.6641,1.0349,0.6225,0.349,0.3614,4.754
0.58,3.0838,4.4213,5.1446,2.1505,3.6751,0.8323,0.1803,0.5995,3.1447,5.4925,0.6306,2.4801,2.6849,1.9253,2.6347,1.6444,1.6131,3.7008,3.8455,2.4705,2.0159,4.8935,2.3899,3.8348,1.2614,2.8879,3.2947,0.7466,2.8738,6.4713,1.1125,5.1406,1.8971,9.7994,7.0766,2.1393,1.635,1.0337,0.5888,0.445,5.922
0.67,3.2298,4.9027,5.8574,2.3501,3.7761,1.0257,0.2303,0.6883,3.7192,5.7239,0.9568,2.884,2.7807,1.8265,2.4296,1.8451,1.6235,3.6979,4.7379,2.7802,2.1967,5.1427,2.3152,4.0201,1.2392,3.0458,3.3645,0.7205,3.0845,6.9467,1.2808,6.2481,2.7045,10.7958,7.4117,2.5393,2.1936,1.5505,0.9025,0.5031,6.5883
0.75,3.244,5.1214,6.2844,2.4367,3.7428,1.1813,0.2754,0.7447,4.1019,5.6841,1.3108,3.1589,2.7829,1.7571,2.2946,1.9557,1.619,3.6116,5.3426,2.9543,2.2745,5.1429,2.2502,4.0254,1.2188,3.1046,3.3591,0.7026,3.1482,7.0429,1.3905,7.1366,3.4165,11.22,7.3641,2.8408,2.6563,2.0757,1.2902,0.5433,6.9189
0.83,3.2551,5.2539,6.5239,2.505,3.7186,1.3004,0.3149,0.7781,4.3328,5.6493,1.6402,3.3503,2.7848,1.712,2.2143,2.045,1.6158,3.5513,5.7445,3.015,2.3368,5.137,2.2059,4.0296,1.2044,3.1512,3.3554,0.6904,3.1964,7.0744,1.4814,7.7976,3.991,11.3404,7.3098,3.0575,3.0183,2.5449,1.7521,0.5794,6.9967
0.92,3.2662,5.3634,6.724,2.5621,3.7043,1.3851,0.3481,0.8059,4.4382,5.628,1.9296,3.5183,2.7887,1.6846,2.1695,2.1219,1.6154,3.5127,5.9763,3.0366,2.389,5.1364,2.1784,4.036,1.1957,3.1908,3.3562,0.6829,3.2367,7.1027,1.5625,8.2773,4.4421,11.439,7.2751,3.2485,3.3019,2.9394,2.2756,0.6119,6.9229
1,3.2763,5.4546,6.8922,2.6098,3.6956,1.4553,0.3788,0.8295,4.5,5.6159,2.1821,3.6653,2.7929,1.6665,2.1423,2.1879,1.6152,3.4868,6.0842,3.0546,2.4326,5.1391,2.1596,4.0431,1.1895,3.223,3.3578,0.6776,3.27,7.1288,1.6344,8.6949,4.7923,11.5217,7.2545,3.4194,3.5095,3.272,2.7821,0.6409,6.8628
1.08,3.3627,5.6052,7.1084,2.6952,3.7897,1.5257,0.4098,0.8581,4.5835,5.7344,2.4084,3.8302,2.8711,1.7889,2.3028,2.2759,1.6884,3.5883,6.2032,3.1002,2.5129,5.2522,2.2758,4.1413,1.2604,3.3305,3.47,0.7366,3.3612,7.2725,1.7178,9.1203,5.067,11.7391,7.3908,3.601,3.6801,3.5585,3.2487,0.6772,6.8887
1.17,4.4292,6.6946,8.2459,3.3626,5.1352,1.7031,0.4656,0.9916,5.0621,7.4233,2.6961,4.4531,3.888,2.8809,3.9043,2.7682,2.476,5.1349,6.7755,3.5127,3.156,6.735,3.5356,5.3906,1.9207,4.4612,4.8876,1.1514,4.2592,8.9238,2.056,10.2447,5.537,13.7753,9.3794,4.1471,4.0384,3.9409,3.7654,0.8523,7.7211
1.25,5.9648,8.8408,10.4767,4.4837,6.9329,2.0092,0.5534,1.2505,5.9758,10.1823,3.0811,5.6412,5.193,3.6862,5.024,3.6548,3.1931,6.8863,7.8463,4.3292,4.2076,9.1961,4.566,7.3224,2.46,5.8769,6.4273,1.4585,5.7285,12.0868,2.6785,12.2157,6.2716,17.8808,12.9221,5.1484,4.6202,4.4766,4.373,1.1085,9.3898
1.33,7.1175,10.9308,13.2107,5.4209,8.2224,2.4378,0.6741,1.5772,7.2677,12.2444,3.5695,7.0696,6.1531,4.1225,5.5498,4.4535,3.6877,8.0565,9.3464,5.4955,5.0749,11.0804,5.1886,8.7684,2.7998,6.9699,7.5298,1.6321,6.9021,14.8288,3.2887,15.0021,7.2486,22.625,15.6663,6.4793,5.4081,5.1654,5.0702,1.3373,11.7393
1.42,7.5017,12.1495,15.0422,5.8914,8.5431,2.9267,0.8157,1.8051,8.707,12.9645,4.1227,8.0932,6.4088,3.9511,5.1911,4.9284,3.7114,8.1638,11.0349,6.4238,5.4975,11.7965,5.0692,9.2779,2.7607,7.3242,7.7139,1.5836,7.4195,16.1547,3.7016,17.9694,8.3538,25.4179,16.7323,7.5279,6.3071,5.9437,5.8178,1.4724,14.0464
1.5,7.5016,12.5561,15.9446,6.0223,8.4675,3.3188,0.9425,1.9257,9.7703,12.8741,4.7273,8.6733,6.3936,3.8417,4.9783,5.1189,3.6948,8.0117,12.6894,6.8986,5.6121,11.7722,4.9623,9.2583,2.7243,7.3956,7.6844,1.5543,7.5028,16.3324,3.9156,20.1518,9.5469,26.4077,16.6417,8.212,7.2832,6.789,6.6209,1.5472,15.2737
1.58,7.4595,12.6884,16.2551,6.0867,8.3647,3.5754,1.0422,1.9725,10.3159,12.7319,5.3743,8.9716,6.3434,3.7091,4.7788,5.2352,3.645,7.8541,13.7181,7.0085,5.6691,11.6802,4.83,9.1955,2.6616,7.4025,7.6056,1.5038,7.5215,16.2757,4.0595,21.5078,10.8017,26.4455,16.4509,8.5955,8.1848,7.6862,7.4727,1.6031,15.6035
1.67,6.9505,12.3001,15.9979,5.8379,7.6932,3.6605,1.102,1.9508,10.2766,11.8695,6.0105,8.9611,5.8543,3.1975,4.0405,5.1138,3.2764,7.0743,13.9654,6.8239,5.4254,10.9436,4.2279,8.5877,2.3507,6.9046,6.9294,1.3116,7.1307,15.4804,4.0395,21.8956,11.7473,25.5399,15.4143,8.6976,8.6982,8.5388,8.3153,1.5759,15.0564
1.75,6.3347,11.4744,15.2261,5.4202,6.9655,3.642,1.1336,1.8676,9.9359,10.7238,6.5151,8.6546,5.3351,2.8943,3.6287,4.8197,3.0026,6.3735,13.6341,6.4725,5.0337,9.9279,3.8331,7.8025,2.145,6.3666,6.3278,1.1959,6.5531,14.1588,3.8781,21.712,12.2065,23.8182,13.9202,8.5361,8.8535,9.1364,9.1302,1.512,14.2041
1.83,5.91,10.7422,14.2936,5.1042,6.4794,3.5531,1.143,1.7599,9.4442,9.9466,6.8302,8.2503,4.9789,2.7017,3.3908,4.5776,2.812,5.9222,13.0861,6.0092,4.7411,9.2242,3.5768,7.2663,2.0053,5.9793,5.9141,1.1174,6.1354,13.1365,3.7258,21.0851,12.2581,22.0194,12.8811,8.2157,8.7644,9.4475,9.9129,1.4594,13.1817
1.92,5.5177,10.1086,13.4944,4.8097,6.0302,3.4018,1.1307,1.6655,8.8167,9.2691,6.9624,7.8805,4.641,2.4949,3.1276,4.3476,2.6127,5.4923,12.3584,5.5774,4.4663,8.6072,3.3072,6.7828,1.8576,5.598,5.5031,1.0339,5.7538,12.2763,3.5748,20.1587,12.0416,20.5733,12.0028,7.9023,8.5362,9.499,10.618,1.4012,12.0751
2,5.1871,9.5291,12.773,4.5416,5.665,3.253,1.1126,1.5798,8.2526,8.6882,6.9711,7.5258,4.3666,2.3659,2.9733,4.1277,2.4694,5.1663,11.5499,5.2292,4.2175,8.0729,3.1283,6.3686,1.7577,5.2834,5.1878,0.9805,5.4157,11.5131,3.4227,19.3045,11.6744,19.3245,11.239,7.5969,8.1964,9.3984,11.0986,1.3451,11.227
2.08,4.954,9.0728,12.1531,4.3397,5.4148,3.1193,1.0929,1.5049,7.7945,8.287,6.897,7.211,4.1745,2.2844,2.8837,3.9544,2.3692,4.9507,10.8868,4.9371,4.0311,7.698,3.0114,6.0789,1.6901,5.0544,4.9676,0.945,5.1691,10.9511,3.2958,18.5227,11.1919,18.3078,10.707,7.3093,7.8216,9.1923,11.3554,1.2996,10.564
2.17,4.7781,8.7227,11.6713,4.1815,5.2291,2.997,1.0718,1.4459,7.4075,7.9933,6.7523,6.9558,4.0292,2.2237,2.8182,3.8149,2.2917,4.7926,10.3385,4.7095,3.8848,7.4207,2.9237,5.8623,1.6384,4.8757,4.7996,0.9181,4.9801,10.5356,3.1904,17.8155,10.7075,17.5576,10.3212,7.069,7.4958,8.905,11.4228,1.2609,10.0318
2.25,4.6461,8.4479,11.2901,4.0565,5.0932,2.8947,1.0523,1.3989,7.1047,7.7754,6.5897,6.7457,3.9215,2.1849,2.7794,3.7012,2.2362,4.6813,9.8813,4.5408,3.7695,7.213,2.865,5.6997,1.6029,4.7396,4.677,0.9003,4.8341,10.2206,3.1018,17.2342,10.2874,16.9896,10.0349,6.8677,7.2074,8.6246,11.3782,1.2284,9.6535
2.33,4.5209,8.2075,10.9586,3.9429,4.9599,2.8071,1.034,1.3578,6.8626,7.5739,6.4324,6.5582,3.8159,2.1108,2.692,3.5984,2.1693,4.5613,9.5172,4.4019,3.6639,7.0225,2.7784,5.548,1.5506,4.6069,4.5478,0.8653,4.7007,9.9435,3.0207,16.7301,9.9081,16.5035,9.7762,6.6861,6.9512,8.3639,11.2394,1.1971,9.3572
2.42,4.0836,7.6701,10.341,3.6391,4.4316,2.688,1.0056,1.284,6.5227,6.878,6.238,6.2191,3.4121,1.7482,2.1777,3.3601,1.8796,3.9902,9.0585,4.1605,3.3744,6.3995,2.3442,5.031,1.3189,4.1436,4.0062,0.7251,4.308,9.1952,2.8503,16.0099,9.4822,15.469,8.9374,6.3806,6.6578,8.0583,10.983,1.1158,8.8499
2.5,3.5744,6.8705,9.4421,3.2376,3.8538,2.5358,0.9662,1.1775,6.086,5.9724,6.0123,5.7257,2.9864,1.5126,1.8567,3.0257,1.6541,3.4493,8.4971,3.8226,2.9999,5.5797,2.0365,4.3905,1.1549,3.6662,3.5134,0.6338,3.7996,8.0946,2.6036,15.0661,9.0133,13.9242,7.7636,5.9457,6.3179,7.7182,10.6723,1.0182,8.1539
2.58,3.2134,6.1813,8.5023,2.9315,3.4549,2.3595,0.918,1.0634,5.5855,5.3356,5.7669,5.2171,2.6866,1.3654,1.6709,2.7559,1.4969,3.0886,7.8706,3.4225,2.7173,4.9934,1.836,3.9393,1.0448,3.3178,3.168,0.5745,3.4247,7.2293,2.3901,13.9564,8.5133,12.3812,6.9173,5.4544,5.9451,7.356,10.3235,0.9396,7.3418
2.67,2.9878,5.6987,7.8182,2.7215,3.2177,2.1736,0.8647,0.9787,5.064,4.9419,5.5105,4.8325,2.5048,1.3021,1.6063,2.5613,1.4096,2.8919,7.2198,3.0948,2.5243,4.6237,1.7399,3.6565,0.9887,3.0968,2.967,0.5465,3.1769,6.6593,2.2289,12.8464,8.0037,11.325,6.388,5.0642,5.559,6.9841,9.9519,0.8817,6.555
