Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0004,0.0003,0.0002,0,0.0007,0,0,0.0001,0.0001,0.0003,0.0004,0.0001,0.0001,0.0016,0.001,0.0003,0.0015,0.0011,0,0,0.0003,0.0002,0.0016,0.0005,0.001,0.0006,0.0011,0.0008,0,0,0.0002,0.0001,0,0.0003,0.0003,0,0,0,0,0.0001,0.0001
0.17,0.066,0.0453,0.0266,0,0.1007,0,0.0036,0.0166,0.0125,0.0541,0.0669,0.0117,0.0094,0.1588,0.1132,0.049,0.1751,0.1435,0,0,0.0401,0.0346,0.1775,0.0767,0.1113,0.0847,0.1532,0.0572,0.0036,0.01,0.0392,0.0157,0.0001,0.041,0.0401,0,0,0.0003,0,0.0102,0.0151
0.25,0.4549,0.3832,0.2436,0.0001,0.6055,0,0.0339,0.1365,0.1151,0.4198,1.176,0.1102,0.086,0.7138,0.5011,0.4054,0.8321,0.7604,0,0.0461,0.3624,0.8002,0.8216,0.483,0.5297,0.5417,1.0531,0.2494,0.0942,0.1456,0.3042,0.148,0.0023,0.4563,0.3106,0,0,0.0034,0,0.0923,0.1353
0.33,1.5237,1.7889,1.0341,0.0166,2.4884,0,0.1563,0.4718,0.521,2.7886,9.005,0.5006,0.6433,1.9277,3.748,1.4469,2.3242,2.1873,0,0.0534,3.6208,6.3155,3.1554,1.4535,3.1135,1.7102,7.6115,1.7089,0.1383,0.9395,1.0435,0.6934,0.019,6.1727,2.6808,0,0,0.0165,0,0.3952,0.5851
0.42,4.8137,7.0669,4.1708,0,6.5063,0,0.3994,0.925,2.5626,9.6731,18.042,1.2526,2.492,2.7397,6.3973,3.2076,3.4039,3.4532,1.7477,2.6559,8.5181,17.7093,5.9697,2.4895,5.1509,4.7213,12.908,9.0697,0.2087,4.5619,2.0566,1.8794,0.0902,17.8851,13.8741,0,0,0.0488,0,0.9104,4.0691
0.5,6.7799,12.1151,9.6446,3.2084,8.1882,1.964,0.6865,1.8548,7.8837,13.3018,18.3886,2.1281,4.3838,3.0032,7.0078,5.4117,3.7346,4.5859,5.9815,8.5262,11.5888,26.9107,6.383,3.4898,4.5181,6.6528,12.8135,17.1559,2.3759,8.3288,2.6949,4.719,0.162,26.3996,27.1523,0,0,0.1037,0,1.9392,9.9478
0.58,7.2522,13.7659,13.3128,10.5103,8.254,6.3718,0.9092,2.1523,12.9157,13.8771,14.9334,2.8142,5.639,3.0324,6.8785,6.1174,3.73,5.0044,11.0153,14.8964,14.6321,31.7561,5.7095,4.0193,3.596,7.1936,10.9976,19.2867,6.3469,11.5147,3.3293,9.3866,0.3178,29.0057,36.4388,6.5979,0,0.1819,0,2.3056,14.6803
0.67,6.9533,13.3078,14.6744,19.3492,7.6487,12.9774,1.0344,2.0569,14.5459,13.0904,11.455,3.2844,6.4009,2.9502,6.481,5.9205,3.5666,5.0134,15.0715,20.2942,18.1365,33.8042,4.8871,4.2172,2.7976,6.9623,8.9665,18.2069,10.2796,14.2529,3.5535,13.0759,2.0034,28.7382,42.3331,19.4967,1.0596,0.229,0,2.2267,16.364
0.75,6.3461,12.0073,14.575,25.5337,6.8404,20.3305,1.0928,1.8205,13.5097,11.7928,8.7221,3.6014,6.8174,2.8132,5.9997,5.358,3.3294,4.8144,17.4186,24.6001,21.7781,34.5642,4.1121,4.2239,2.1924,6.3983,7.1837,16.0774,13.0579,16.5482,3.51,15.2083,5.5792,27.5029,45.716,32.5224,7.7987,0.0229,1.1575,1.9816,16.1532
0.83,5.662,10.484,13.7291,28.8462,6.0285,26.6316,1.1064,1.5568,11.6383,10.3835,6.707,3.9279,7.0002,2.6503,5.5102,4.7102,3.0627,4.5206,18.5458,27.7303,25.1424,34.9144,3.4534,4.1231,1.7444,5.7361,5.7392,13.8221,14.6822,18.4437,3.3242,16.0753,10.6793,26.3158,47.489,44.1961,16.4989,0.5126,3.9527,1.7023,15.0994
0.92,5.0029,9.1469,12.5778,29.8775,5.2877,31.049,1.0902,1.3108,9.7235,9.039,5.2384,4.166,7.0583,2.4773,5.0437,4.0946,2.7903,4.1933,18.8601,29.759,27.9055,35.2197,2.9134,3.9643,1.4111,5.0853,4.6039,11.8167,15.3746,19.9173,3.0753,16.0762,16.0372,25.7556,48.388,53.9811,25.7425,2.0556,7.7242,1.4417,13.7239
1,4.4077,8.0429,11.3588,29.4209,4.6387,33.4789,1.0546,1.0968,8.0346,7.8285,4.1605,4.2681,7.0294,2.3031,4.6116,3.5507,2.5253,3.8648,18.6395,30.8516,29.9123,35.5475,2.4752,3.7769,1.1595,4.4905,3.7204,10.3101,15.415,20.954,2.8086,15.5466,19.7595,25.8493,48.9492,61.8827,34.8926,4.5156,12.1067,1.2162,12.2845
1.08,3.886,7.0682,10.1883,28.0751,4.0802,34.234,1.0068,0.97,6.6288,6.7698,3.358,4.2696,6.9317,2.1328,4.2167,3.0846,2.2747,3.551,18.0756,31.1932,31.1513,35.8369,2.1197,3.5784,0.9663,3.9649,3.0329,8.9472,15.0464,21.5742,2.6264,14.7255,21.7045,26.2663,49.425,68.148,43.5301,7.8591,16.6349,1.0275,10.9046
