Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0003,0.0003,0.0002,0.0001,0.0005,0,0,0.0001,0.0001,0.0004,0.0002,0,0.0001,0.0006,0.001,0.0001,0.0004,0.0007,0.0001,0.0001,0.0002,0.0004,0.0007,0.0005,0.0003,0.0003,0.0006,0.0003,0.0002,0.0006,0.0001,0.0001,0,0.0006,0.0004,0,0,0,0,0,0.0001
0.17,0.0261,0.0242,0.0144,0.0063,0.0469,0.0004,0.0005,0.0048,0.0048,0.0351,0.0181,0.0044,0.0057,0.0326,0.0604,0.0079,0.0256,0.0507,0.0069,0.005,0.0155,0.0335,0.0409,0.0474,0.0165,0.0263,0.0446,0.0123,0.0142,0.0501,0.0085,0.0086,0.0008,0.0518,0.0398,0.0041,0.0012,0.0007,0.0007,0.0012,0.0129
0.25,0.1103,0.134,0.0888,0.0365,0.1751,0.0027,0.0034,0.026,0.0297,0.1749,0.0946,0.0275,0.0333,0.0951,0.1755,0.0416,0.0775,0.1673,0.0424,0.0308,0.0685,0.1633,0.122,0.1839,0.0497,0.1006,0.1501,0.0342,0.0729,0.2524,0.0406,0.0534,0.0047,0.3052,0.2132,0.0256,0.0072,0.0044,0.0046,0.0074,0.0789
0.33,0.226,0.3058,0.2442,0.0871,0.3418,0.0086,0.0106,0.0587,0.0938,0.3762,0.2094,0.0812,0.0799,0.1714,0.3082,0.0931,0.1431,0.3157,0.1337,0.0963,0.1433,0.3478,0.2217,0.3635,0.0919,0.2018,0.2861,0.0611,0.1606,0.5423,0.0872,0.1702,0.0152,0.7322,0.4723,0.0766,0.0232,0.0142,0.0147,0.0211,0.2455
0.42,0.3577,0.5104,0.4435,0.1505,0.5221,0.0203,0.0211,0.0968,0.2135,0.6075,0.3458,0.1541,0.1385,0.2517,0.4376,0.156,0.2142,0.4759,0.3057,0.1943,0.2305,0.5593,0.3266,0.5594,0.1384,0.3181,0.435,0.0901,0.2654,0.8703,0.1432,0.3661,0.0359,1.2355,0.772,0.1467,0.0545,0.0335,0.0347,0.0391,0.5194
0.5,0.494,0.7298,0.6695,0.2224,0.6993,0.0394,0.0338,0.1367,0.3666,0.8473,0.4928,0.2406,0.2052,0.3292,0.5523,0.226,0.2855,0.6342,0.5334,0.3065,0.3236,0.7785,0.4279,0.7532,0.1857,0.4408,0.5842,0.1189,0.3791,1.2039,0.2046,0.6051,0.0705,1.7621,1.0835,0.2302,0.1063,0.0659,0.0683,0.0599,0.8285
0.58,0.6272,0.9506,0.909,0.2994,0.8632,0.0634,0.0479,0.1758,0.5338,1.0808,0.6418,0.3364,0.2768,0.4,0.6482,0.2995,0.3531,0.7819,0.7807,0.4243,0.4174,0.992,0.5205,0.9337,0.2315,0.5632,0.7255,0.146,0.4955,1.5219,0.2684,0.8729,0.1228,2.2757,1.3869,0.323,0.1829,0.1147,0.1192,0.0824,1.1416
0.67,0.752,1.1635,1.1515,0.3786,1.0084,0.0906,0.0631,0.2126,0.7051,1.2985,0.7868,0.4381,0.3508,0.4622,0.7251,0.3739,0.4149,0.9144,1.0312,0.5412,0.5082,1.1911,0.6017,1.0947,0.2741,0.6807,0.8542,0.1707,0.6101,1.8115,0.3323,1.1579,0.1962,2.7531,1.6695,0.4219,0.2742,0.1832,0.1907,0.1057,1.4387
0.75,0.8653,1.3623,1.3893,0.4579,1.1332,0.1202,0.0789,0.246,0.8729,1.495,0.9236,0.5431,0.4252,0.5154,0.785,0.447,0.4696,1.0296,1.2734,0.6526,0.5936,1.371,0.6711,1.2338,0.3128,0.7903,0.9678,0.1926,0.7193,2.0667,0.3944,1.4508,0.2932,3.1818,1.9241,0.5243,0.3739,0.2696,0.2861,0.1289,1.7083
