Alpha:,1,Beta:,10,m:,0.6
SubCat,3,32,4,5,6,7,38,37,10,11,15,39,19,40,18,34,41,35,20,17,16,13,23,24,26,28,29,27,25,22,30,36,31,21,14,12,9,8,1,33,2
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area,0.87,1.539,2.011,0.736,0.967,0.484,0.185,0.259,1.25,1.468,1.085,1.183,0.742,0.429,0.558,0.661,0.43,0.902,1.7,0.815,0.687,1.356,0.557,1.069,0.308,0.878,0.885,0.176,0.892,1.899,0.546,2.956,1.672,3.108,1.891,1.197,1.191,1.399,1.871,0.208,1.767
Time (hours),Q_3,Q_32,Q_4,Q_5,Q_6,Q_7,Q_38,Q_37,Q_10,Q_11,Q_15,Q_39,Q_19,Q_40,Q_18,Q_34,Q_41,Q_35,Q_20,Q_17,Q_16,Q_13,Q_23,Q_24,Q_26,Q_28,Q_29,Q_27,Q_25,Q_22,Q_30,Q_36,Q_31,Q_21,Q_14,Q_12,Q_9,Q_8,Q_1,Q_33,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0013,0.0016,0.0003,0.0004,0.0028,0,0.0001,0.0001,0.0005,0.0028,0.0001,0.0005,0.0006,0.0056,0.0028,0.0007,0.0012,0.0029,0.0001,0.0001,0.0005,0.0012,0.0034,0.0017,0.0025,0.0012,0.0012,0.0017,0.0005,0.0011,0.0004,0.0003,0.0001,0.001,0.0015,0.0002,0.0001,0,0.0001,0.0004,0.0004
0.17,0.135,0.1645,0.0356,0.0423,0.2729,0.0018,0.01,0.0133,0.0499,0.2885,0.0102,0.0501,0.0609,0.287,0.2262,0.0681,0.1007,0.2793,0.0134,0.0136,0.0478,0.1211,0.2399,0.1764,0.1394,0.125,0.1283,0.0807,0.0561,0.113,0.0422,0.0327,0.0066,0.1027,0.1518,0.0243,0.0148,0.0021,0.0059,0.0342,0.0405
0.25,0.9974,1.3989,0.3423,0.3751,1.7645,0.0176,0.078,0.1251,0.4683,2.1312,0.0982,0.4733,0.5078,1.3449,1.2828,0.5369,0.6,1.7549,0.1296,0.1303,0.408,1.0505,1.2806,1.314,0.7045,0.8794,0.8995,0.3896,0.4984,1.053,0.3449,0.3159,0.0641,0.975,1.3712,0.2333,0.1425,0.0208,0.057,0.216,0.3845
0.33,2.1955,3.5434,1.2011,1.0186,3.3381,0.0633,0.1873,0.3781,1.5721,4.6075,0.3476,1.4194,1.2811,1.9217,2.1381,1.275,1.0873,3.2226,0.4593,0.4557,1.0592,2.7412,2.0464,2.8991,1.0978,1.8678,1.903,0.5953,1.3512,3.0752,0.8574,1.1213,0.2296,3.269,3.7628,0.7917,0.5009,0.0754,0.2047,0.4165,1.3192
0.42,2.6059,4.5615,2.3676,1.4289,3.5431,0.1408,0.2489,0.5859,2.9734,5.2555,0.7542,2.1901,1.6893,1.7138,2.1057,1.6097,1.1849,3.3555,0.9978,0.9653,1.4314,3.6453,1.9937,3.4104,1.0655,2.2274,2.2627,0.5787,1.8842,4.5693,1.1286,2.4164,0.5074,5.909,5.204,1.4517,1.0752,0.1689,0.4541,0.4784,2.7351
0.5,2.5394,4.5373,3.2077,1.5397,3.2477,0.2477,0.2719,0.6495,3.8415,4.8889,1.2812,2.4656,1.755,1.5236,1.9016,1.6385,1.1661,3.0553,1.7028,1.4894,1.5122,3.7194,1.834,3.2752,0.9962,2.238,2.2695,0.5519,2.0104,4.9405,1.1843,3.786,0.8848,7.2585,5.3724,1.8341,1.7807,0.3,0.7955,0.4865,4.1885
0.58,3.0401,5.1774,3.8689,1.8226,3.9945,0.399,0.3443,0.7334,4.3033,5.712,1.9152,2.8612,2.0836,2.119,2.4671,1.9674,1.5265,3.7967,2.6655,1.9159,1.7988,4.2693,2.4509,3.8771,1.3549,2.7797,2.82,0.7633,2.3577,5.5793,1.4288,4.9663,1.4283,8.273,6.0485,2.1777,2.5421,0.4942,1.2907,0.6344,5.3626
0.67,4.6374,7.6431,5.0937,2.6852,6.2562,0.6041,0.5302,1.0174,5.2792,8.738,2.6314,4.0539,3.1133,3.4356,3.9418,2.9782,2.4029,5.9781,3.9338,2.4321,2.6787,6.2646,3.9238,5.9081,2.1637,4.2808,4.345,1.2159,3.4589,7.8488,2.1523,6.4801,2.2774,10.8434,8.6907,2.958,3.3544,0.8048,2.0689,0.9944,6.6312
