Alpha:,1,Beta:,10,m:,0.6
SubCat,3,32,4,5,6,7,38,37,10,11,15,39,19,40,18,34,41,35,20,17,16,13,23,24,26,28,29,27,25,22,30,36,31,21,14,12,9,8,1,33,2
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area,0.87,1.539,2.011,0.736,0.967,0.484,0.185,0.259,1.25,1.468,1.085,1.183,0.742,0.429,0.558,0.661,0.43,0.902,1.7,0.815,0.687,1.356,0.557,1.069,0.308,0.878,0.885,0.176,0.892,1.899,0.546,2.956,1.672,3.108,1.891,1.197,1.191,1.399,1.871,0.208,1.767
Time (hours),Q_3,Q_32,Q_4,Q_5,Q_6,Q_7,Q_38,Q_37,Q_10,Q_11,Q_15,Q_39,Q_19,Q_40,Q_18,Q_34,Q_41,Q_35,Q_20,Q_17,Q_16,Q_13,Q_23,Q_24,Q_26,Q_28,Q_29,Q_27,Q_25,Q_22,Q_30,Q_36,Q_31,Q_21,Q_14,Q_12,Q_9,Q_8,Q_1,Q_33,Q_2
1.17,1.2586,2.1898,1.37,0.5606,1.525,0.2815,0,0,3.0757,2.8522,2.7618,0.5245,1.5192,0.6629,1.1639,1.3426,0.6618,1.0431,1.1563,0.9907,1.8659,5.3685,1.2913,0.6521,1.0759,1.337,2.568,2.5283,0.2529,0.969,0.4665,1.1904,0.4017,4.7764,2.6079,0,0,0.0315,0.0983,0.473,2.1333
1.25,1.5267,2.6628,1.8136,1.0228,1.8167,0.8245,0,0,3.5493,3.3931,3.0998,0.6901,1.8124,0.7827,1.453,1.5918,0.8007,1.2622,1.7663,1.6201,2.4708,6.4511,1.4885,0.818,1.1725,1.6272,2.8682,3.3866,0.4789,1.3265,0.5951,1.6341,0.6574,5.8158,3.6812,0,0.1844,0.0319,0.1211,0.5529,2.8323
1.33,1.8079,3.1616,2.3225,1.6939,2.1192,1.5334,0,0,3.9972,3.9784,3.4078,0.8845,2.124,0.9066,1.7633,1.839,0.9446,1.4967,2.4682,2.5151,3.2076,7.6113,1.6805,1.0045,1.2585,1.9293,3.1437,4.2446,0.8272,1.7728,0.7387,2.1654,1.0197,6.9097,5.0301,0,0.5279,0.0278,0.1708,0.63,3.5327
1.42,2.0922,3.6675,2.8887,2.6063,2.4216,2.4327,0,0.2078,4.4166,4.5148,3.6933,1.1057,2.45,1.0304,2.0667,2.0741,1.0885,1.7395,3.2519,3.7074,4.1313,8.8419,1.8602,1.2081,1.3313,2.2316,3.3882,5.0594,1.3156,2.321,0.8934,2.7841,1.5108,8.055,6.6585,0,1.0121,0.0285,0.2431,0.7013,4.2249
1.5,2.3702,4.1638,3.4956,3.7737,2.7147,3.549,0,0.4414,4.8079,4.9936,3.9617,1.3499,2.7875,1.151,2.3576,2.2894,1.2277,1.9842,4.1044,5.1953,5.2926,10.1556,2.0229,1.425,1.3905,2.5241,3.5994,5.8045,1.9492,2.9847,1.0547,3.4824,2.1505,9.2438,8.5594,0,1.6441,0.044,0.3883,0.7651,4.8984
1.58,2.6348,4.6368,4.1241,5.1843,2.9917,4.9022,0,0.6365,5.1879,5.4123,4.2104,1.6126,3.1338,1.2658,2.6325,2.4808,1.3587,2.2251,5.0104,7.22,6.7629,11.5789,2.1662,1.6512,1.4373,2.7987,3.778,6.4673,2.7192,3.7777,1.2181,4.245,2.9526,10.4749,10.7174,0,2.4211,0.0893,0.6489,0.8205,5.5373
1.67,2.8805,5.0766,4.7556,6.8008,3.248,6.4959,0,0.794,5.4845,5.7724,4.4318,1.8886,3.4867,1.3732,2.8891,2.6465,1.479,2.4579,5.9511,9.3335,8.5932,13.1591,2.2898,1.8826,1.4733,3.0501,3.9265,7.0452,3.6053,4.712,1.3795,5.053,3.9214,11.7524,13.1144,0,3.3365,0.1843,1.1327,0.8674,6.1302
1.75,3.1041,5.4771,5.3728,8.5645,3.4808,8.312,0.1755,0.9184,5.7124,6.0781,4.6236,2.1727,3.844,1.4722,3.1262,2.7871,1.5874,2.6792,6.9061,11.4174,10.6482,14.9319,2.3943,2.1158,1.5006,3.2753,4.0483,7.5414,4.5782,5.7952,1.5353,5.8861,5.0479,13.0832,15.7335,0,4.3643,0.355,1.8585,0.9066,6.6704
1.83,3.3042,5.8353,5.9618,10.405,3.6893,10.3103,0.362,1.015,5.8855,6.3348,4.7865,2.4597,4.2034,1.5622,3.3436,2.9042,1.6833,2.8865,7.8571,13.4458,12.8066,16.8906,2.4815,2.3474,1.521,3.4735,4.1471,7.9625,5.6189,7.0275,1.6827,6.724,6.3079,14.4739,18.5622,0,5.4735,0.6304,2.7978,0.9386,7.1552
1.92,3.4805,6.1509,6.5121,12.5455,3.8735,12.4642,0.5055,1.0893,6.0158,6.5486,4.9232,2.7447,4.5625,1.6432,3.5413,3.0004,1.7668,3.0786,8.7884,15.4017,14.9794,18.9996,2.5534,2.5748,1.5361,3.645,4.2264,8.3164,6.8637,8.4004,1.8198,7.5486,7.6664,15.9281,22.009,0,6.7343,1.1021,3.9662,0.9646,7.5846
