Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0263,0.0177,0.0148,0.0127,0.0368,0.0012,0.0002,0.0016,0.005,0.0414,0.0006,0.0068,0.0271,0.1014,0.1378,0.0077,0.0373,0.0516,0.0053,0.0057,0.0125,0.0348,0.0799,0.0302,0.0479,0.0284,0.046,0.051,0.019,0.0331,0.0042,0.0081,0.002,0.0333,0.0464,0.0049,0.0018,0.001,0.0006,0.0028,0.0125
0.17,2.3579,1.6356,1.3814,1.1632,3.2496,0.1127,0.0222,0.1518,0.4721,3.6913,0.0592,0.6438,2.4054,3.9044,6.0509,0.7143,2.2632,4.2535,0.494,0.5287,1.1478,3.1189,4.1349,2.7067,2.1175,2.5099,3.6844,1.4633,1.7282,3.0092,0.399,0.7698,0.1906,3.0661,4.1547,0.4614,0.1717,0.0992,0.0539,0.2579,1.1519
0.25,7.9048,8.1195,7.2109,4.7584,9.9888,0.6119,0.1232,0.7978,2.4844,13.8975,0.3298,3.4274,7.1826,6.8978,10.0662,3.2763,4.8813,11.007,2.6227,2.7136,4.5487,12.0382,7.999,9.7214,4.125,7.4248,9.3409,2.6191,6.7331,13.7959,1.977,4.1735,1.0453,15.4822,17.1418,2.4898,0.9383,0.55,0.3023,0.9478,5.8116
0.33,13.6477,16.9574,17.9892,8.9191,16.6861,1.8327,0.3817,2.0487,7.0959,23.8849,1.0288,8.5795,12.1939,9.996,13.9083,6.518,7.9019,17.5477,7.5884,7.4731,8.4423,21.0567,12.1044,16.782,6.3682,13.0131,15.5172,3.8685,12.1877,26.2334,4.2097,12.4643,3.1779,36.0046,30.1079,6.876,2.8369,1.7013,0.9515,1.8526,15.6506
0.42,17.8522,25.1662,28.2884,12.6744,21.0448,3.8669,0.844,3.2832,14.1761,31.2963,2.3228,13.9325,15.5293,10.6556,14.2578,9.7532,9.3524,20.9192,15.4946,12.4889,11.9089,28.0123,13.4205,22.1029,7.1908,17.0281,19.0717,4.2045,16.7665,36.651,6.6137,25.1711,6.9221,53.3631,40.0617,11.7397,6.1329,3.7956,2.1768,2.753,28.1163
0.5,19.2108,29.9848,36.0028,14.5634,22.0552,5.8835,1.3651,4.2502,20.3437,33.4293,4.2592,18.2995,16.4688,10.2842,13.3864,11.7305,9.6056,21.174,24.6078,16.0082,13.6128,30.2984,13.1907,23.7937,7.1921,18.5553,19.8891,4.1437,18.7138,41.2192,8.3517,36.9212,12.146,64.1984,43.1765,16.1619,10.6658,6.8568,4.0594,3.3525,35.9239
0.58,20.3089,32.8095,40.7177,15.8866,23.0814,7.6679,1.8958,4.8682,24.8719,34.7869,6.8863,21.3705,17.4162,10.7405,13.9499,13.1457,10.2273,22.0321,31.4568,18.0603,14.8366,31.7309,13.8314,25.0184,7.5869,20.0071,21.1009,4.3407,20.0487,43.5603,9.6777,47.1259,18.7107,69.4997,44.8023,19.5244,15.638,10.9015,6.6927,3.88,40.7121
0.67,20.5541,34.523,43.4647,16.63,23.0554,8.9176,2.351,5.2389,27.2928,35.1586,10.1013,23.4828,17.4626,10.1879,13.1025,14.1058,10.0129,21.6043,35.9819,18.8315,15.4982,32.2337,13.2548,25.3676,7.3174,20.3126,20.9068,4.1465,20.6735,44.776,10.676,53.9975,24.8816,71.9177,45.4322,21.9182,19.5853,15.6378,10.0323,4.2328,42.0209
0.75,20.1929,34.8265,44.8645,16.6786,22.5119,9.7151,2.7193,5.4475,28.2531,34.3149,13.238,24.7656,17.1372,9.926,12.7349,14.4191,9.8392,21.0041,38.0245,19.1501,15.5277,31.5717,12.9234,24.8674,7.1612,20.149,20.5215,4.054,20.4979,44.2231,11.1895,58.532,29.5988,72.4153,44.3489,23.6284,22.4668,19.8358,13.9983,4.4203,41.998
