Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0001,0.0001,0.0001,0,0.0002,0,0,0,0,0.0001,0,0,0.0001,0.001,0.0005,0.0001,0.0005,0.0003,0,0,0.0001,0.0001,0.0007,0.0001,0.0006,0.0002,0.0003,0.0005,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0
0.17,0.0262,0.0119,0.0123,0.0029,0.0326,0,0.0009,0.0023,0.0051,0.0238,0.0009,0.0065,0.0176,0.1001,0.0592,0.0183,0.0709,0.0542,0,0,0.0125,0.0167,0.0834,0.0226,0.068,0.0417,0.0561,0.0368,0.0001,0,0.0058,0.0057,0.001,0.0105,0.0193,0,0,0.0002,0,0.0088,0.0052
0.25,0.1903,0.1068,0.1124,0.0269,0.2258,0,0.008,0.0206,0.0472,0.1868,0.0085,0.0604,0.1188,0.4171,0.257,0.1566,0.3467,0.3322,0,0.0092,0.0994,0.1337,0.3827,0.1726,0.3,0.2758,0.3297,0.1534,0.0419,0.024,0.0518,0.0531,0.01,0.0958,0.1566,0,0,0.0018,0,0.0652,0.0493
0.33,0.5372,0.3728,0.4347,0.0896,0.6171,0,0.0329,0.0802,0.1917,0.5486,0.0363,0.2339,0.5263,0.8925,0.665,0.5005,0.8156,0.848,0,0.0682,0.3963,1.2721,0.8643,0.498,0.6779,0.7504,1.0833,0.3555,0.1666,0.1302,0.1779,0.2218,0.0443,0.4525,0.4604,0,0,0.0079,0,0.1903,0.2025
0.42,1.0268,0.8129,1.0205,0.2076,1.1516,0.039,0.0916,0.1898,0.5171,1.6526,0.1042,0.5535,1.5987,1.4215,1.8906,1.0362,1.3901,1.5102,0,0.1586,1.6192,3.6844,1.4314,0.963,1.7225,1.4124,3.4846,0.9523,0.2909,0.337,0.3903,0.6127,0.1329,2.5107,1.8233,0,0,0.0229,0,0.3784,0.5359
0.5,1.8501,1.8285,2.3553,0.2758,2.3532,0.1134,0.193,0.3409,1.5125,4.0409,0.2367,1.005,3.0223,1.9464,3.4982,1.7064,1.9949,2.2308,0.4818,1.3565,3.5768,7.0124,2.5848,1.5111,2.8809,2.3011,6.122,3.5707,0.3307,1.1509,0.6766,1.26,0.3189,6.6194,5.0116,0,0,0.0523,0,0.6114,1.8474
0.58,3.4257,3.8593,5.2738,0.9727,4.192,1.2233,0.3329,0.521,3.9059,7.3036,0.762,1.56,4.6215,2.4446,5.0979,2.4552,2.588,2.9644,2.3421,4.5572,6.3073,10.9157,4.0175,2.1033,3.8156,4.2246,8.4961,8.1909,0.6704,2.7834,1.0198,2.1369,0.6498,11.825,11.514,0,0,0.1021,0,0.8727,5.0182
0.67,5.2978,6.6133,9.3193,3.4637,6.3003,3.6699,0.5031,0.7192,7.6538,10.5346,2.2716,2.1928,6.2776,2.9132,6.6045,3.829,3.1509,3.884,5.0258,9.2265,10.1667,15.4417,5.4036,2.7165,4.4587,6.4116,10.4389,14.3376,2.4163,5.3174,1.4046,4.0882,1.0896,17.5369,20.7228,0.1882,0,0.1781,0,1.4018,8.7122
0.75,7.2395,9.8194,13.9713,8.8376,8.4307,7.8106,0.6948,0.9272,11.2835,13.4932,4.2304,2.8806,7.9183,3.348,7.9705,5.5418,3.6722,5.4299,8.4512,15.0782,15.2544,20.8525,6.7223,3.9975,4.9087,8.5476,11.9433,19.8066,6.3391,8.9232,1.8178,7.5189,3.0021,23.3203,31.1847,4.5703,0,0.3399,0,1.9174,12.5188
0.83,9.0482,13.5923,18.616,18.9011,10.4636,14.5766,0.9,1.5701,14.2458,16.0568,6.3443,3.6161,9.4929,4.015,9.1845,7.1047,4.4847,6.9992,12.5238,21.8222,21.4616,27.2823,7.7631,5.4884,5.1558,10.4023,13.0567,23.8683,11.9685,15.0651,2.2466,11.9972,6.6769,29.1909,42.6986,14.8818,2.0677,0.5265,0,2.3506,16.1496
0.92,10.7003,16.8722,22.8814,30.4139,12.4994,24.6148,1.1135,2.3067,16.5741,18.3266,8.401,5.2283,11.0869,4.8258,10.4719,8.4461,5.3645,8.5863,17.1077,29.2532,28.6822,34.8837,8.6494,7.1025,5.4492,12.0132,14.0429,27.1574,18.0642,22.5859,2.8836,17.2383,13.1703,35.4073,55.724,29.3599,8.9454,0.7847,0.4929,2.7221,19.5026
1,12.242,19.765,26.6982,42.2594,14.2621,37.1401,1.3321,2.9234,18.4327,20.4584,10.3057,7.0702,12.911,5.6037,11.8049,9.6209,6.1618,10.1877,22.0511,37.3364,36.8227,43.7453,9.4128,8.8334,5.7311,13.4601,14.9991,30.0088,24.2811,31.3419,3.8639,22.9059,21.4687,42.6948,70.6321,47.4374,19.4682,1.8995,3.3324,3.0593,22.5854
1.08,13.5802,22.2864,30.3372,53.6301,15.6964,50.9342,1.5528,3.4352,19.9577,22.366,12.0317,9.0734,14.912,6.289,13.0786,10.6076,6.824,11.6875,27.2077,46.0121,45.6473,53.6159,10.0008,10.5854,5.935,14.658,15.8063,32.4306,30.3125,41.0193,4.8935,28.6679,30.3071,51.2515,87.4867,69.0388,33.7144,4.1901,8.2321,3.3516,25.4201
1.17,14.705,24.415,33.512,64.1395,16.8525,64.872,1.9186,3.8505,21.2752,24.0285,13.587,11.1342,17.0657,6.8944,14.2943,11.408,7.3732,13.0512,32.4274,55.133,55.0031,64.2581,10.4864,12.2885,6.1223,15.636,16.4989,34.4623,35.9427,51.1897,5.9115,34.5759,39.2433,60.8345,106.1897,93.9781,51.7387,8.1892,15.4707,3.6021,28.0436
1.25,15.6487,26.2045,35.9216,73.4268,17.7997,78.1367,2.5306,4.1837,22.4278,25.4854,14.9899,13.1621,19.338,7.408,15.4162,12.0649,7.8186,14.2677,37.5937,64.5054,64.7516,75.5084,10.877,13.9053,6.2718,16.4411,17.0961,36.1536,41.0768,61.5031,6.8765,40.5264,48.1678,71.167,126.5056,121.9966,73.5005,14.4121,25.1867,3.8186,30.4212
1.33,16.3862,27.6703,37.7532,81.3069,18.5187,90.1464,2.8794,4.4486,23.3831,26.6968,16.2522,15.0788,21.6414,7.8039,16.3839,12.5773,8.146,15.4101,42.5747,73.926,74.6613,87.1146,11.1388,15.3718,6.343,17.0459,17.5418,37.4643,45.6338,71.595,7.7507,45.4066,56.7186,81.9685,147.8775,152.7322,98.8546,23.3151,37.394,3.9953,32.5123
1.42,16.619,28.5266,38.6738,87.4183,18.6396,100.3888,3.0849,4.612,23.9822,27.2862,17.3244,16.7147,23.686,7.8223,16.7902,12.7565,8.1169,15.9683,47.2067,82.9712,84.1659,98.388,10.8455,16.4481,5.9597,17.0731,17.3543,37.7096,49.3338,80.7773,8.441,49.09,64.3705,92.4563,168.8593,185.4364,127.4474,35.249,51.9522,4.0674,34.1405
1.5,16.2242,28.4928,38.3613,91.1269,18.0585,108.1491,3.1866,4.6383,24.0712,26.9921,18.1359,17.879,25.2687,7.6116,16.752,12.4664,7.8266,15.8278,51.1147,90.9909,92.6819,108.6085,10.2431,16.9464,5.471,16.473,16.5757,36.7485,51.7253,88.1769,8.8484,51.3668,70.6253,101.7062,187.7509,218.6771,158.5454,50.4174,68.6664,4.0034,35.0828
1.58,15.5912,27.7994,37.0242,92.4256,17.2537,113.049,3.2064,4.54,23.6507,26.2456,18.655,18.527,26.4892,7.3394,16.5121,11.9566,7.4766,15.4106,54.0425,97.5878,100.1355,117.8516,9.6426,17.0717,5.0789,15.7047,15.6942,35.1716,52.9041,93.669,9.0108,52.2445,75.1944,109.2727,204.1669,250.9088,191.1063,68.8369,87.2459,3.8798,35.2878
1.67,14.6641,26.5974,34.9963,91.5153,16.1081,115.0792,3.1402,4.3484,22.6449,25.0311,18.8324,18.7021,27.1859,6.8313,15.8146,11.2546,6.9217,14.6013,55.9008,102.4934,106.0504,125.7285,8.7283,16.804,4.4555,14.6232,14.4501,32.8846,52.9419,97.197,8.9542,51.675,77.869,114.9677,217.2556,280.9721,223.9687,90.2839,107.3514,3.6809,34.676
1.75,13.4049,24.8232,32.3079,88.484,14.5791,114.2694,3.0045,4.0714,21.1415,23.2393,18.6363,18.4074,27.268,6.2298,14.8202,10.3017,6.2584,13.5968,56.5575,105.4537,110.0095,131.6482,7.7013,16.0961,3.8965,13.2334,12.9081,29.9857,51.7594,98.4481,8.6658,49.8967,78.5354,118.4026,226.0109,307.5104,255.8335,114.3045,128.6155,3.3958,33.3639
