Alpha:,1,Beta:,10,m:,0.6
SubCat,3,32,4,5,6,7,38,37,10,11,15,39,19,40,18,34,41,35,20,17,16,13,23,24,26,28,29,27,25,22,30,36,31,21,14,12,9,8,1,33,2
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area,0.87,1.539,2.011,0.736,0.967,0.484,0.185,0.259,1.25,1.468,1.085,1.183,0.742,0.429,0.558,0.661,0.43,0.902,1.7,0.815,0.687,1.356,0.557,1.069,0.308,0.878,0.885,0.176,0.892,1.899,0.546,2.956,1.672,3.108,1.891,1.197,1.191,1.399,1.871,0.208,1.767
Time (hours),Q_3,Q_32,Q_4,Q_5,Q_6,Q_7,Q_38,Q_37,Q_10,Q_11,Q_15,Q_39,Q_19,Q_40,Q_18,Q_34,Q_41,Q_35,Q_20,Q_17,Q_16,Q_13,Q_23,Q_24,Q_26,Q_28,Q_29,Q_27,Q_25,Q_22,Q_30,Q_36,Q_31,Q_21,Q_14,Q_12,Q_9,Q_8,Q_1,Q_33,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0009,0.0011,0.0002,0.0003,0.0019,0,0.0001,0.0001,0.0003,0.002,0.0001,0.0003,0.0004,0.0039,0.0019,0.0005,0.0008,0.002,0.0001,0.0001,0.0003,0.0008,0.0024,0.0012,0.0017,0.0008,0.0009,0.0012,0.0004,0.0008,0.0003,0.0002,0,0.0007,0.001,0.0002,0.0001,0,0,0.0003,0.0003
0.17,0.082,0.0999,0.0216,0.0256,0.1655,0.0011,0.0061,0.0081,0.0303,0.1754,0.0062,0.0304,0.037,0.1627,0.1351,0.0413,0.06,0.1691,0.0082,0.0083,0.029,0.0735,0.1409,0.1072,0.0798,0.0759,0.0779,0.0452,0.0341,0.0685,0.0256,0.0198,0.004,0.0623,0.0921,0.0147,0.009,0.0013,0.0036,0.0206,0.0246
0.25,0.3546,0.5298,0.133,0.1422,0.6012,0.0068,0.0275,0.0489,0.1831,0.7696,0.0381,0.184,0.1883,0.4269,0.4183,0.1946,0.193,0.5923,0.0503,0.0507,0.1525,0.3992,0.4075,0.4714,0.2217,0.3019,0.3084,0.1211,0.1895,0.4102,0.1264,0.1226,0.0248,0.3799,0.5304,0.0906,0.0554,0.0081,0.0221,0.0702,0.1499
0.33,0.7145,1.1497,0.4177,0.3245,1.1259,0.0218,0.0585,0.1258,0.5605,1.5249,0.1208,0.4636,0.4086,0.7014,0.7401,0.4073,0.3594,1.094,0.1596,0.1594,0.3367,0.8859,0.7101,0.9478,0.3827,0.6029,0.6148,0.2078,0.4324,1.013,0.2719,0.3893,0.0793,1.1367,1.2288,0.2704,0.1747,0.0259,0.0707,0.1349,0.4655
0.42,1.0999,1.8304,0.8453,0.5413,1.6408,0.0512,0.0959,0.2179,1.1267,2.291,0.2791,0.8056,0.6619,0.941,1.0433,0.6471,0.5358,1.5802,0.3688,0.3607,0.5522,1.4341,0.9994,1.4501,0.538,0.9351,0.9522,0.2927,0.7182,1.7225,0.441,0.8869,0.1853,2.1425,2.0204,0.5126,0.4008,0.0611,0.1654,0.2065,1.0442
0.5,1.4716,2.4962,1.345,0.7731,2.0948,0.0999,0.1372,0.3149,1.7214,2.9844,0.5314,1.1768,0.9247,1.1311,1.3015,0.8915,0.7069,2.0037,0.7059,0.616,0.7794,1.9849,1.2506,1.9253,0.6745,1.2682,1.2897,0.3688,1.02,2.4586,0.6191,1.526,0.3597,3.244,2.8142,0.7919,0.744,0.12,0.3221,0.2793,1.7918
0.58,1.8012,3.0945,1.8796,1.0035,2.4584,0.1696,0.1801,0.4088,2.2781,3.5572,0.8369,1.5498,1.1771,1.2607,1.499,1.1222,0.8591,2.3382,1.1768,0.8877,1.0019,2.4947,1.4462,2.3376,0.7816,1.5769,1.6018,0.4294,1.3154,3.1611,0.7933,2.2363,0.6163,4.3448,3.5454,1.0896,1.1301,0.2086,0.5538,0.3477,2.5476
0.67,2.0087,3.5062,2.3864,1.1929,2.6185,0.2476,0.2165,0.4849,2.7206,3.8641,1.1462,1.8682,1.3704,1.2713,1.5619,1.2902,0.9464,2.4745,1.6793,1.1428,1.1788,2.8666,1.5116,2.5866,0.8193,1.7849,1.8108,0.4527,1.5528,3.7156,0.93,2.9422,0.9564,5.295,4.0841,1.3693,1.5062,0.3294,0.8634,0.3932,3.2105
