Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0002,0.0002,0.0001,0,0.0004,0,0,0.0001,0,0.0002,0.0002,0,0,0.0009,0.0006,0.0002,0.0008,0.0006,0,0,0.0001,0.0001,0.0009,0.0003,0.0006,0.0003,0.0006,0.0004,0,0,0.0001,0.0001,0,0.0001,0.0001,0,0,0,0,0,0.0001
0.17,0.036,0.0246,0.0144,0,0.0553,0,0.002,0.0091,0.0068,0.0295,0.0363,0.0063,0.0051,0.0879,0.0634,0.0266,0.0964,0.0789,0,0,0.0218,0.0189,0.0981,0.0421,0.0611,0.0461,0.0841,0.0316,0.0018,0.0053,0.0213,0.0085,0,0.0223,0.0219,0,0,0.0002,0,0.0055,0.0082
0.25,0.2554,0.2129,0.1338,0,0.3449,0,0.0184,0.0763,0.0631,0.2353,0.3015,0.06,0.0471,0.4105,0.2946,0.2233,0.4736,0.4334,0,0.0238,0.1603,0.1936,0.4722,0.2745,0.3,0.3028,0.474,0.1522,0.0501,0.0809,0.1681,0.0806,0.0012,0.1998,0.1797,0,0,0.0018,0,0.0505,0.075
0.33,0.8401,0.7869,0.5809,0.0322,1.0607,0,0.0862,0.2728,0.2915,0.9509,4.0621,0.2767,0.1881,1.1532,1.357,0.8163,1.3725,1.2947,0,0.1098,1.3428,2.6482,1.3402,0.8584,1.1538,0.9863,3.2719,0.3721,0.1983,0.3204,0.5914,0.3832,0.0098,2.254,0.8267,0,0,0.009,0,0.2206,0.3342
0.42,1.8147,2.5913,1.4113,0.0556,2.6039,0,0.2244,0.5545,0.8645,3.7096,9.7157,0.706,1.0329,1.7045,3.0577,1.7108,2.0901,2.1234,0.3011,0.5261,4.0792,8.402,2.5461,1.5269,2.3879,1.8152,6.7524,2.5516,0.2885,1.5224,1.2006,1.0595,0.0472,8.4771,4.1799,0,0,0.0268,0,0.5215,1.0177
0.5,2.8977,4.8811,3.6211,0.2979,3.6987,0.0017,0.3936,0.7492,2.8665,6.2582,11.0231,1.2247,2.0721,1.9223,3.7376,2.3559,2.3639,2.5343,2.4284,2.8547,5.6587,13.822,3.1279,1.894,2.5976,2.7778,7.4613,6.1809,0.3761,3.127,1.618,1.9811,0.1499,13.8742,10.0778,0,0,0.0576,0,0.8252,4.1629
0.58,3.4568,6.2126,5.57,1.9092,4.1255,1.262,0.5325,0.8455,5.6992,7.2703,9.7034,1.6526,2.8733,1.9809,3.9303,2.6995,2.4162,2.7281,5.1125,6.1162,7.0189,17.2003,3.17,2.0886,2.3383,3.3654,6.9191,8.8414,1.1587,4.3948,1.8561,3.3947,0.3043,16.2899,15.9024,0,0,0.1022,0,1.095,7.1246
0.67,3.6326,6.7201,6.7892,4.4504,4.1549,3.2578,0.618,0.8869,7.5906,7.3937,7.9161,1.9638,3.4436,1.957,3.8917,2.9843,2.353,2.8025,7.4668,9.2034,8.6447,18.9201,2.9646,2.1901,1.9766,3.5853,5.9915,9.8412,2.4211,5.3872,1.978,5.1524,0.5525,16.9352,20.1106,2.7124,0,0.1605,0,1.2082,8.6372
0.75,3.5782,6.7032,7.3669,7.356,3.9796,5.7111,0.6649,0.8961,7.8285,7.0605,6.3223,2.1875,3.827,1.8889,3.7427,3.0005,2.2299,2.8067,9.0598,11.9221,10.5099,19.6771,2.6734,2.2366,1.6409,3.5692,5.039,9.7153,3.7921,6.2181,2.0231,6.5042,1.1395,16.6485,22.8478,7.5584,0.2138,0.2076,0,1.1774,9.0616
