Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0
0.08,0.0003,0.0001,0.0001,0,0.0003,0,0,0,0.0043,0.0002,0,0.0001,0.0002,0.0018,0.0009,0.0002,0.0009,0.0006,0,0,0.0001,0.0002,0.0012,0.0002,0.0011,0.0004,0.0006,0.0009,0,0,0.0001,0.0001,0,0.0021,0,0,0,0,0,0.0001,0.0001
0.17,0.0457,0.0208,0.0215,0.005,0.0568,0,0.0015,0.004,0.0042,0.0415,0.0016,0.0115,0.0307,0.1707,0.1001,0.0322,0.1227,0.094,0,0,0.0219,0.0291,0.1432,0.0395,0.1168,0.0728,0.0974,0.0628,0.0005,0,0.0102,0.01,0.0018,0.003,0.0353,0,0,0.0003,0,0.0155,0.0092
0.25,0.3308,0.1879,0.1987,0.0473,0.3907,0,0.0142,0.0365,0.0104,0.324,0.0153,0.1072,0.2059,0.7094,0.4284,0.2764,0.6007,0.5705,0,0.0183,0.1742,0.4233,0.6545,0.2999,0.5175,0.4813,0.5712,0.2635,0.0741,0.0433,0.0919,0.0944,0.0178,0.0161,0.2859,0,0,0.0033,0,0.1155,0.0865
0.33,1.0837,0.7427,0.8671,0.1775,1.2408,0,0.0675,0.1606,0.044,1.724,0.0742,0.4707,1.8031,1.8728,2.9752,1.0189,1.7352,1.7116,0,0,1.6626,3.8052,2.1017,0.9965,2.8774,1.5479,4.5577,1.0688,0.1452,0.2291,0.3621,0.4477,0.0892,0.1437,1.8783,0,0,0.0161,0,0.4004,0.3947
0.42,4.4805,3.5295,4.0267,0.3063,5.8008,0,0.2216,0.448,0.1939,9.1766,0.2505,1.3249,5.8298,3.6021,8.4159,2.5879,3.5825,3.8539,0.2596,2.1864,6.9689,12.6488,7.8916,2.3333,8.6208,5.9479,13.5994,8.9919,0,2.1475,0.9694,1.4374,0.3094,1.0806,10.4728,0,0,0.0544,0,1.0923,2.7044
0.5,9.8801,10.779,13.5272,3.9513,12.2871,3.5543,0.4988,0.862,0.94,18.0718,1.4416,2.59,9.7721,5.2025,10.9086,6.9408,5.7324,7.6966,3.6351,10.3167,14.3915,23.271,10.756,4.9373,8.2685,12.1387,18.7293,24.8456,4.0806,8.2492,1.7909,3.952,0.7046,3.6431,25.9413,0,0,0.132,0,2.4924,9.9354
0.58,11.8644,17.4631,23.5819,16.2235,14.1127,11.876,0.8435,1.986,2.6989,20.9725,3.974,3.9797,11.2508,5.2433,11.0159,9.4674,6.0428,9.0805,10.1525,20.5814,20.8238,29.6719,9.6066,6.9059,5.7706,13.6157,17.364,31.3963,12.2616,16.9813,2.4452,10.4469,2.2868,7.6101,35.11,6.4669,0,0.268,0,3.0013,18.0172
0.67,11.456,19.113,27.0221,31.1913,13.0433,24.1458,1.1716,2.7066,5.0796,20.1822,6.9122,5.7546,11.6027,4.7605,10.3482,9.4293,5.4925,9.037,17.4248,29.6089,27.0842,33.8456,7.7221,7.7127,4.005,12.524,14.3204,30.1709,19.1872,23.8771,3.2168,18.1327,7.6649,10,40.3868,20.4607,1.851,0.5231,0,2.9274,23.3743
0.75,10.2048,18.2131,25.8683,41.8576,11.1678,36.7508,1.3953,2.7975,7.384,18.0935,9.6756,6.8672,11.6149,4.1672,9.4159,8.3975,4.7342,8.4135,23.2591,36.4109,33.071,37.879,6.0157,7.8335,2.9489,10.749,11.3565,26.102,23.6402,29.2238,3.6783,23.3067,17.9401,10,43.7502,34.4779,9.5304,0.8942,0.7236,2.6277,24.5483
0.83,8.8129,16.3304,23.0396,47.0471,9.4017,46.5701,1.501,2.5988,9.0882,15.7177,11.7185,7.4196,11.475,3.6049,8.4285,7.181,4.0091,7.6091,26.6,41.4138,38.3293,42.2783,4.8845,7.59,2.2266,9.0184,8.9121,21.6961,25.7463,33.2001,3.8533,25.4093,27.6902,10,46.1113,47.4511,19.52,2.308,5.2677,2.2755,23.2468
0.92,7.5342,14.2208,19.9353,47.9191,8.0189,52.5902,1.5265,2.2989,10,13.459,12.6977,7.5694,11.2363,3.2879,7.4846,6.0662,3.5799,6.7966,27.8968,44.6845,42.5488,46.8095,4.0039,7.1708,1.7251,7.5364,7.0071,17.8113,26.0988,35.9178,3.8353,25.4495,34.1357,10,47.9322,59.1595,30.3565,4.8027,11.6572,1.9419,21.0369
1,6.4367,12.2127,17.0824,46.0626,6.8427,54.9668,1.4999,1.9862,10,11.4581,12.3745,7.4552,10.9168,3.0342,6.6614,5.1233,3.2541,6.0441,27.9375,46.3925,45.5315,50.9417,3.3171,6.6809,1.3679,6.3224,5.5507,14.6204,25.3124,37.4675,3.7003,24.3266,36.8228,10,49.3039,69.6147,41.3282,8.2884,19.1872,1.6503,18.6177
1.08,5.5193,10.4274,14.6265,42.7611,5.8646,54.4894,1.4406,1.6978,10,9.7429,11.1172,7.1808,10.5298,2.7896,5.9507,4.3481,2.9389,5.3734,27.2083,46.8284,47.2608,54.1325,2.7792,6.1772,1.1067,5.3416,4.441,12.0664,23.8678,38.0026,3.5015,22.6476,36.9509,10,50.1949,78.7809,52.0005,12.6575,27.1003,1.4043,16.2941
1.17,4.7594,9.0393,12.5667,38.8771,5.0569,52.0992,1.362,1.4457,10,8.2962,9.6684,6.8181,10.0897,2.5578,5.3355,3.7157,2.642,4.7861,26.0213,46.289,47.8618,56.1532,2.3542,5.6893,0.9109,4.5501,3.5918,10.3443,22.1097,37.7121,3.2738,20.7739,35.5738,10,50.5692,86.5352,62.1631,17.8613,34.7495,1.1998,14.1872
1.25,4.1303,7.9538,10.8548,34.9743,4.3894,48.6233,1.2732,1.231,9.9957,7.0848,8.3262,6.4141,9.6122,2.3407,4.8005,3.1992,2.3672,4.2758,24.5823,45.0404,47.5299,57.0553,2.0146,5.2314,0.761,3.9082,2.9365,8.8569,20.2906,36.7968,3.0385,18.9033,33.4042,10,50.4276,92.7609,71.6267,23.8032,41.6976,1.0305,12.3317
