Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0016,0.0011,0.0006,0,0.0026,0,0.0001,0.0004,0.0003,0.0013,0.0016,0.0003,0.0002,0.0062,0.004,0.0012,0.0059,0.0041,0,0,0.001,0.0008,0.0062,0.0019,0.0039,0.0021,0.0042,0.0029,0,0,0.001,0.0004,0,0.001,0.001,0,0,0,0,0.0002,0.0004
0.17,0.2364,0.1644,0.0976,0,0.3535,0,0.0135,0.0599,0.046,0.1942,0.2427,0.0434,0.0348,0.5432,0.3746,0.1796,0.6104,0.5014,0,0.0001,0.1451,0.1239,0.6094,0.2703,0.3898,0.3044,0.5388,0.1957,0.0161,0.0384,0.1432,0.0582,0.0004,0.1476,0.144,0,0,0.0013,0,0.0376,0.055
0.25,1.2693,1.1875,0.7374,0.0133,2.018,0,0.105,0.3918,0.3504,2.0364,7.3902,0.3412,0.3713,1.7751,3.209,1.2043,2.1327,1.9835,0,0,2.885,4.781,2.6776,1.2988,2.6586,1.5111,6.6291,1.0391,0.137,0.5852,0.8913,0.4587,0.009,4.084,1.7672,0,0,0.0107,0,0.2809,0.3993
0.33,5.5703,7.5496,4.024,0,7.9363,0,0.3729,0.9649,1.998,10.6836,20.7523,1.1895,2.4863,3.2409,8.2575,3.4851,4.2269,4.3857,0.9885,2.0461,9.5221,18.2932,8.624,2.862,7.5688,5.6046,16.0999,10.2415,0,4.7298,2.1646,1.6603,0.0592,18.7198,14.2603,0,0,0.041,0,0.9035,3.3092
0.42,10.7409,18.3855,12.9165,4.2461,13.8244,2.4497,0.7804,3.0995,9.2464,19.2588,27.6434,2.4176,5.6009,4.5988,10.5757,8.2612,6.3529,7.5774,6.3038,10.097,16.2157,35.1087,10.9925,5.608,7.7407,10.6611,19.6773,25.7766,3.8731,13.2957,4.2372,5.6106,0.0557,34.639,37.0804,0,0,0.1036,0,2.5481,11.9402
0.5,12.1787,22.8285,21.4809,19.8011,14.3136,10.6046,1.1661,3.8278,17.7909,21.6916,24.1299,3.593,8.0509,4.8538,10.6937,10.2063,6.3632,8.6278,14.6661,20.3942,21.3612,45.6839,9.6383,6.9314,5.708,12.1052,17.3667,30.7907,12.0537,20.8682,5.7541,13.742,0.0986,42.6807,55.4482,11.7266,0,0.2011,0,3.5241,20.1823
0.58,11.4616,21.976,24.5837,35.5835,12.6777,23.7497,1.4633,3.5675,21.8404,20.5791,18.2161,5.2915,9.4537,4.5607,10.0868,9.6889,5.6311,8.5488,22.2152,29.9995,26.9956,50.2524,7.6741,7.3148,4.1091,11.4736,13.9484,29.0329,18.8541,26.2333,6.1138,21.6781,3.2422,43.5255,66.9694,33.4627,3.6397,0.1016,0,3.5248,24.6023
0.67,10.0761,19.3114,23.9618,45.5381,10.6255,37.5186,1.8633,3.0318,21.1158,18.2776,13.3806,6.502,10.3397,4.0943,9.2266,8.4014,4.778,7.9942,26.9993,37.5132,33.0304,51.8962,5.9602,7.2236,3.1006,10.1468,10.8773,25.037,23.1778,30.2789,5.8487,25.9906,10.7533,41.9243,73.4548,55.4015,16.5847,0,2.6318,3.0994,24.9165
0.75,8.639,16.3382,21.7971,49.5581,8.9178,48.0601,1.8409,2.4879,18.0221,15.7657,9.9027,7.1719,10.8719,3.6091,8.3067,7.0684,4.0064,7.2813,29.0351,42.8922,38.6591,52.5911,4.8347,6.9058,2.3832,8.7369,8.4368,20.8768,25.2266,33.2541,5.3276,27.1432,20.7626,40.5867,76.7946,74.6534,32.4966,1.4338,8.0852,2.5954,23.2136
