Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.08,0.0012,0.0011,0.0007,0.0003,0.0023,0,0,0.0002,0.0002,0.0016,0.0008,0.0002,0.0003,0.0026,0.0043,0.0004,0.0017,0.0028,0.0003,0.0002,0.0007,0.0015,0.0029,0.0022,0.0012,0.0013,0.0024,0.0013,0.0007,0.0023,0.0004,0.0004,0,0.0024,0.0018,0.0002,0.0001,0,0,0.0001,0.0006
1.17,0.107,0.0996,0.0596,0.0259,0.1914,0.0018,0.0023,0.0196,0.0199,0.1441,0.0747,0.0184,0.0235,0.1323,0.2428,0.0326,0.1044,0.207,0.0285,0.0207,0.0638,0.1376,0.1662,0.1936,0.0675,0.1082,0.1823,0.05,0.0586,0.2055,0.0352,0.0357,0.0031,0.2131,0.1636,0.0171,0.0048,0.0029,0.003,0.005,0.0532
1.25,0.441,0.5416,0.3625,0.149,0.6895,0.0111,0.014,0.1047,0.1215,0.7007,0.3824,0.1131,0.1361,0.3702,0.6654,0.1692,0.3057,0.6583,0.1731,0.1253,0.2762,0.6538,0.4757,0.7261,0.1969,0.4038,0.5932,0.1341,0.2954,1.0066,0.1649,0.2195,0.0195,1.2277,0.8554,0.1052,0.0299,0.0183,0.0189,0.0304,0.3196
1.33,0.8707,1.198,0.9774,0.3497,1.2815,0.0355,0.0432,0.2274,0.3774,1.451,0.822,0.3298,0.3213,0.6344,1.0903,0.3711,0.5402,1.1851,0.5359,0.3842,0.56,1.3408,0.8209,1.3684,0.3502,0.7843,1.0825,0.2296,0.633,2.0728,0.3458,0.6916,0.0626,2.8367,1.8241,0.3115,0.0951,0.0586,0.0606,0.0851,0.9682
1.42,1.3192,1.9249,1.7269,0.5906,1.8537,0.0828,0.0847,0.359,0.8383,2.2398,1.31,0.6159,0.5447,0.8814,1.4431,0.6054,0.7712,1.6962,1.1942,0.7508,0.8689,2.0618,1.1442,1.9962,0.5048,1.1903,1.567,0.3224,1.0116,3.1647,0.5513,1.4631,0.1467,4.5714,2.8492,0.5873,0.2211,0.1372,0.1423,0.1541,1.9695
1.5,1.7402,2.6402,2.5252,0.8499,2.3498,0.1589,0.133,0.4838,1.3931,2.9785,1.7949,0.9418,0.7866,1.0915,1.7074,0.8506,0.9786,2.1446,2.0121,1.14,1.1724,2.7368,1.419,2.5459,0.6475,1.5833,2.0015,0.405,1.393,4.1562,0.7627,2.3652,0.286,6.2055,3.8105,0.9034,0.4262,0.2672,0.2778,0.2297,2.9932
1.58,2.1098,3.2954,3.3125,1.1114,2.7519,0.2519,0.1848,0.5938,1.9543,3.6227,2.2449,1.287,1.0319,1.2596,1.8936,1.0915,1.1538,2.5139,2.8282,1.5138,1.4521,3.3259,1.6387,2.9957,0.7715,1.9408,2.3671,0.4745,1.7526,4.9926,0.9672,3.3264,0.4931,7.6264,4.6479,1.2399,0.7214,0.4602,0.48,0.3067,3.918
1.67,2.4199,3.8669,4.0502,1.3639,3.0636,0.3541,0.2377,0.686,2.4813,4.1582,2.6435,1.6355,1.2702,1.3888,2.0199,1.3181,1.2961,2.8053,3.58,1.8506,1.6985,3.8161,1.8073,3.3474,0.8751,2.2522,2.662,0.5306,2.0763,5.6648,1.1566,4.2928,0.7784,8.7985,5.3422,1.5814,1.0606,0.7256,0.7596,0.3811,4.6943
1.75,2.6719,4.3485,4.7164,1.5997,3.2981,0.4613,0.29,0.7607,2.9521,4.5886,2.9848,1.9757,1.4943,1.4854,2.1035,1.5244,1.4081,3.0285,4.2367,2.1411,1.9087,4.2107,1.9332,3.6142,0.9592,2.5151,2.8927,0.5746,2.3583,6.1871,1.3266,5.2261,1.1472,9.7307,5.8985,1.9165,1.4138,1.0517,1.1246,0.4505,5.3152
