Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0.0043,0,0,0,0,0.0002,0.0001,0,0.0001,0.0001,0,0,0,0,0.0001,0,0.0001,0,0.0001,0.0001,0,0,0,0,0,0.0021,0,0,0,0,0,0,0
0.17,0.007,0.0031,0.0032,0.0007,0.0088,0,0.0002,0.0006,0.0038,0.0064,0.0002,0.0017,0.0047,0.0286,0.017,0.0049,0.0195,0.0147,0,0,0.0033,0.0045,0.0233,0.0061,0.0191,0.0112,0.0152,0.0107,0,0,0.0015,0.0015,0.0003,0.002,0.0053,0,0,0.0001,0,0.0023,0.0014
0.25,0.0716,0.0381,0.0398,0.0095,0.0862,0,0.0028,0.0073,0.0045,0.0695,0.003,0.0213,0.0455,0.1818,0.1125,0.0564,0.1425,0.1309,0,0.0007,0.0366,0.0494,0.1616,0.0644,0.1272,0.1053,0.1299,0.0658,0.0125,0.0062,0.0184,0.0186,0.0034,0.0043,0.061,0,0,0.0006,0,0.024,0.0175
0.33,0.2571,0.1663,0.1879,0.0399,0.2999,0,0.0137,0.0346,0.0113,0.2606,0.015,0.1005,0.1562,0.4799,0.3025,0.2275,0.416,0.4242,0,0.0347,0.1382,0.2393,0.4526,0.237,0.3505,0.3614,0.4179,0.1897,0.0709,0.0522,0.0788,0.0929,0.0182,0.0184,0.2348,0,0,0.0033,0,0.0882,0.0871
0.42,0.5693,0.4242,0.517,0.1047,0.6481,0.0077,0.0431,0.0957,0.0351,0.5897,0.0484,0.2776,0.5866,0.8762,0.6652,0.5475,0.8146,0.8729,0,0.1116,0.4674,1.4507,0.8598,0.5318,0.6621,0.7841,1.1627,0.3791,0.1932,0.1621,0.2005,0.2916,0.0611,0.0709,0.5707,0,0,0.0106,0,0.2016,0.2657
0.5,1.0659,0.8569,1.0947,0.2284,1.1949,0.0606,0.1061,0.2037,0.0948,1.7768,0.1258,0.5942,1.7151,1.5121,2.1538,1.0771,1.464,1.5683,0.0408,0.1749,1.7689,3.8956,1.5127,0.9994,1.9381,1.4704,3.7655,1.1622,0.2769,0.3597,0.4111,0.703,0.1661,0.3202,2.0595,0,0,0.0277,0,0.3934,0.6088
0.58,2.5071,2.3359,2.9534,0.2655,3.2045,0.1089,0.2221,0.3825,0.2672,5.4519,0.2873,1.1322,3.8329,2.4113,4.9268,1.9656,2.4463,2.6448,0.7647,1.8291,4.5947,8.6078,3.8056,1.7541,4.2556,3.2008,8.1444,5.0731,0.2041,1.4899,0.7738,1.4365,0.3933,1.1057,6.1527,0,0,0.0635,0,0.7222,2.4944
0.67,4.8689,5.4258,7.241,1.6781,5.9158,1.9275,0.3892,0.6164,0.7736,10.0169,1.2183,1.8558,5.946,2.8752,6.4171,3.301,3.1025,3.6269,3.0416,6.2698,8.4716,14.1444,5.3228,2.5403,4.6928,5.9752,10.9123,11.7736,1.3177,4.0661,1.2346,2.485,0.7894,2.7151,13.4857,0,0,0.1245,0,1.2587,6.4157
0.75,6.1104,8.292,11.8804,5.4164,7.1323,5.3049,0.58,0.831,1.7781,11.9723,2.8958,2.5418,6.9264,2.9664,6.611,4.7136,3.293,4.4744,6.2576,11.8787,12.0602,17.876,5.3361,3.272,3.8211,7.1699,10.589,16.8879,3.9462,7.0323,1.6128,5.3777,1.5316,5.0319,18.7914,1.5567,0,0.2098,0,1.6263,10.5678
0.83,6.3488,9.6738,14.2863,11.6085,7.223,9.9134,0.7576,0.9703,3.1144,12.0284,4.6486,3.0292,7.247,2.9017,6.3459,5.1436,3.2553,4.7298,9.8338,16.986,15.6239,20.5124,4.797,3.8023,2.9465,7.1847,9.1912,17.6515,7.7224,9.7138,1.8605,8.7953,3.8208,7.5649,21.796,6.4919,0.2383,0.394,0,1.692,13.5338
0.92,6.0668,9.995,14.6889,18.1862,6.7858,15.42,0.8812,1.2025,4.449,11.2373,6.1306,3.3532,7.2386,2.7665,5.9214,4.9881,3.1038,4.6646,12.9346,20.9789,19.0888,22.9664,4.1439,4.0412,2.2698,6.6544,7.638,16.3495,10.8319,12.6399,2.0151,11.4862,7.4545,9.9458,24.0829,13.824,2.0749,0.5976,0,1.6053,14.529
1,5.5676,9.5926,14.0029,22.7992,6.1558,20.8633,0.9435,1.2939,5.5069,10.1314,7.1767,3.5617,7.0695,2.5999,5.4559,4.5757,2.8974,4.4411,15.0078,24.0219,22.205,25.4998,3.5333,4.0921,1.7744,5.9451,6.2447,14.378,12.9097,15.1334,2.1032,13.0903,12.2147,10,26.1455,21.3443,5.6994,0.923,1.2463,1.4569,14.1926
1.08,5.0096,8.9459,12.8475,25.351,5.4945,25.3667,0.9625,1.267,6.2072,8.9675,7.6968,3.7812,6.8287,2.4217,4.9981,4.0885,2.6688,4.1495,16.1341,26.1733,24.8078,28.0537,3.0083,4.0272,1.4124,5.2278,5.0869,12.3669,14.0376,17.1736,2.1432,13.8029,16.3086,10,27.7464,28.5736,10.777,1.6637,3.7579,1.2937,13.2489
1.17,4.467,8.1887,11.5624,26.2393,4.8716,28.4846,0.9523,1.1812,6.5823,7.8626,7.5912,3.8998,6.5792,2.2426,4.5675,3.6115,2.436,3.8377,16.5853,27.5176,26.7962,30.4268,2.5706,3.8942,1.1442,4.5711,4.1546,10.7866,14.423,18.736,2.1481,13.8792,18.7836,10,29.0524,35.3295,16.3988,2.7703,6.998,1.1371,12.072
1.25,3.9704,7.4225,10.3123,25.9543,4.3124,30.174,0.9227,1.0716,6.6984,6.8636,7,3.9212,6.3292,2.0683,4.171,3.178,2.2095,3.5308,16.5659,28.18,28.1477,32.3831,2.2095,3.7237,0.9418,3.9953,3.4126,9.372,14.3248,19.8251,2.1275,13.5418,19.9578,10,30.1178,41.5045,22.3194,4.279,10.6933,0.9958,10.8524
1.33,3.5292,6.6971,9.1668,24.9273,3.8219,30.6355,0.8811,0.9828,6.623,5.9834,6.2633,3.8733,6.0796,1.9019,3.8093,2.7974,1.9948,3.3671,16.2239,28.2911,28.9022,33.7953,1.9119,3.5353,0.7864,3.5002,2.8234,8.1302,13.8933,20.4807,2.0884,12.9579,20.2121,10,30.9478,47.0043,28.3229,6.2458,14.539,0.8909,9.6827
1.42,3.1428,6.0334,8.1477,23.4834,3.3962,30.1625,0.8324,0.9505,6.4137,5.2184,5.5406,3.7779,5.8304,1.7451,3.481,2.5785,1.7948,3.2135,15.686,27.975,29.1365,34.6565,1.6658,3.3411,0.6649,3.0781,2.3542,7.0708,13.2496,20.7561,2.0359,12.2432,19.8548,10,31.5359,51.752,34.2198,8.6912,18.2788,0.8312,8.611
1.5,2.8066,5.4375,7.2544,21.8463,3.0283,29.047,0.7804,0.9143,6.1264,4.5585,4.8878,3.6516,5.5818,1.5985,3.1836,2.4041,1.6108,3.0601,15.0477,27.3453,28.944,35.0142,1.5044,3.1488,0.6111,2.7189,1.9785,6.1758,12.4867,20.7103,1.974,11.4739,19.1154,10,31.8803,55.7027,39.8473,11.5973,21.799,0.7702,7.6535
1.58,2.5149,4.9078,6.4768,20.1603,2.7105,27.5346,0.7274,0.8758,5.7991,3.9911,4.3178,3.548,5.334,1.4624,2.9141,2.2309,1.4428,2.909,14.3549,26.4985,28.4208,34.9375,1.4067,2.9627,0.5602,2.4129,1.6756,5.421,11.6761,20.4181,1.9057,10.6979,18.1567,10,31.9892,58.8454,45.0733,14.913,25.0776,0.7099,6.8066
1.67,2.2616,4.4393,5.8016,18.513,2.4356,25.8125,0.6751,0.8361,5.4504,3.5038,3.8266,3.4647,5.0995,1.3365,2.6698,2.0626,1.2905,2.7617,13.6361,25.5092,27.6545,34.5023,1.3131,2.7854,0.5117,2.1514,1.4294,4.7832,10.8581,19.9392,1.8332,9.9439,17.0896,10,31.885,61.2006,49.7962,18.5611,28.1315,0.6519,6.0618
1.75,2.0413,4.0258,5.2152,16.9533,2.1972,24.0135,0.6247,0.7961,5.0941,3.0938,3.405,3.3737,4.8805,1.2204,2.4482,1.9016,1.1531,2.6188,12.9112,24.436,26.7197,33.7825,1.2239,2.6902,0.4663,1.9956,1.2279,4.2499,10.0585,19.32,1.7584,9.228,15.9875,10,31.595,62.8155,53.9428,22.447,30.9982,0.5969,5.4083
1.83,1.8491,3.6608,4.705,15.5057,1.9896,22.2262,0.5768,0.7563,4.7401,2.7975,3.043,3.2773,4.6752,1.1138,2.2469,1.7492,1.0295,2.4811,12.1943,23.3218,25.6769,32.8462,1.1396,2.604,0.424,1.8836,1.0616,3.8251,9.2952,18.6134,1.6826,8.5582,14.8974,10,31.1508,63.7558,57.4738,26.4669,33.7213,0.5455,4.8354
1.92,1.6809,3.3383,4.2599,14.179,1.8083,20.506,0.5319,0.7171,4.3955,2.5387,2.7311,3.1774,4.482,1.0159,2.0637,1.6062,0.9187,2.3489,11.495,22.1971,24.5729,31.7533,1.0601,2.518,0.385,1.7746,0.9234,3.4754,8.5816,17.8499,1.6068,7.9376,13.8476,10,30.5853,64.0992,60.3803,30.517,36.3407,0.4978,4.3328
