Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0004,0.0004,0.0002,0.0001,0.0008,0,0,0.0001,0.0001,0.0006,0.0003,0.0001,0.0001,0.001,0.0016,0.0001,0.0006,0.0011,0.0001,0.0001,0.0003,0.0006,0.0011,0.0008,0.0004,0.0005,0.0009,0.0005,0.0002,0.0009,0.0001,0.0001,0,0.0009,0.0007,0.0001,0,0,0,0,0.0002
0.17,0.0412,0.0383,0.0229,0.0099,0.074,0.0007,0.0009,0.0075,0.0076,0.0554,0.0287,0.007,0.009,0.0519,0.0957,0.0125,0.0406,0.0803,0.0109,0.0079,0.0245,0.053,0.065,0.0748,0.0263,0.0416,0.0706,0.0197,0.0225,0.0792,0.0135,0.0137,0.0012,0.082,0.0629,0.0065,0.0018,0.0011,0.0012,0.0019,0.0204
0.25,0.1947,0.2326,0.1535,0.0633,0.3108,0.0047,0.0059,0.0452,0.0514,0.305,0.1649,0.0476,0.0578,0.1714,0.3138,0.0726,0.1401,0.3,0.0733,0.0531,0.1209,0.2852,0.2198,0.3257,0.0899,0.1794,0.2691,0.0619,0.1274,0.4391,0.0714,0.0925,0.0082,0.5266,0.37,0.0443,0.0126,0.0077,0.0079,0.0128,0.1361
0.33,0.3943,0.5387,0.4286,0.1545,0.5885,0.0151,0.0186,0.103,0.1632,0.6592,0.3691,0.1424,0.1418,0.2899,0.5136,0.165,0.2443,0.5408,0.2322,0.1671,0.2514,0.6092,0.3758,0.6277,0.1573,0.3519,0.4919,0.1034,0.2835,0.9476,0.1541,0.2969,0.0266,1.2822,0.8286,0.1343,0.0406,0.0249,0.0258,0.0371,0.4244
0.42,0.5795,0.8454,0.7528,0.2535,0.83,0.0348,0.0363,0.1592,0.3619,0.9921,0.5715,0.2646,0.2336,0.4009,0.6781,0.2601,0.3427,0.7561,0.5169,0.3299,0.3772,0.9121,0.5178,0.8918,0.223,0.5159,0.6936,0.1465,0.4391,1.4151,0.2368,0.6269,0.0616,2.0435,1.2661,0.2522,0.0932,0.0576,0.0597,0.0668,0.873
0.5,1.1395,1.5487,1.3645,0.4704,1.676,0.0777,0.0682,0.2897,0.7215,1.8505,1.0683,0.4898,0.4334,0.889,1.4767,0.4921,0.7561,1.6055,1.0447,0.608,0.7392,1.7137,1.1384,1.7796,0.4961,1.0581,1.4675,0.3338,0.8282,2.6106,0.459,1.2097,0.1389,3.6294,2.3124,0.4679,0.2089,0.1298,0.1348,0.122,1.6236
0.58,2.6632,3.5628,2.9817,1.0919,3.869,0.1706,0.1451,0.6631,1.4728,4.2813,2.4888,1.0626,1.0057,2.0183,3.2853,1.1587,1.7476,3.7102,2.1302,1.2415,1.7413,3.9755,2.5967,4.1154,1.151,2.4962,3.409,0.7569,1.9394,5.9968,1.0891,2.517,0.3236,8.0966,5.3079,1.011,0.481,0.3023,0.3143,0.2653,3.227
0.67,4.7664,6.8487,6.0378,2.1942,6.5305,0.343,0.3008,1.2549,2.8403,7.914,4.7487,2.207,2.0278,3.1847,4.9433,2.2628,2.8446,6.1071,4.063,2.4544,3.2046,7.3138,4.1174,7.0339,1.8926,4.4291,5.6878,1.2036,3.7087,10.9846,2.0734,5.0805,0.694,15.5202,9.9556,2.1028,0.9868,0.6478,0.6754,0.5435,6.1331
0.75,7.0149,10.5672,10.16,3.5943,9.1851,0.6357,0.546,1.8967,5.0481,11.7572,7.3099,3.9174,3.3366,4.2945,6.3786,3.594,3.9682,8.5337,7.1438,4.2533,4.8441,10.8395,5.5879,9.9666,2.6677,6.5853,8.0478,1.631,5.7435,16.0947,3.2307,9.2748,1.3476,23.7711,14.9023,3.7563,1.8131,1.2467,1.3159,0.9367,10.4448
