Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0015,0.001,0.0009,0.0007,0.0021,0.0001,0,0.0001,0.0003,0.0024,0,0.0004,0.0016,0.0059,0.008,0.0004,0.0022,0.003,0.0003,0.0003,0.0007,0.002,0.0046,0.0017,0.0028,0.0016,0.0027,0.003,0.0011,0.0019,0.0002,0.0005,0.0001,0.0019,0.0027,0.0003,0.0001,0.0001,0,0.0002,0.0007
0.17,0.207,0.1405,0.1179,0.1003,0.2882,0.0095,0.0019,0.0129,0.0402,0.325,0.005,0.0546,0.2123,0.4024,0.642,0.0611,0.2138,0.3876,0.0419,0.0453,0.0991,0.2735,0.4078,0.2376,0.2084,0.2203,0.3347,0.1509,0.1501,0.2615,0.0339,0.065,0.016,0.2641,0.3649,0.039,0.0145,0.0083,0.0045,0.022,0.0992
0.25,0.9684,0.8874,0.7656,0.5429,1.268,0.0627,0.0124,0.0842,0.2619,1.69,0.0331,0.3577,0.9046,1.078,1.7018,0.3597,0.6655,1.4874,0.2744,0.2924,0.5225,1.4439,1.1825,1.1806,0.5932,0.9141,1.2224,0.394,0.7874,1.575,0.2104,0.4286,0.1063,1.6923,2.0459,0.2568,0.0957,0.0554,0.0302,0.1059,0.6357
0.33,1.9363,2.1819,2.1844,1.1733,2.4565,0.2028,0.0407,0.2451,0.8286,3.4721,0.1088,1.011,1.7523,1.7144,2.5936,0.8204,1.1708,2.7197,0.8733,0.9088,1.1145,3.0057,1.9669,2.3944,0.9965,1.7881,2.2622,0.634,1.6595,3.6011,0.5077,1.3839,0.3458,4.6317,4.3543,0.782,0.3107,0.1816,0.0996,0.2255,1.9541
0.42,2.8932,3.6294,3.8981,1.8543,3.5799,0.4651,0.0953,0.4446,1.851,5.1989,0.2578,1.8208,2.5734,2.2049,3.1961,1.3437,1.6369,3.8082,1.9742,1.7821,1.7504,4.5514,2.6151,3.5922,1.3459,2.674,3.2451,0.8311,2.567,5.7081,0.8615,3.0694,0.8066,7.9458,6.6124,1.4804,0.7221,0.4281,0.2373,0.3632,4.0911
0.5,3.7312,5.0367,5.65,2.5073,4.5192,0.7985,0.1684,0.652,3.0978,6.6655,0.5041,2.6858,3.28,2.5453,3.5618,1.8716,2.0245,4.6602,3.5708,2.652,2.358,5.894,3.0964,4.6352,1.6189,3.4778,4.076,0.9776,3.4027,7.6104,1.2357,5.0677,1.5448,11.0922,8.5362,2.2544,1.3768,0.8314,0.4675,0.507,6.243
0.58,4.3625,6.2513,7.2459,3.061,5.1828,1.1455,0.2502,0.8445,4.2752,7.7345,0.8644,3.5173,3.7975,2.6756,3.648,2.3484,2.2785,5.2008,5.2021,3.4057,2.8706,6.9013,3.344,5.4178,1.769,4.1067,4.6595,1.038,4.0764,9.1131,1.5935,7.1184,2.5831,13.7213,9.9492,3.0278,2.2252,1.4138,0.8093,0.6421,8.022
0.67,4.2442,6.6977,8.0851,3.1737,4.897,1.4216,0.3233,0.9528,5.0677,7.5459,1.3116,4.0168,3.614,2.1741,2.8312,2.5297,2.037,4.6843,6.4084,3.7977,2.9596,6.8117,2.8182,5.3016,1.5195,3.9919,4.3024,0.8647,4.1248,9.3458,1.7786,8.6955,3.674,14.7144,9.8319,3.5575,2.9875,2.118,1.242,0.6884,8.899
0.75,3.811,6.3909,8.0936,2.9757,4.3199,1.595,0.379,0.9658,5.4189,6.662,1.7719,4.1181,3.2346,1.8576,2.3463,2.4455,1.8265,4.0556,7.082,3.8238,2.7688,6.0747,2.4397,4.7346,1.3394,3.6674,3.8497,0.7549,3.7839,8.5314,1.7793,9.6147,4.5699,14.1123,8.6936,3.7716,3.5675,2.7938,1.7522,0.682,8.9305
