Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0352,0.0236,0.0198,0.0169,0.0492,0.0016,0.0003,0.0022,0.0067,0.0553,0.0008,0.0091,0.0362,0.1352,0.1836,0.0103,0.0497,0.0689,0.007,0.0076,0.0167,0.0464,0.1066,0.0403,0.0639,0.0378,0.0614,0.068,0.0254,0.0442,0.0057,0.0108,0.0027,0.0445,0.062,0.0065,0.0024,0.0014,0.0008,0.0037,0.0167
0.17,3.1591,2.1994,1.8598,1.5632,4.3466,0.152,0.03,0.2044,0.6359,4.9433,0.0799,0.8676,3.2199,5.2119,7.9986,0.9613,3.03,5.6734,0.6656,0.7112,1.5422,4.1797,5.5153,3.6267,2.8393,3.3652,4.9268,1.9738,2.3197,4.0388,0.5377,1.0383,0.2572,4.1212,5.5662,0.6221,0.2317,0.1339,0.0729,0.3473,1.5483
0.25,12.1803,12.247,10.8941,7.2812,15.4299,0.9303,0.1879,1.2066,3.7581,21.0954,0.5035,5.1939,11.1739,11.2933,16.2111,4.9943,7.897,17.168,3.9727,4.0892,6.9772,18.2848,12.9416,14.8667,6.7592,11.6522,14.7745,4.3856,10.2945,20.7594,3.011,6.3428,1.5915,23.2736,25.8281,3.7812,1.4278,0.8389,0.4618,1.4827,8.7352
0.33,26.1138,30.953,32.0738,16.9118,32.0052,3.2483,0.683,3.6496,12.4172,44.6654,1.8446,15.4883,23.6249,18.8883,26.2269,12.2778,15.5886,33.9442,13.3247,12.9606,16.0786,39.4078,23.4311,31.7847,12.3088,25.5161,30.4864,7.2026,23.0748,47.9912,7.8912,22.0754,5.6563,63.7467,55.5482,12.3029,5.0415,3.043,1.7106,3.6461,26.9793
0.42,23.0139,38.7398,44.5698,18.2904,25.6173,6.157,1.3786,5.2017,21.8403,42.0922,3.81,22.4237,18.7921,8.2178,10.0545,14.8927,9.1777,22.6506,24.0608,19.1149,16.9666,38.2949,11.5483,29.3201,6.3292,20.9519,20.9639,3.3232,23.4188,53.9498,10.5106,40.1889,11.1305,81.7129,55.9611,19.0766,9.821,6.1846,3.5971,3.9824,41.9562
0.5,13.4322,28.3585,40.2742,12.0222,14.2823,7.8698,1.9062,4.8879,25.8922,23.5785,5.9804,20.9288,10.9163,4.2576,4.694,10.6991,5.4276,12.0521,31.7226,19.253,11.0458,22.0791,6.2126,16.8223,3.587,13.0539,12.2427,1.8392,14.4995,34.3572,8.3838,49.0247,16.508,66.4028,31.8339,20.0534,14.4022,9.5215,5.7723,2.9913,43.1338
0.58,8.6229,18.9495,27.4864,8.2636,8.8921,7.9936,2.1105,3.4201,24.3742,14.5161,8.1421,15.3298,6.9853,2.5284,2.616,7.7034,3.5156,7.2794,32.627,13.7244,7.5961,13.8198,3.779,10.6751,2.2576,8.768,7.8623,1.1395,9.6035,21.5683,6.3529,46.5565,21.199,41.3601,19.3629,15.5198,17.5033,12.6998,8.0512,2.3138,34.6912
0.67,5.917,13.3905,19.6807,5.9644,5.9696,6.325,1.8613,2.4786,17.5503,9.6684,10.1608,11.6223,4.7822,1.6425,1.6282,5.762,2.4282,4.7842,27.9935,8.8519,5.4846,9.3128,2.4959,7.2646,1.5274,6.2197,5.3966,0.7624,6.7421,14.5649,4.9492,35.4072,23.6026,27.7752,12.788,12.0686,17.8498,15.4489,10.3005,1.8331,20.8771
0.75,4.2652,9.8712,14.6571,4.4698,4.233,4.8351,1.5733,1.8634,11.9687,6.8157,11.3622,9.058,3.4412,1.1368,1.0929,4.442,1.7589,3.3396,19.2839,6.0948,4.1114,6.6223,1.7485,5.2039,1.0893,4.5987,3.8909,0.5392,4.9452,10.3733,3.9439,27.3365,22.9891,19.6998,8.9586,9.603,15.4509,16.5898,12.4301,1.4814,13.3543
0.83,3.1932,7.5219,11.2602,3.4511,3.1289,3.7937,1.344,1.4425,8.5873,5.0151,11.4287,7.2207,2.5728,0.8248,0.7749,3.5094,1.3219,2.4388,13.6314,4.4047,3.1751,4.9056,1.2804,3.8769,0.8088,3.5126,2.9135,0.3978,3.7533,7.6935,3.2029,21.6234,19.0647,14.5639,6.5603,7.7887,11.6928,15.9722,14.3851,1.2173,9.1401
0.92,2.4635,5.8865,8.8707,2.73,2.3893,3.0411,1.1589,1.1435,6.4056,3.8159,10.0499,5.8656,1.9826,0.6206,0.5727,2.8294,1.023,1.8446,10.0515,3.3042,2.5121,3.7526,0.9706,2.9793,0.6198,2.7542,2.248,0.3033,2.9277,5.891,2.6429,17.4514,14.6183,11.123,4.9727,6.4202,9.0936,13.2753,15.9749,1.0147,6.5757
1,1.9474,4.7086,7.135,2.2033,1.8731,2.482,1.0076,0.9245,4.9273,2.9827,8.3751,4.8414,1.5659,0.4808,0.4373,2.3205,0.8108,1.4349,7.6609,2.5533,2.0278,2.946,0.7563,2.3476,0.4873,2.2066,1.7773,0.2375,2.3356,4.6284,2.211,14.3247,11.4982,8.7208,3.8749,5.3661,7.2364,10.7719,16.4042,0.8563,4.9155
1.08,1.5709,3.8359,5.8398,1.8086,1.5004,2.0568,0.8826,0.7601,3.8858,2.3835,7.0664,4.0511,1.2622,0.3813,0.3428,1.931,0.6554,1.142,5.9963,2.0211,1.6648,2.3626,0.6028,1.8886,0.3913,1.8,1.4337,0.19,1.8984,3.7143,1.8718,11.9294,9.2363,6.9864,3.0885,4.5391,5.8697,8.8826,15.591,0.7305,3.7875
1.17,1.2889,3.1739,4.8513,1.5062,1.2238,1.727,0.7782,0.6338,3.1282,1.9401,6.027,3.4302,1.0349,0.3085,0.2746,1.6273,0.5387,0.9264,4.7971,1.6321,1.3866,1.929,0.4896,1.546,0.3198,1.4911,1.1764,0.1549,1.5678,3.0343,1.6012,10.0593,7.5514,5.699,2.5086,3.8802,4.8387,7.4265,13.4353,0.6291,2.9911
1.25,1.0729,2.6614,4.082,1.2701,1.0137,1.4668,0.6904,0.5351,2.5623,1.6041,5.1896,2.9348,0.8611,0.2537,0.2239,1.3864,0.4492,0.7638,3.9085,1.3404,1.1694,1.5991,0.4041,1.2845,0.2654,1.2516,0.9794,0.1282,1.3124,2.5166,1.3823,8.5752,6.2672,4.7207,2.0704,3.3477,4.0445,6.2838,11.5376,0.5464,2.4107
