Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0001,0,0.0001,0.0001,0,0,0,0,0.0001,0,0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0.0056,0.0025,0.0026,0.0006,0.007,0,0.0002,0.0005,0.0011,0.0051,0.0002,0.0014,0.0038,0.0228,0.0137,0.0039,0.0157,0.0118,0,0,0.0027,0.0036,0.0187,0.0049,0.0152,0.009,0.0122,0.0084,0,0,0.0012,0.0012,0.0002,0.0022,0.0041,0,0,0,0,0.0019,0.0011
0.25,0.0451,0.0245,0.0255,0.0062,0.0541,0,0.0018,0.0047,0.0107,0.0443,0.0019,0.0136,0.0284,0.1074,0.0683,0.0359,0.0847,0.0812,0,0.0011,0.0231,0.0315,0.0963,0.0408,0.0748,0.0652,0.0795,0.0389,0.009,0.0048,0.0117,0.0119,0.0022,0.022,0.0371,0,0,0.0004,0,0.0149,0.0113
0.33,0.1371,0.091,0.1042,0.0217,0.1602,0,0.0075,0.0191,0.0456,0.1409,0.0083,0.0554,0.083,0.2528,0.1643,0.1214,0.2154,0.2262,0,0.021,0.0735,0.1022,0.2379,0.1271,0.1819,0.1899,0.2197,0.102,0.0392,0.0303,0.0424,0.0516,0.0102,0.0887,0.1208,0,0,0.0018,0,0.0458,0.0495
0.42,0.2819,0.2114,0.2594,0.0528,0.323,0.0058,0.0217,0.0479,0.1296,0.2957,0.0245,0.1378,0.1677,0.44,0.2914,0.266,0.3975,0.4376,0,0.0767,0.1567,0.3589,0.429,0.2646,0.3254,0.3829,0.4278,0.2059,0.0953,0.0832,0.0976,0.1487,0.0315,0.2164,0.2572,0,0,0.0054,0,0.0957,0.1403
0.5,0.4709,0.384,0.4928,0.1057,0.5312,0.033,0.0473,0.0912,0.2808,0.4993,0.0572,0.2635,0.4025,0.6487,0.4393,0.4651,0.6139,0.6966,0.0396,0.1583,0.3447,1.0974,0.6511,0.4455,0.4907,0.6335,0.6887,0.3562,0.1785,0.1655,0.178,0.3205,0.0782,0.5668,0.4237,0,0,0.0127,0,0.1631,0.2922
0.58,0.6927,0.6021,0.7974,0.1856,0.7711,0.0822,0.0847,0.1476,0.4962,0.8015,0.1145,0.4307,0.8543,0.8633,0.7574,0.7083,0.8478,0.9845,0.1499,0.2512,0.7928,2.1093,0.8878,0.6593,0.6668,0.9264,1.5291,0.5301,0.2894,0.2758,0.282,0.57,0.1655,1.4507,0.9307,0,0,0.0257,0,0.2451,0.4965
0.67,0.9359,0.8567,1.1614,0.2964,1.0305,0.1558,0.1329,0.2145,0.8039,1.4572,0.2053,0.6345,1.4039,1.0736,1.2381,0.9833,1.0852,1.2862,0.3185,0.5105,1.5218,3.3406,1.127,0.8956,1.0302,1.2467,2.5129,1.1546,0.3667,0.4174,0.4064,0.8935,0.3066,3.055,1.867,0,0,0.0463,0,0.3377,0.7411
0.75,1.191,1.238,1.7462,0.4132,1.2996,0.2572,0.1903,0.2892,1.5491,2.3051,0.3358,0.8688,2.0119,1.2735,1.89,1.2778,1.3162,1.5906,1.0263,1.2946,2.4056,4.7503,1.3609,1.1453,1.3753,1.5809,3.4237,2.4309,0.4307,0.864,0.5472,1.2833,0.5043,4.9765,3.3804,0,0,0.076,0,0.4371,1.6552
0.83,1.5262,1.9505,2.8142,0.6467,1.8758,0.8776,0.2551,0.3692,2.5247,3.3215,0.9408,1.127,2.6459,1.4601,2.5224,1.5806,1.5343,1.8905,2.0745,2.8764,3.5551,6.2947,1.6195,1.4015,1.6636,1.9186,4.2042,4.0477,0.5281,1.5051,0.7005,1.7293,0.757,7.0796,5.6184,0,0,0.1147,0,0.5398,3.0004
