Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0041,0.0028,0.0023,0.002,0.0058,0.0002,0,0.0003,0.0008,0.0065,0.0001,0.0011,0.0043,0.016,0.0218,0.0012,0.0059,0.0081,0.0008,0.0009,0.002,0.0055,0.0126,0.0048,0.0076,0.0045,0.0072,0.0081,0.003,0.0052,0.0007,0.0013,0.0003,0.0052,0.0073,0.0008,0.0003,0.0002,0.0001,0.0004,0.002
0.17,0.4823,0.3289,0.2764,0.2347,0.6699,0.0223,0.0044,0.0303,0.0943,0.7567,0.0117,0.1282,0.4941,0.9122,1.4377,0.1431,0.4898,0.8945,0.0985,0.1062,0.2317,0.6373,0.9272,0.5535,0.4762,0.5131,0.772,0.3459,0.3506,0.6106,0.0795,0.1527,0.0377,0.6179,0.8502,0.0916,0.034,0.0196,0.0106,0.0515,0.2322
0.25,2.5485,2.3153,2.0087,1.4281,3.3329,0.166,0.033,0.2212,0.6884,4.3834,0.088,0.9424,2.3971,2.9184,4.4607,0.9459,1.8191,3.9193,0.7225,0.7644,1.377,3.7528,3.1942,3.0854,1.6306,2.4503,3.2813,1.0986,2.0652,4.0793,0.5546,1.1337,0.2818,4.4082,5.2781,0.6784,0.2535,0.1472,0.0803,0.2854,1.6557
0.33,6.7284,7.2113,7.0703,4.0519,8.533,0.6577,0.1333,0.7935,2.645,11.6851,0.3574,3.321,6.1834,6.1774,9.0238,2.8163,4.3431,9.5263,2.7996,2.8663,3.8693,10.1445,7.1372,8.204,3.6851,6.4425,8.1776,2.3424,5.7064,11.8672,1.7362,4.4835,1.1269,14.8151,14.4165,2.5509,1.0105,0.595,0.3281,0.8199,6.1128
0.42,11.2843,14.1549,14.8635,7.4412,13.7352,1.7046,0.3572,1.6958,6.5691,19.8796,0.9699,7.127,10.0099,7.8639,10.9595,5.4607,6.3215,14.2978,7.0618,6.3594,7.0351,17.5378,9.6178,13.9377,5.0422,10.6605,12.5925,3.0218,10.1511,21.9038,3.5322,11.3163,2.9822,29.6301,25.1354,5.7327,2.6596,1.6014,0.8985,1.5357,14.0597
0.5,12.822,18.9239,21.7492,9.2771,14.9884,3.0443,0.6685,2.5304,11.1552,22.7432,1.9614,10.6872,11.0276,7.191,9.5084,7.2198,6.431,14.6377,12.7832,9.6681,8.6868,20.4066,9.1215,15.9739,4.9038,12.0818,13.3251,2.859,12.2152,27.2563,4.944,19.5865,5.8257,40.848,29.3987,9.0947,5.158,3.2015,1.8404,1.9922,21.5907
0.58,13.9588,21.5786,26.2639,10.4636,16.1286,4.4648,1.0342,3.1072,15.4681,24.1309,3.4127,13.2899,12.0671,7.8381,10.2973,8.3945,7.2016,15.6978,18.6813,11.9836,9.7901,21.8474,10.0011,17.2122,5.43,13.5843,14.7467,3.1326,13.4796,29.6231,5.9737,27.8849,9.7368,46.7829,31.0491,11.8417,8.3716,5.4949,3.252,2.4076,27.3311
0.67,14.202,23.2318,28.6214,11.1822,16.0632,5.5299,1.36,3.4187,18.0815,24.5727,5.2695,14.9838,12.0729,7.1441,9.1824,9.2579,6.9062,15.1296,23.2076,12.7975,10.428,22.4213,9.2577,17.5939,5.0916,13.8202,14.4366,2.9068,14.1204,30.9521,6.7943,33.6561,14.0229,49.036,31.814,13.6525,11.5063,8.3365,5.1127,2.6849,29.3168
0.75,14.6243,24.237,30.7326,11.6741,16.5132,6.2671,1.635,3.702,19.3751,24.8777,7.3949,16.4638,12.5245,7.586,9.8406,9.832,7.3386,15.6795,25.8608,13.4372,10.8916,22.777,9.8229,17.978,5.4005,14.5378,15.1632,3.0639,14.572,31.507,7.4004,37.8654,18.1179,51.1025,32.0327,15.3686,14.1859,11.4098,7.4699,2.9486,29.8695
