Alpha:,1,Beta:,10,m:,0.6
SubCat,3,32,4,5,6,7,38,37,10,11,15,39,19,40,18,34,41,35,20,17,16,13,23,24,26,28,29,27,25,22,30,36,31,21,14,12,9,8,1,33,2
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area,0.87,1.539,2.011,0.736,0.967,0.484,0.185,0.259,1.25,1.468,1.085,1.183,0.742,0.429,0.558,0.661,0.43,0.902,1.7,0.815,0.687,1.356,0.557,1.069,0.308,0.878,0.885,0.176,0.892,1.899,0.546,2.956,1.672,3.108,1.891,1.197,1.191,1.399,1.871,0.208,1.767
Time (hours),Q_3,Q_32,Q_4,Q_5,Q_6,Q_7,Q_38,Q_37,Q_10,Q_11,Q_15,Q_39,Q_19,Q_40,Q_18,Q_34,Q_41,Q_35,Q_20,Q_17,Q_16,Q_13,Q_23,Q_24,Q_26,Q_28,Q_29,Q_27,Q_25,Q_22,Q_30,Q_36,Q_31,Q_21,Q_14,Q_12,Q_9,Q_8,Q_1,Q_33,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0006,0.0007,0.0002,0.0002,0.0013,0,0,0.0001,0.0002,0.0013,0,0.0002,0.0003,0.0026,0.0013,0.0003,0.0006,0.0014,0.0001,0.0001,0.0002,0.0005,0.0016,0.0008,0.0011,0.0006,0.0006,0.0008,0.0003,0.0005,0.0002,0.0001,0,0.0005,0.0007,0.0001,0.0001,0,0,0.0002,0.0002
0.17,0.0565,0.0688,0.0148,0.0176,0.1143,0.0008,0.0042,0.0055,0.0209,0.1209,0.0042,0.0209,0.0254,0.1144,0.0937,0.0284,0.0415,0.1168,0.0056,0.0057,0.0199,0.0506,0.0981,0.0738,0.0558,0.0523,0.0536,0.0317,0.0234,0.0472,0.0176,0.0136,0.0028,0.0428,0.0634,0.0101,0.0062,0.0009,0.0024,0.0142,0.0169
0.25,0.2746,0.4038,0.0999,0.1078,0.4738,0.0051,0.0212,0.0368,0.1381,0.5965,0.0286,0.1386,0.1437,0.3466,0.3346,0.1495,0.1532,0.4684,0.0378,0.0381,0.116,0.3035,0.3275,0.3648,0.1785,0.2352,0.2404,0.0976,0.1436,0.3095,0.0966,0.0921,0.0186,0.286,0.4016,0.0681,0.0416,0.006,0.0166,0.0554,0.1129
0.33,0.5603,0.9034,0.3183,0.2533,0.8848,0.0166,0.0455,0.0976,0.4295,1.2025,0.092,0.3598,0.3196,0.5469,0.5797,0.3187,0.2788,0.8595,0.1214,0.1215,0.2631,0.6945,0.5533,0.7448,0.2968,0.4703,0.4796,0.1604,0.3377,0.7889,0.2124,0.2962,0.0603,0.8709,0.9622,0.2068,0.1331,0.0197,0.0537,0.1045,0.3557
0.42,0.8228,1.3809,0.6396,0.4057,1.2301,0.0382,0.0708,0.1653,0.8597,1.726,0.2093,0.6079,0.4953,0.7265,0.784,0.483,0.3976,1.1849,0.2765,0.2713,0.4131,1.0807,0.7522,1.0877,0.4084,0.6939,0.7066,0.2238,0.5392,1.305,0.3289,0.6654,0.1386,1.6312,1.5292,0.3881,0.301,0.0456,0.1237,0.1524,0.7883
0.5,1.57,2.4898,1.198,0.7457,2.428,0.0856,0.1395,0.2939,1.5646,3.2168,0.4595,1.0963,0.9216,1.5888,1.6305,0.9143,0.8423,2.363,0.6098,0.5432,0.7664,1.953,1.6155,2.0524,0.8931,1.3766,1.403,0.4984,0.9854,2.3191,0.6207,1.338,0.3091,2.9447,2.716,0.7124,0.6471,0.1026,0.2764,0.3201,1.5876
0.58,3.5895,5.6118,2.4748,1.7053,5.4707,0.1948,0.3302,0.6366,3.0765,7.2535,0.9895,2.4261,2.1187,3.4156,3.6375,2.1118,1.9368,5.312,1.3675,1.1043,1.7633,4.4071,3.6008,4.6696,1.978,3.1879,3.2479,1.0999,2.2421,5.0811,1.4385,2.7599,0.7075,6.0671,6.0287,1.5086,1.3583,0.2376,0.6345,0.7464,3.1846
0.67,6.3697,10.4186,4.99,3.3211,9.0096,0.3964,0.6333,1.2502,5.8207,12.5792,1.9264,4.8264,4.0077,5.0055,5.6899,3.9068,3.2359,8.6352,2.7197,2.1225,3.3816,8.3113,5.5833,8.2462,3.0565,5.6654,5.7603,1.7005,4.3419,9.8908,2.727,5.4321,1.488,12.045,11.4846,3.0842,2.607,0.5078,1.3401,1.2935,5.9425
