Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0012,0.0011,0.0006,0.0003,0.0022,0,0,0.0002,0.0002,0.0016,0.0008,0.0002,0.0003,0.0025,0.0042,0.0004,0.0017,0.0027,0.0003,0.0002,0.0007,0.0015,0.0028,0.0021,0.0012,0.0012,0.0023,0.0013,0.0006,0.0022,0.0004,0.0004,0,0.0023,0.0018,0.0002,0.0001,0,0,0.0001,0.0006
0.17,0.1041,0.097,0.058,0.0252,0.1863,0.0017,0.0022,0.019,0.0194,0.1402,0.0726,0.0179,0.0229,0.1288,0.2365,0.0317,0.1016,0.2015,0.0277,0.0201,0.0621,0.1339,0.1618,0.1884,0.0657,0.1053,0.1774,0.0487,0.0571,0.2,0.0342,0.0347,0.0031,0.2074,0.1592,0.0166,0.0047,0.0029,0.003,0.0048,0.0518
0.25,0.4295,0.5273,0.3528,0.145,0.6717,0.0108,0.0136,0.102,0.1182,0.6823,0.3723,0.11,0.1325,0.3608,0.6488,0.1647,0.2978,0.6413,0.1685,0.122,0.2689,0.6366,0.4635,0.7073,0.1918,0.3932,0.5778,0.1307,0.2875,0.9803,0.1606,0.2136,0.019,1.1953,0.8329,0.1024,0.0291,0.0178,0.0184,0.0295,0.3112
0.33,0.8486,1.1672,0.9518,0.3405,1.2499,0.0345,0.0421,0.2216,0.3675,1.4142,0.8008,0.321,0.3128,0.6189,1.0648,0.3614,0.5268,1.1558,0.5218,0.3742,0.5456,1.3069,0.8009,1.3345,0.3414,0.7643,1.0555,0.2239,0.6166,2.0207,0.3368,0.6732,0.0609,2.7645,1.7778,0.3032,0.0926,0.057,0.059,0.0829,0.9432
0.42,1.2872,1.8771,1.6828,0.5754,1.8102,0.0806,0.0825,0.3502,0.8167,2.1854,1.2774,0.5997,0.5307,0.861,1.4116,0.5899,0.7529,1.6563,1.1636,0.7318,0.8473,2.0117,1.1177,1.9491,0.4927,1.161,1.5298,0.3148,0.9863,3.0888,0.5374,1.4248,0.1428,4.46,2.7799,0.5719,0.2152,0.1335,0.1385,0.1501,1.9203
0.5,1.6997,2.5772,2.4625,0.8285,2.2975,0.1547,0.1295,0.4725,1.3583,2.9093,1.7518,0.9176,0.7667,1.0675,1.6723,0.8295,0.9564,2.0966,1.9622,1.1121,1.1444,2.6732,1.3878,2.4889,0.6325,1.5458,1.9561,0.3959,1.3593,4.0613,0.744,2.3046,0.2784,6.0611,3.7219,0.8801,0.415,0.2601,0.2704,0.224,2.9218
0.58,2.0628,3.2198,3.2329,1.0843,2.6936,0.2453,0.1801,0.5805,1.9071,3.5423,2.193,1.2546,1.0066,1.2332,1.8567,1.0653,1.1288,2.4602,2.7606,1.4781,1.4187,3.252,1.6044,2.9319,0.7545,1.8965,2.3159,0.4642,1.7116,4.884,0.9442,3.243,0.4801,7.4571,4.5447,1.2086,0.7028,0.4481,0.4674,0.2991,3.8289
0.67,2.3682,3.7817,3.956,1.3314,3.0017,0.345,0.2318,0.6713,2.4235,4.0698,2.5847,1.5953,1.2399,1.361,1.9822,1.2874,1.2691,2.748,3.4977,1.8087,1.6609,3.7349,1.7712,3.2793,0.8566,2.2028,2.6068,0.5196,2.0295,5.547,1.13,4.1879,0.7582,8.6117,5.2287,1.5424,1.0337,0.7068,0.7398,0.372,4.5926
0.75,2.617,4.2563,4.6103,1.5627,3.234,0.4496,0.2829,0.745,2.8859,4.4949,2.9208,1.9283,1.4596,1.4568,2.0656,1.49,1.38,2.9691,4.1433,2.0945,1.8679,4.1247,1.896,3.5435,0.9396,2.4619,2.8351,0.5632,2.307,6.0637,1.297,5.1019,1.1178,9.5327,5.7781,1.8703,1.3786,1.0247,1.0956,0.4401,5.2052
0.83,2.8149,4.6471,5.1864,1.7739,3.4056,0.5558,0.3321,0.8034,3.2854,4.8293,3.2022,2.2453,1.6614,1.5273,2.1203,1.6704,1.4659,3.1355,4.6878,2.3339,2.0408,4.4318,1.9877,3.7402,1.0057,2.6762,3.0104,0.5969,2.5434,6.4569,1.4437,5.9598,1.5176,10.2485,6.2088,2.1841,1.723,1.3619,1.5273,0.502,5.6804
0.92,2.9697,4.9629,5.683,1.963,3.5305,0.6609,0.3784,0.8488,3.6214,5.0879,3.4334,2.541,1.8433,1.5784,2.1557,1.828,1.5313,3.259,5.1348,2.5298,2.1826,4.6696,2.0541,3.8844,1.0576,2.8503,3.1431,0.6225,2.7409,6.7513,1.5701,6.7467,1.9291,10.7949,6.5405,2.4784,2.0562,1.7058,1.982,0.5571,6.0407
1,3.0893,5.2145,6.1041,2.1296,3.6205,0.7629,0.4213,0.8836,3.8986,5.2853,3.6207,2.8124,2.0047,1.6152,2.1785,1.9636,1.5807,3.3495,5.4946,2.6873,2.2972,4.8515,2.1018,3.9891,1.0978,2.99,3.2423,0.6418,2.9036,6.9691,1.6774,7.4554,2.3401,11.2063,6.7926,2.7498,2.3709,2.0468,2.4419,0.6055,6.3092
1.08,3.1527,5.3794,6.4305,2.2642,3.6418,0.8588,0.4591,0.904,4.1125,5.393,3.7464,3.0484,2.1364,1.6076,2.1424,2.0672,1.591,3.3675,5.7636,2.8025,2.3705,4.9502,2.0957,4.0201,1.11,3.0722,3.273,0.6407,3.0169,7.0717,1.756,8.0632,2.7379,11.4425,6.933,2.9877,2.6583,2.3748,2.8922,0.6449,6.4828
1.17,2.8703,5.1099,6.3771,2.2485,3.1771,0.9302,0.4767,0.847,4.1456,4.9854,3.5545,3.1365,2.129,1.3464,1.7154,2.0108,1.3678,2.9011,5.78,2.7726,2.2082,4.5651,1.7591,3.5358,0.9653,2.8045,2.8505,0.544,2.8752,6.4809,1.6816,8.3276,3.076,10.7856,6.4556,3.0844,2.8674,2.6488,3.2846,0.649,6.3219
1.25,2.4964,4.5197,5.9503,2.0954,2.698,0.9728,0.4722,0.7366,4.0057,4.3101,3.1574,3.0648,1.9917,1.1538,1.4233,1.8394,1.1899,2.4912,5.5605,2.607,1.958,3.9469,1.5051,3.0068,0.8485,2.4843,2.4632,0.4746,2.5728,5.5336,1.5246,8.2296,3.3397,9.4025,5.582,3.0275,2.9888,2.8566,3.6019,0.6173,5.8681
1.33,2.2222,4.0384,5.4097,1.9473,2.3657,0.988,0.4501,0.6504,3.7348,3.8104,2.8424,2.8959,1.8563,1.0192,1.236,1.695,1.0607,2.2012,5.1669,2.3451,1.7671,3.4934,1.3279,2.638,0.7618,2.2412,2.1851,0.4241,2.3312,4.8471,1.3997,7.8273,3.5284,8.2206,4.9192,2.8694,3.0299,2.9984,3.8417,0.5694,5.2197
1.42,2.0171,3.6719,4.9799,1.8248,2.1287,0.9782,0.4278,0.5866,3.3786,3.441,2.599,2.7464,1.7437,0.9226,1.1113,1.5777,0.965,1.9908,4.6531,2.104,1.6193,3.1575,1.2011,2.374,0.6962,2.0535,1.9806,0.3866,2.1419,4.3517,1.2991,7.3171,3.645,7.3624,4.4318,2.7269,3,3.0775,4.0057,0.5299,4.5594
1.5,1.8609,3.3887,4.6344,1.7228,1.956,0.9481,0.4087,0.5385,3.0751,3.1631,2.4083,2.6185,1.6494,0.8518,1.026,1.4815,0.8928,1.8353,4.1965,1.9198,1.5032,2.9044,1.1084,2.1809,0.6459,1.9068,1.8277,0.3583,1.9917,3.9868,1.2174,6.891,3.6945,6.7263,4.0667,2.6044,2.9091,3.0987,4.0978,0.4974,4.0817
1.58,1.7405,3.167,4.3542,1.6372,1.8281,0.9178,0.3921,0.5018,2.8381,2.9508,2.2572,2.5084,1.5699,0.7992,0.9665,1.4022,0.8376,1.7185,3.8473,1.777,1.4111,2.7107,1.0395,2.0373,0.6067,1.7907,1.7115,0.3366,1.8713,3.7134,1.1505,6.5328,3.683,6.247,3.789,2.4987,2.771,3.0676,4.1236,0.4704,3.7314
1.67,1.6465,2.9916,4.1249,1.5651,1.732,0.8909,0.3778,0.4734,2.6509,2.7867,2.1363,2.4134,1.5026,0.7595,0.9243,1.3362,0.7949,1.6297,3.5765,1.6649,1.3373,2.5608,0.9877,1.9291,0.576,1.6981,1.6223,0.3198,1.774,3.5059,1.0952,6.2299,3.6172,5.8809,3.575,2.407,2.6405,2.9905,4.0896,0.4478,3.4699
1.75,1.5726,2.8517,3.9361,1.504,1.659,0.867,0.3653,0.4511,2.5016,2.6586,2.0388,2.331,1.4454,0.7294,0.8941,1.2811,0.7615,1.5615,3.3642,1.5761,1.2778,2.4436,0.9483,1.8467,0.5516,1.6235,1.5531,0.3067,1.6948,3.3467,1.0493,5.9725,3.506,5.5983,3.4086,2.3273,2.5284,2.8903,4.0024,0.4289,3.272
1.83,1.514,2.7393,3.7796,1.452,1.6032,0.8456,0.3543,0.4336,2.3814,2.5579,1.9597,2.2594,1.3965,0.7062,0.8723,1.2348,0.7353,1.5087,3.196,1.5051,1.2294,2.3513,0.9181,1.7834,0.5322,1.5631,1.499,0.2964,1.6298,3.2235,1.0111,5.7527,3.3939,5.3783,3.278,2.2577,2.4318,2.8011,3.88,0.4129,3.1207
1.92,1.4672,2.6484,3.6493,1.4075,1.5602,0.8265,0.3448,0.4197,2.284,2.478,1.8951,2.1969,1.3545,0.6884,0.8564,1.1957,0.7146,1.4676,3.0617,1.448,1.1899,2.2781,0.8949,1.7345,0.5166,1.5139,1.4564,0.2882,1.5763,3.1275,0.979,5.5645,3.2947,5.2057,3.1749,2.1969,2.3481,2.7222,3.7683,0.3993,3.0039
2,1.4296,2.5745,3.5403,1.3694,1.5269,0.8094,0.3364,0.4086,2.2046,2.4145,1.8422,2.1423,1.3184,0.6745,0.8448,1.1626,0.6982,1.4354,2.9538,1.4017,1.1574,2.2198,0.8769,1.6964,0.504,1.4737,1.4228,0.2817,1.532,3.0523,0.952,5.4026,3.2067,5.0695,3.0931,2.1435,2.2754,2.652,3.6689,0.3878,2.9131
2.08,1.3936,2.5072,3.4429,1.3343,1.4923,0.7937,0.3287,0.3985,2.137,2.3551,1.7934,2.092,1.285,0.6569,0.8263,1.1319,0.6796,1.4004,2.8631,1.362,1.1267,2.165,0.8548,1.6578,0.49,1.4346,1.3873,0.2734,1.4911,2.9815,0.9266,5.2578,3.1275,4.9471,3.0176,2.0943,2.211,2.5887,3.5794,0.3774,2.8372
2.17,1.2947,2.3671,3.2894,1.274,1.3652,0.7746,0.3179,0.3751,2.0511,2.2048,1.6904,2.0184,1.2283,0.5893,0.7277,1.0737,0.6159,1.2722,2.7475,1.3037,1.0541,2.0245,0.7678,1.522,0.4459,1.3311,1.2654,0.2464,1.4064,2.7868,0.8742,5.0697,3.0449,4.6756,2.8351,2.0228,2.1412,2.5216,3.4869,0.3618,2.7172
2.25,1.1794,2.1697,3.0755,1.1902,1.2326,0.7515,0.3035,0.3418,1.9443,2.0036,1.5514,1.9187,1.1492,0.5344,0.6504,0.9961,0.5617,1.1541,2.6036,1.2254,0.9669,1.8397,0.6957,1.3748,0.4082,1.2211,1.1507,0.225,1.2942,2.5207,0.8085,4.8318,2.9567,4.2673,2.5769,1.9261,2.0641,2.4487,3.3892,0.3405,2.5518
2.33,1.0874,2.0014,2.8516,1.1137,1.1305,0.7247,0.2866,0.3139,1.8212,1.842,1.4353,1.8063,1.0766,0.4919,0.594,0.9294,0.5187,1.062,2.4381,1.1323,0.8958,1.6921,0.6401,1.2611,0.378,1.1316,1.0604,0.2081,1.2002,2.3093,0.7535,4.553,2.8636,3.9038,2.3657,1.8155,1.9808,2.3708,3.287,0.3174,2.353
2.42,1.0134,1.8643,2.6644,1.0482,1.0508,0.695,0.2711,0.2917,1.6879,1.7128,1.3398,1.707,1.0142,0.4587,0.5523,0.8728,0.4844,0.9894,2.2568,1.0471,0.8372,1.574,0.5966,1.1721,0.3535,1.058,0.9886,0.1945,1.1222,2.1429,0.7071,4.2729,2.7665,3.6162,2.1973,1.7172,1.8923,2.2887,3.1809,0.2977,2.154
2.5,0.9531,1.7516,2.5067,0.9918,0.988,0.6631,0.2574,0.2737,1.5719,1.6084,1.2607,1.6201,0.9603,0.4324,0.5209,0.8246,0.4567,0.9316,2.0945,0.9775,0.7886,1.4785,0.5622,1.1017,0.3334,0.9971,0.9308,0.1836,1.0571,2.0104,0.6678,4.0315,2.6658,3.3862,2.0617,1.6309,1.7996,2.2029,3.0714,0.2809,1.9969
2.58,0.9038,1.6583,2.3731,0.943,0.9379,0.6336,0.2454,0.259,1.4759,1.5234,1.1946,1.5438,0.9135,0.4114,0.497,0.7833,0.4341,0.8851,1.962,0.9202,0.748,1.4007,0.5349,1.0455,0.3169,0.9464,0.884,0.1746,1.0023,1.904,0.6343,3.8224,2.5622,3.2005,1.9517,1.5549,1.7043,2.1141,2.9591,0.2664,1.8721
2.67,0.863,1.5806,2.2593,0.9006,0.8977,0.6073,0.2347,0.2469,1.396,1.4538,1.1391,1.4765,0.8728,0.3945,0.4787,0.7477,0.4155,0.8474,1.8528,0.8727,0.7139,1.3369,0.5129,1.0003,0.3032,0.9038,0.8458,0.1673,0.9559,1.8179,0.6056,3.6406,2.4561,3.0496,1.8616,1.4878,1.618,2.0227,2.8444,0.2539,1.7722
2.75,0.8292,1.5154,2.1618,0.8636,0.8653,0.5836,0.2253,0.237,1.3289,1.3963,1.0923,1.4169,0.8371,0.3809,0.4645,0.717,0.4003,0.8167,1.7623,0.8331,0.6851,1.2841,0.4951,0.9636,0.2918,0.8679,0.8145,0.1613,0.9166,1.7478,0.5808,3.4818,2.3484,2.926,1.7875,1.4283,1.5422,1.9333,2.7278,0.2431,1.6914
2.83,0.801,1.4606,2.078,0.8313,0.8389,0.5622,0.2169,0.2287,1.2723,1.3486,1.0526,1.3641,0.8059,0.3698,0.4535,0.6903,0.3876,0.7915,1.6869,0.7998,0.6606,1.2403,0.4806,0.9338,0.2823,0.8376,0.7886,0.1562,0.883,1.6903,0.5595,3.3427,2.2488,2.8242,1.7262,1.3754,1.4754,1.8531,2.6123,0.2336,1.6257
2.92,0.7774,1.4142,2.0057,0.8028,0.8174,0.5429,0.2094,0.2219,1.2244,1.3089,1.0188,1.3171,0.7783,0.3607,0.4449,0.6671,0.3771,0.7708,1.6236,0.7718,0.6398,1.2038,0.4688,0.9094,0.2742,0.8117,0.7671,0.1521,0.8542,1.643,0.5409,3.2203,2.1596,2.7401,1.6752,1.3282,1.4164,1.7813,2.508,0.2254,1.572
3,0.7575,1.3748,1.943,0.7778,0.7997,0.5254,0.2027,0.2161,1.1837,1.2757,0.9899,1.2751,0.754,0.3533,0.4382,0.6468,0.3683,0.7537,1.5703,0.748,0.6219,1.1733,0.4591,0.8893,0.2675,0.7897,0.7493,0.1486,0.8294,1.6039,0.5248,3.1123,2.0794,2.6702,1.6326,1.286,1.364,1.7166,2.4141,0.2182,1.5279
3.08,0.7501,1.3525,1.898,0.7597,0.7991,0.5103,0.1972,0.2133,1.1529,1.2615,0.9735,1.2416,0.7363,0.3581,0.449,0.6332,0.3696,0.7551,1.5308,0.7313,0.613,1.1605,0.4641,0.8871,0.2679,0.7806,0.7484,0.1508,0.8148,1.5901,0.5148,3.0253,2.0089,2.6351,1.6133,1.252,1.3192,1.6599,2.3311,0.2127,1.4995
3.17,0.8625,1.4759,1.9781,0.7942,0.9716,0.5052,0.1991,0.2365,1.1765,1.423,1.0646,1.2614,0.7675,0.4577,0.6115,0.6753,0.4563,0.9316,1.5664,0.7598,0.6853,1.3131,0.5919,1.0671,0.3256,0.8942,0.9101,0.1888,0.887,1.8138,0.5583,3.0535,1.9661,2.8976,1.8029,1.2694,1.3019,1.6272,2.2779,0.2191,1.5756
