Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.0002,0.0001,0.0001,0,0.0002,0,0,0,0,0.0002,0.0002,0,0,0.0003,0.0002,0.0001,0.0003,0.0003,0,0,0.0001,0.0001,0.0003,0.0002,0.0002,0.0002,0.0003,0.0001,0,0.0001,0.0001,0,0,0.0001,0.0001,0,0,0,0,0,0
0.33,0.0005,0.0005,0.0003,0,0.0007,0,0,0.0002,0.0002,0.0005,0.0006,0.0001,0.0001,0.0008,0.0006,0.0005,0.0009,0.0009,0,0.0001,0.0003,0.0003,0.0009,0.0006,0.0005,0.0006,0.0009,0.0003,0.0001,0.0002,0.0003,0.0002,0,0.0005,0.0004,0,0,0,0,0.0001,0.0002
0.42,0.0011,0.0011,0.0008,0.0001,0.0015,0,0.0001,0.0004,0.0005,0.0012,0.0014,0.0004,0.0002,0.0016,0.0013,0.001,0.0017,0.0018,0,0.0003,0.0007,0.0008,0.0018,0.0012,0.0011,0.0012,0.0019,0.0007,0.0003,0.0005,0.0007,0.0006,0,0.0012,0.0009,0,0,0,0,0.0003,0.0006
0.5,0.002,0.0021,0.0016,0.0002,0.0027,0,0.0002,0.0007,0.0011,0.0021,0.0027,0.0008,0.0005,0.0026,0.0023,0.0018,0.0029,0.0031,0.0003,0.0006,0.0013,0.0015,0.0031,0.0022,0.0018,0.0022,0.0033,0.0014,0.0006,0.001,0.0013,0.0013,0.0001,0.0023,0.0018,0,0,0,0,0.0006,0.0013
0.58,0.0033,0.0034,0.0028,0.0004,0.0043,0,0.0004,0.0012,0.002,0.0035,0.0043,0.0013,0.0008,0.004,0.0036,0.003,0.0045,0.0048,0.0009,0.0012,0.0021,0.0025,0.0048,0.0035,0.0028,0.0035,0.0052,0.0023,0.001,0.0017,0.0021,0.0023,0.0002,0.0039,0.0029,0,0,0.0001,0,0.001,0.0024
0.67,0.0048,0.0051,0.0044,0.0008,0.0063,0.0002,0.0007,0.0018,0.0033,0.0052,0.0064,0.0021,0.0013,0.0057,0.0053,0.0044,0.0063,0.007,0.0017,0.002,0.0031,0.0038,0.0068,0.0052,0.0039,0.0052,0.0076,0.0037,0.0016,0.0027,0.0031,0.0037,0.0004,0.0059,0.0044,0.0001,0,0.0001,0,0.0015,0.0039
0.75,0.0067,0.0073,0.0063,0.0013,0.0087,0.0004,0.0009,0.0025,0.005,0.0073,0.009,0.0031,0.0018,0.0077,0.0072,0.0061,0.0085,0.0096,0.003,0.0031,0.0043,0.0054,0.0092,0.0072,0.0053,0.0072,0.0103,0.0055,0.0024,0.0039,0.0044,0.0056,0.0008,0.0085,0.0064,0.0002,0,0.0002,0,0.0021,0.0058
0.83,0.009,0.0099,0.0087,0.0021,0.0115,0.0008,0.0013,0.0033,0.0071,0.0099,0.012,0.0042,0.0025,0.01,0.0095,0.0081,0.0109,0.0126,0.0047,0.0045,0.0059,0.0075,0.0119,0.0096,0.0068,0.0095,0.0136,0.0077,0.0034,0.0055,0.0058,0.0079,0.0013,0.0116,0.0087,0.0004,0,0.0003,0,0.0027,0.0081
0.92,0.0115,0.0128,0.0115,0.0032,0.0146,0.0013,0.0017,0.0042,0.0095,0.0128,0.0154,0.0056,0.0034,0.0124,0.012,0.0103,0.0135,0.0159,0.0069,0.0062,0.0077,0.0099,0.0149,0.0123,0.0085,0.0121,0.0172,0.0105,0.0046,0.0073,0.0074,0.0107,0.0021,0.0152,0.0115,0.0007,0,0.0005,0,0.0035,0.0109
1,0.0144,0.0162,0.0147,0.0046,0.0181,0.002,0.0022,0.0053,0.0124,0.016,0.0193,0.0072,0.0044,0.0151,0.0149,0.0128,0.0164,0.0197,0.0096,0.0084,0.0097,0.0127,0.0182,0.0153,0.0103,0.0151,0.0212,0.0138,0.006,0.0095,0.0093,0.014,0.0032,0.0193,0.0147,0.0011,0,0.0007,0.0001,0.0044,0.0141
1.08,0.0175,0.02,0.0184,0.0063,0.022,0.0029,0.0027,0.0064,0.0157,0.0197,0.0236,0.0091,0.0056,0.018,0.0181,0.0156,0.0196,0.0238,0.0129,0.0109,0.0121,0.0159,0.0218,0.0186,0.0123,0.0184,0.0256,0.0177,0.0077,0.012,0.0113,0.0177,0.0045,0.0239,0.0184,0.0016,0,0.0009,0.0002,0.0054,0.0178
1.17,0.0227,0.0256,0.0234,0.0083,0.0285,0.0038,0.0034,0.0082,0.02,0.0253,0.0302,0.0116,0.0073,0.0244,0.0238,0.02,0.0265,0.0314,0.0163,0.0141,0.0158,0.0205,0.0292,0.0241,0.0168,0.0241,0.0337,0.0232,0.01,0.0152,0.0146,0.0227,0.0062,0.0304,0.0237,0.0022,0,0.0013,0.0004,0.0068,0.0225
1.25,0.0327,0.036,0.0321,0.011,0.0412,0.0048,0.0046,0.0115,0.0264,0.0358,0.0432,0.0158,0.0102,0.0362,0.0341,0.0291,0.0399,0.0459,0.0203,0.0187,0.0228,0.0286,0.0433,0.0347,0.0253,0.0351,0.0495,0.0316,0.0138,0.0208,0.0213,0.0304,0.0084,0.0418,0.0331,0.0028,0,0.0017,0.0006,0.0094,0.0297
1.33,0.0483,0.053,0.0469,0.0149,0.0605,0.0062,0.0068,0.0171,0.0367,0.0526,0.0644,0.0231,0.0149,0.0535,0.0489,0.0441,0.0597,0.0675,0.0265,0.0261,0.0336,0.0413,0.0639,0.0508,0.0378,0.0523,0.0732,0.0441,0.02,0.0298,0.032,0.043,0.0113,0.0607,0.048,0.0037,0,0.0023,0.0007,0.0142,0.0412
