Alpha:,1,Beta:,10,m:,0.6
SubCat,13,14,15,11,17,24,23,22,19,20,21,18,16,12,10,28,55,26,25,27,9,8,36,6,35,34,30,32,31,29,33,7,5,40,41,38,39,37,4,2,46,51,52,53,45,50,49,42,47,43,54,44,48,3,1,
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Area,1.485,0.372,0.731,0.443,0.404,0.334,0.967,0.866,1.198,2.343,0.775,2.459,0.167,1.262,0.672,0.452,0.728,0.288,1.284,0.746,0.246,0.58,0.325,0.371,0.77,1.689,0.534,0.891,1.389,0.204,0.391,0.701,1.132,0.155,0.428,0.43,0.017,2.11,0.359,1.021,0.11,0.407,0.121,1.133,0.266,0.686,0.544,2.243,0.25,0.588,1.082,0.773,0.701,0.152,0.108,
Time (hours),Q_13,Q_14,Q_15,Q_11,Q_17,Q_24,Q_23,Q_22,Q_19,Q_20,Q_21,Q_18,Q_16,Q_12,Q_10,Q_28,Q_55,Q_26,Q_25,Q_27,Q_9,Q_8,Q_36,Q_6,Q_35,Q_34,Q_30,Q_32,Q_31,Q_29,Q_33,Q_7,Q_5,Q_40,Q_41,Q_38,Q_39,Q_37,Q_4,Q_2,Q_46,Q_51,Q_52,Q_53,Q_45,Q_50,Q_49,Q_42,Q_47,Q_43,Q_54,Q_44,Q_48,Q_3,Q_1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.08,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.17,0,0,0,0,0,0.0931,0.5073,0.0065,0.0018,0.2757,0,0,0.0112,0,0,0.0104,0,0.0892,0.0004,0,0.0026,0,0,0.0001,0.0026,0,0.0182,0.0105,0,0.0039,0,0.0019,0,0,0.0005,0.0008,0.0025,0.0008,0,0,0.008,0,0.0068,0.0071,0,0,0.0001,0.0152,0,0.0067,0.0196,0,0,0,0.0004,
0.25,0,0.0019,0.0003,0.0009,0.0019,1.6665,7.6531,0.4911,0.1599,5.0754,0,0,0.2403,0,0.0003,0.4916,0,1.5484,0.0445,0,0.0821,0,0,0.0057,0.1934,0,0.6389,0.4279,0,0.1233,0,0.0661,0,0.003,0.0299,0.0527,0.056,0.0989,0,0.0013,0.1882,0,0.1606,0.268,0,0,0.0062,0.5131,0,0.2373,0.6388,0,0,0.0026,0.0154,
0.33,3.6347,0.0495,0.0067,0,0.0486,9.2053,24.1351,4.5653,2.5711,32.0234,0.9341,0,1.7411,0,0.0103,5.0891,0.4391,7.9308,0.8566,0,0.757,0,5.846,0,2.6535,0,6.0124,4.7186,0,1.1786,0,0.6308,0,0.05,0.4248,0.7389,0.2985,1.8185,0,0.0288,1.4266,0.1563,1.285,2.937,0.3613,0,0.1296,5.0305,0,2.36,6.2339,0,0,0.0298,0.1902,
0.42,10.4074,0.4073,0.0546,0.5063,0.4036,8.6171,23.798,13.6278,10.8426,41.2929,18.1939,0.8046,2.6765,0.0089,0.0376,9.9821,5.6647,7.2972,4.5927,0.4071,1.9544,0,7.9894,2.3357,9.5298,0,10.4687,11.6765,0.0584,2.5474,2.0674,1.4343,0,0.2481,1.6972,2.797,0.2899,9.3605,0,0.1774,2.053,1.3418,2.0604,7.9494,5.9371,0,0.7378,12.4723,0.4481,5.6839,13.6492,1.6609,1.1751,0,0.6114,
