Alpha:,1,Beta:,10,m:,0.6
SubCat,13,14,15,11,17,24,23,22,19,20,21,18,16,12,10,28,55,26,25,27,9,8,36,6,35,34,30,32,31,29,33,7,5,40,41,38,39,37,4,2,46,51,52,53,45,50,49,42,47,43,54,44,48,3,1,
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Area,1.485,0.372,0.731,0.443,0.404,0.334,0.967,0.866,1.198,2.343,0.775,2.459,0.167,1.262,0.672,0.452,0.728,0.288,1.284,0.746,0.246,0.58,0.325,0.371,0.77,1.689,0.534,0.891,1.389,0.204,0.391,0.701,1.132,0.155,0.428,0.43,0.017,2.11,0.359,1.021,0.11,0.407,0.121,1.133,0.266,0.686,0.544,2.243,0.25,0.588,1.082,0.773,0.701,0.152,0.108,
Time (hours),Q_13,Q_14,Q_15,Q_11,Q_17,Q_24,Q_23,Q_22,Q_19,Q_20,Q_21,Q_18,Q_16,Q_12,Q_10,Q_28,Q_55,Q_26,Q_25,Q_27,Q_9,Q_8,Q_36,Q_6,Q_35,Q_34,Q_30,Q_32,Q_31,Q_29,Q_33,Q_7,Q_5,Q_40,Q_41,Q_38,Q_39,Q_37,Q_4,Q_2,Q_46,Q_51,Q_52,Q_53,Q_45,Q_50,Q_49,Q_42,Q_47,Q_43,Q_54,Q_44,Q_48,Q_3,Q_1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.17,0,0,0,0,0,0.0008,0,0,0,0.0023,0,0,0.0001,0,0,0.0001,0,0.0008,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0,0,
0.25,0,0,0,0,0,0.0953,0.4923,0.0344,0.0036,0.2808,0,0,0.0121,0,0,0.0157,0,0.0904,0.001,0,0.0032,0,0,0.0001,0.0048,0,0.0238,0.0141,0,0.0047,0,0.0025,0,0.0001,0.0008,0.0014,0.0027,0.0021,0,0,0.0084,0,0.0073,0.0093,0,0,0.0001,0.0195,0,0.0087,0.0242,0,0,0.0001,0.0005,
0.33,0,0.0019,0.0003,0.0009,0.0019,1.1327,5.4702,0.4972,0.1371,3.4326,0,0,0.1686,0,0.0003,0.3767,0,1.0458,0.0402,0,0.0597,0,0,0.0057,0.1567,0,0.4724,0.3183,0,0.0897,0,0.0492,0,0.0025,0.0236,0.0416,0.0388,0.091,0,0.0013,0.1278,0,0.1118,0.1976,0,0,0.0061,0.3777,0,0.1753,0.4646,0,0,0.002,0.0114,
0.42,1.4454,0.0297,0.004,0,0.0292,3.9513,12.9133,2.9282,1.316,14.4199,0,0,0.7447,0,0.0062,2.2985,0.2392,3.5482,0.4484,0,0.3209,0,2.5173,0,1.3044,0,2.6771,2.0937,0,0.5119,0,0.2836,0,0.024,0.1986,0.348,0.1395,0.9631,0,0.0167,0.6037,0.0766,0.5405,1.2786,0.109,0,0.0725,2.2109,0,1.0437,2.7001,0,0,0.0137,0.0818,
