Alpha:,1,Beta:,10,m:,0.6
SubCat,13,14,15,11,17,24,23,22,19,20,21,18,16,12,10,28,55,26,25,27,9,8,36,6,35,34,30,32,31,29,33,7,5,40,41,38,39,37,4,2,46,51,52,53,45,50,49,42,47,43,54,44,48,3,1,
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Area,1.485,0.372,0.731,0.443,0.404,0.334,0.967,0.866,1.198,2.343,0.775,2.459,0.167,1.262,0.672,0.452,0.728,0.288,1.284,0.746,0.246,0.58,0.325,0.371,0.77,1.689,0.534,0.891,1.389,0.204,0.391,0.701,1.132,0.155,0.428,0.43,0.017,2.11,0.359,1.021,0.11,0.407,0.121,1.133,0.266,0.686,0.544,2.243,0.25,0.588,1.082,0.773,0.701,0.152,0.108,
Time (hours),Q_13,Q_14,Q_15,Q_11,Q_17,Q_24,Q_23,Q_22,Q_19,Q_20,Q_21,Q_18,Q_16,Q_12,Q_10,Q_28,Q_55,Q_26,Q_25,Q_27,Q_9,Q_8,Q_36,Q_6,Q_35,Q_34,Q_30,Q_32,Q_31,Q_29,Q_33,Q_7,Q_5,Q_40,Q_41,Q_38,Q_39,Q_37,Q_4,Q_2,Q_46,Q_51,Q_52,Q_53,Q_45,Q_50,Q_49,Q_42,Q_47,Q_43,Q_54,Q_44,Q_48,Q_3,Q_1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.08,0,0,0,0,0,0.0001,0,0,0,0.0002,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.17,0,0,0,0,0,0.1483,0.938,0,0.003,0.4382,0,0,0.0182,0,0,0.0176,0,0.1414,0.0008,0,0.0044,0,0,0.0001,0.0045,0,0.0306,0.0177,0,0.0065,0,0.0031,0,0.0001,0.0008,0.0014,0.0041,0.0014,0,0,0.0131,0,0.0111,0.012,0,0,0.0001,0.0255,0,0.0113,0.0329,0,0,0.0001,0.0006,
0.25,0,0.0025,0.0003,0.0012,0.0024,1.7018,7.4099,0.7284,0.2071,5.2377,0,0,0.2605,0,0.0004,0.5936,0,1.5651,0.0583,0,0.0947,0,0.071,0,0.2458,0,0.7453,0.5104,0,0.1424,0,0.0776,0,0.0039,0.0376,0.0663,0.0587,0.13,0,0.0017,0.2005,0,0.1754,0.3167,0,0,0.008,0.5985,0,0.2782,0.7394,0,0,0.0032,0.0185,
0.33,2.4537,0.0423,0.0057,0,0.0415,5.3661,16.3658,3.905,1.9981,20.1498,0.3645,0,1.0464,0,0.0088,3.3098,0.4096,4.7867,0.6902,0,0.4659,0,3.6412,0,1.958,0,3.9193,3.0874,0,0.7433,0,0.4127,0,0.0374,0.3038,0.5298,0.1853,1.467,0,0.0243,0.864,0.1315,0.7715,1.8993,0.2611,0,0.1084,3.2318,0,1.5238,3.9323,0,0,0.0209,0.1241,
0.42,8.1559,0.3266,0.0438,0.1266,0.3238,9.8652,25.3658,10.447,8,40.8107,12.313,0,2.5254,0,0.0596,8.583,4.3086,8.5383,3.3627,0,1.5677,0,7.7373,1.2993,6.9116,0,9.3026,9.6142,0,2.1609,1.0917,1.1759,0,0.1759,1.2412,2.0726,0.3294,6.6014,0,0.1401,2.0329,0.8799,1.9449,6.3469,3.9345,0,0.5687,10.06,0.1713,4.6393,11.5684,0.8119,0.857,0,0.4728,
