Alpha:,1,Beta:,10,m:,0.6
SubCat,13,14,15,11,17,24,23,22,19,20,21,18,16,12,10,28,55,26,25,27,9,8,36,6,35,34,30,32,31,29,33,7,5,40,41,38,39,37,4,2,46,51,52,53,45,50,49,42,47,43,54,44,48,3,1,
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Area,1.485,0.372,0.731,0.443,0.404,0.334,0.967,0.866,1.198,2.343,0.775,2.459,0.167,1.262,0.672,0.452,0.728,0.288,1.284,0.746,0.246,0.58,0.325,0.371,0.77,1.689,0.534,0.891,1.389,0.204,0.391,0.701,1.132,0.155,0.428,0.43,0.017,2.11,0.359,1.021,0.11,0.407,0.121,1.133,0.266,0.686,0.544,2.243,0.25,0.588,1.082,0.773,0.701,0.152,0.108,
Time (hours),Q_13,Q_14,Q_15,Q_11,Q_17,Q_24,Q_23,Q_22,Q_19,Q_20,Q_21,Q_18,Q_16,Q_12,Q_10,Q_28,Q_55,Q_26,Q_25,Q_27,Q_9,Q_8,Q_36,Q_6,Q_35,Q_34,Q_30,Q_32,Q_31,Q_29,Q_33,Q_7,Q_5,Q_40,Q_41,Q_38,Q_39,Q_37,Q_4,Q_2,Q_46,Q_51,Q_52,Q_53,Q_45,Q_50,Q_49,Q_42,Q_47,Q_43,Q_54,Q_44,Q_48,Q_3,Q_1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.17,0,0,0,0,0,0.0245,0,0.0175,0.0004,0.0727,0,0,0.0029,0,0,0.0026,0,0.0235,0.0001,0,0.0007,0,0,0,0.0006,0,0.0046,0.0026,0,0.001,0,0.0005,0,0,0.0001,0.0002,0.0006,0.0002,0,0,0.002,0,0.0017,0.0018,0,0,0,0.0038,0,0.0017,0.0049,0,0,0,0.0001,
0.25,0,0.0005,0.0001,0.0002,0.0004,0.4619,2.6144,0.2046,0.0398,1.3692,0,0,0.0664,0,0.0001,0.1301,0,0.4283,0.0109,0,0.0218,0,0,0.0014,0.0487,0,0.1708,0.1093,0,0.0325,0,0.018,0,0.0007,0.0074,0.0131,0.0152,0.0248,0,0.0003,0.0474,0,0.0423,0.0689,0,0,0.0015,0.1368,0,0.0628,0.1672,0,0,0.0007,0.0039,
0.33,0,0.0077,0.001,0.0037,0.0075,1.3987,5.752,1.343,0.4101,4.4935,0,0,0.2432,0,0.0012,0.7786,0.0324,1.2648,0.1339,0,0.1029,0,0.1966,0.0005,0.413,0,0.8617,0.6451,0,0.1606,0,0.0922,0,0.0071,0.0597,0.1057,0.0508,0.2988,0,0.0048,0.1882,0.0198,0.1691,0.3887,0.0014,0,0.0216,0.6983,0,0.33,0.84,0,0,0.0045,0.0238,
0.42,1.1443,0.0515,0.0069,0,0.0509,2.2308,7.6439,3.1774,1.4168,8.1937,0.505,0,0.4705,0,0.011,1.7714,0.5587,1.9825,0.5491,0,0.2105,0,1.508,0.0077,1.2414,0,1.8761,1.6464,0,0.3718,0,0.2156,0,0.0253,0.1885,0.3282,0.0807,1.1439,0,0.0248,0.3847,0.1062,0.3507,1.0017,0.2367,0,0.1004,1.6611,0,0.7884,1.9742,0,0,0.0104,0.0673,
