! Written by Qhydro Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
3.0,7.2166,55.0908,0.0,4.3171,15.4641,7.3454,3.9305,0.0,7.7965,28.2864
6.0,12.629,29.0596,10.6315,12.0491,54.4464,11.5981,5.9923,0.0,0.0,25.0002
9.0,10.4382,7.6676,1.0309,27.8998,0.7088,8.763,1.6753,0.0,0.0,54.5109
12.0,17.4615,3.866,4.1238,44.9747,1.0954,8.3119,0.2577,6.83,0.0,34.6653
15.0,15.3352,0.0,14.7553,12.8223,3.9305,20.6188,18.7502,0.2577,0.0,20.2322
18.0,8.6985,0.0,29.4462,45.619,25.1291,30.7993,7.5387,2.6418,0.2577,12.3713
21.0,7.4099,0.0,37.6937,12.8223,57.9258,21.1342,26.0956,4.5748,3.3505,0.0
24.0,16.044,0.8376,34.2787,30.4771,26.2889,20.1677,1.0309,0.0644,19.0724,0.0
27.0,9.2784,0.0,6.83,45.2324,5.799,16.5594,0.2577,7.281,6.4434,0.0
30.0,1.1598,3.415,0.0,53.2222,28.0286,32.7323,0.3222,30.2194,0.0,0.0
33.0,7.9253,0.0,3.415,31.8302,34.5364,26.4178,0.8376,15.8507,0.3222,0.0
36.0,9.2784,1.2887,6.83,1.3531,34.5364,21.5853,1.482,65.3357,27.3199,0.0
39.0,2.5773,0.0,4.4459,0.1933,38.2736,37.1138,32.0235,0.0,9.9228,0.0
42.0,5.0903,0.451,0.7088,11.4692,18.6213,5.0258,2.8995,0.3222,48.583,0.0
45.0,4.7037,0.0,1.3531,36.0184,12.2424,3.8016,16.1728,0.3222,16.3017,0.0
48.0,3.9305,0.0,0.0,83.1194,13.4666,19.5878,40.2066,0.1289,44.5236,0.0
51.0,1.6753,0.0,4.1238,27.2554,5.2191,2.0619,4.897,7.6676,39.1112,0.0
54.0,1.482,2.1263,0.3222,24.4203,1.9974,0.0644,13.9177,13.4022,23.1961,0.0
57.0,3.4794,6.83,0.3222,6.9588,0.7732,0.0,17.3971,14.3043,25.5802,0.0
60.0,13.08,8.5697,5.1547,0.0,0.5155,5.7346,19.9744,2.1907,0.3222,3.866
63.0,12.1135,6.4434,0.0,0.0,1.482,32.0879,36.7272,19.3945,0.7088,8.3764
66.0,5.2191,38.4669,0.3222,0.0,3.0928,44.8458,44.3303,4.3815,4.7681,4.3171
69.0,0.1289,25.6446,0.0,0.0,1.0309,7.9898,16.2373,0.6443,1.5464,4.2526
72.0,4.2526,21.392,0.0,0.0,2.384,4.5748,11.2115,17.5904,5.2191,2.3196
75.0,1.2242,8.9563,0.3222,0.0,1.6753,8.3764,34.7297,20.1033,11.5981,3.8016
