! Written by Qhydro Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.25,2.5371,4.6123,3.4283,1.4962,2.0167,8.2944,1.9776,6.8697,1.9191,1.5808
0.5,7.8325,2.5176,3.4283,1.5743,3.7211,6.3037,2.0492,3.8187,1.5353,1.9776
0.75,2.3745,1.0083,3.4218,2.0557,2.8103,1.6329,2.3745,3.1291,1.5353,1.9776
1.0,2.0947,1.9451,2.6607,1.5743,1.5223,0.7416,2.3745,0.2407,1.5418,1.9776
1.25,2.1728,4.261,3.4218,1.9386,1.7239,0.7806,2.6087,0.2537,1.5418,1.5873
1.5,3.1421,1.5938,4.9441,3.2202,0.9303,1.236,4.0333,2.3484,2.3094,2.381
1.75,7.5463,3.6821,5.3279,3.7016,1.4052,1.9256,4.3846,2.0947,1.9256,1.5873
2.0,2.5176,1.2035,3.8057,2.381,3.643,1.5158,3.4414,6.8697,1.9256,2.381
2.25,5.4515,10.6233,3.4218,3.2722,2.6282,3.4999,6.4013,5.9264,1.5418,1.9841
2.5,3.2137,2.381,3.0445,3.4023,1.776,3.038,3.7926,0.3253,1.5418,1.1905
2.75,2.3745,1.4962,3.0445,2.0492,1.262,2.6867,4.7424,0.0,2.3094,1.1905
3.0,0.9758,3.3373,2.2834,0.0,2.0102,2.6867,5.6922,0.0,1.5418,1.5873
3.25,0.1691,1.3531,1.5223,0.0,4.274,2.4525,1.8996,0.644,1.158,1.5873
3.5,0.1496,0.1756,1.8996,3.0055,3.8707,1.8085,1.1059,0.3383,2.6932,2.7778
3.75,0.1171,0.8912,1.5223,4.4172,2.8233,1.4637,0.7937,1.1384,2.6932,2.7778
4.0,0.3773,3.6756,1.1384,3.025,2.1923,1.2816,0.566,0.2472,3.0771,2.381
4.25,3.3568,3.8512,1.8996,5.9589,3.3112,2.4525,1.5678,0.7221,3.8512,1.9841
4.5,3.3568,2.1598,2.2834,11.0722,2.1923,2.2183,0.5204,1.7955,1.9256,4.3651
4.75,5.6597,0.4749,1.8996,2.7648,2.1077,1.2881,0.9823,12.1196,3.4674,4.3651
5.0,2.446,0.3838,1.5223,0.8522,4.3456,2.2183,0.9628,5.3279,3.0771,4.3651
5.25,1.184,5.9524,0.7611,0.9693,4.3456,2.4525,1.5548,2.4786,4.235,5.1588
5.5,0.7091,4.4107,1.5223,0.3318,4.2025,2.5696,2.1338,3.4023,6.9283,7.5398
5.75,4.3911,1.3791,3.8057,0.2472,4.1895,4.4367,5.9264,2.1858,6.5444,3.5715
6.0,0.9043,1.6849,3.0445,5.7443,1.75,6.0695,3.1681,2.7778,4.235,2.7778
6.25,0,0,0,0,0,0,0,0,0,0
