! Written by Qhydro Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
2.0,7.3405,7.4639,18.9682,5.2741,25.075,6.7854,22.4534,13.5707,19.9551,15.5755
4.0,6.1994,15.483,9.8079,8.2041,12.4295,5.7676,16.6241,8.6668,6.9087,12.6146
6.0,5.2741,13.4782,11.0416,17.3644,2.8684,3.8862,20.6645,6.4152,9.7771,15.8839
8.0,8.235,17.0868,11.4426,17.7962,9.0986,4.5647,9.8079,16.9634,0.8636,6.1685
10.0,20.4486,26.247,21.2814,14.0334,8.1116,13.8483,2.7141,29.0845,9.8696,2.0665
12.0,16.8709,29.578,21.6823,12.5529,11.5351,15.5138,0.0,17.1176,5.7059,0.4318
14.0,2.4674,20.8496,15.1128,7.3405,18.3513,4.1329,3.3002,2.6216,23.502,6.261
16.0,3.6703,19.0915,20.6953,24.489,43.2104,6.7545,6.2302,0.3701,7.248,16.5933
18.0,9.4378,16.9942,22.5459,16.1307,6.7545,11.9052,3.1768,0.3701,8.4817,15.082
20.0,13.6941,18.9373,19.5542,21.343,12.337,17.3952,6.9396,0.401,31.151,5.3358
22.0,16.8709,14.2493,23.2244,21.343,0.7711,21.744,13.6941,1.9122,8.8518,12.6763
24.0,14.3109,6.9087,8.821,8.7901,12.152,16.9634,9.7462,1.2645,0.0925,11.4117
26.0,23.8104,7.6798,17.2718,7.3405,1.5113,8.8518,16.9634,8.3892,0.0617,8.1733
28.0,9.3761,17.1793,17.0251,10.8874,0.0,25.5376,26.3087,11.0108,0.1542,11.0108
30.0,18.6289,7.5564,6.9704,9.2219,2.9917,32.2921,36.4559,14.9895,0.987,30.0406
32.0,17.3335,7.5564,0.401,11.5043,6.9087,41.6991,42.5936,14.4343,0.401,14.0642
34.0,12.2136,4.0712,2.5291,15.6989,7.3405,15.3904,1.2029,34.2661,19.7392,8.8827
36.0,13.6632,9.4378,0.8327,13.6016,6.3227,7.4331,3.2693,4.904,41.4215,17.7653
38.0,14.4343,8.9135,1.2954,4.8114,13.1698,2.7141,13.7249,17.3027,0.4626,15.0512
40.0,10.3323,11.566,1.2954,14.6502,8.0499,4.0712,10.7332,24.8283,9.0369,22.9777
42.0,25.5685,12.5221,15.4213,3.9787,3.0226,4.503,8.9443,41.1748,21.5589,29.1771
44.0,15.5755,3.917,4.6264,13.6016,1.5113,11.6276,7.4947,24.8283,35.0063,6.1377
46.0,14.3109,7.3405,17.7036,19.4616,62.2711,14.496,11.3501,13.2315,34.5745,11.9669
48.0,8.3583,4.318,18.8756,9.006,32.6314,10.5482,14.0334,0.3084,12.6146,13.0772
50.0,0,0,0,0,0,0,0,0,0,0
