! Written by Qhydro Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
3.0,8.1437,51.5769,121.6732,37.5818,7.2389,0.7842,9.0486,9.7121,38.6073,0.6032
6.0,35.8324,36.5562,17.4939,3.7401,26.9648,0.0,27.2664,49.9481,49.3449,0.6032
9.0,17.4336,21.6563,48.0178,1.1462,7.8421,0.7239,20.0878,33.4194,18.3384,70.9408
12.0,4.102,12.7887,4.464,59.7206,12.2457,25.698,46.0874,11.4615,10.3757,9.4708
15.0,2.5336,14.9603,0.0,64.0036,15.6842,5.1275,104.2396,8.204,1.0255,6.515
18.0,1.0255,16.1065,0.0,33.8417,11.2202,3.6798,64.3052,13.8142,34.3846,29.5587
21.0,28.6538,16.1065,0.0,38.366,6.0324,26.4218,33.7814,28.5332,22.5008,32.8162
24.0,43.9761,32.7558,0.0,33.6004,54.4121,23.466,22.9231,25.517,11.2202,5.6101
27.0,66.9595,29.438,0.0,61.5303,31.0065,14.6587,10.0138,11.2806,26.1202,2.7146
30.0,49.4656,49.4052,12.7887,19.183,21.1133,22.7421,4.9466,83.5485,4.102,9.5915
33.0,35.8927,32.7558,49.4052,12.487,8.0231,41.0805,0.7239,56.5838,27.6283,3.5591
36.0,32.3336,37.7627,74.6206,22.0182,11.3409,39.6328,0.7239,43.7951,94.5878,7.1785
39.0,22.3198,32.7558,44.8206,31.851,36.2546,46.9923,0.7842,63.4607,13.0903,18.0972
42.0,28.8951,32.2129,28.2919,25.517,5.2482,60.9271,5.4291,45.4842,14.1158,21.7166
45.0,48.0178,13.3316,47.9575,8.385,46.6907,80.7133,9.8328,31.9716,32.6352,5.9117
48.0,42.5283,11.0996,31.3684,17.8559,28.2919,21.2943,39.6328,7.4198,61.4097,58.7554
51.0,32.5146,14.4174,31.7303,29.3777,54.5328,22.7421,56.4028,8.5057,56.4028,35.8927
54.0,29.981,29.981,25.4567,22.8627,29.3174,0.7239,36.7372,7.8421,3.6194,88.9777
57.0,20.2085,26.0599,0.7842,17.3733,59.1174,7.3595,1.3874,7.5405,0.5429,71.6647
60.0,18.7607,31.6097,0.0,15.5032,27.6886,10.9789,20.8721,19.9069,56.5234,30.7048
63.0,9.4105,9.4105,0.0,16.951,28.3522,28.5935,47.1129,23.466,16.951,4.5243
66.0,2.051,11.6425,15.1413,12.7283,47.2939,8.8073,9.5915,4.6449,2.1113,37.2198
69.0,12.3061,16.6494,7.5405,12.2457,14.2364,30.8255,0.5429,0.7842,4.5243,36.0737
72.0,9.8931,22.1992,41.6838,5.3688,13.0903,79.2655,30.7652,6.3943,3.0765,14.538
75.0,0,0,0,0,0,0,0,0,0,0
