! Written by Qhydro Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
3.0,0.0,3.9725,0.3686,11.2214,7.0441,0.4095,73.635,10.0337,11.7538,28.2172
6.0,2.5391,5.283,0.7372,22.8113,13.1462,41.2405,0.2048,1.802,0.901,1.0238
9.0,1.3105,4.5868,1.0648,32.804,13.6376,5.7335,0.0,0.0,2.0067,0.0
12.0,7.4946,2.621,5.6107,57.2535,7.3717,0.4505,0.0,2.2934,2.8668,0.0
15.0,26.2924,0.3276,12.7367,12.2862,7.2079,0.0,0.0,0.9829,5.7745,0.0
18.0,40.0938,0.0,23.2618,10.2794,7.6993,0.0,0.0,0.0,5.1192,0.0
21.0,26.2924,0.0,10.0746,5.283,2.2934,0.0,0.0,1.9248,6.3069,0.0
24.0,38.8243,4.5868,10.607,5.8564,5.324,0.0,0.0,0.0,1.2286,0.0
27.0,7.4946,16.1358,30.6335,5.4878,2.1296,0.0,35.9575,0.9419,24.8999,0.0
30.0,0.0,2.2934,10.9756,2.662,1.0648,0.0,24.3675,5.9793,50.2913,0.0
33.0,5.0373,0.6553,10.3204,5.4059,6.1431,23.057,1.9658,5.6107,22.6475,8.4774
36.0,3.7678,0.0,7.5765,10.3613,7.4536,0.901,0.0,8.8051,16.6682,12.9824
39.0,12.5319,23.3437,13.0643,15.7672,7.0441,0.0,0.0,12.7776,5.8564,12.6138
42.0,1.2286,0.0,23.3847,2.0477,8.3546,0.0,0.0,20.5179,1.4743,23.2208
45.0,5.0373,0.0,10.689,0.0819,3.4811,0.4505,0.0,16.873,29.0772,24.1628
48.0,5.8154,2.2934,25.3914,2.7849,7.8631,0.0,0.0,13.7605,0.0,12.9005
51.0,2.9487,16.1358,15.5625,8.9279,6.9622,0.0,12.1633,2.2525,0.0,14.0881
54.0,10.0337,19.4121,14.8663,0.2867,13.2691,8.4365,0.0,0.9419,0.0,14.0472
57.0,7.4946,0.0,34.4012,0.0,16.1768,19.9855,0.0,0.0,0.0,18.1835
60.0,15.0301,1.6382,21.8694,0.0,21.1322,0.901,0.0,3.2354,3.9316,9.4603
63.0,16.2996,0.3276,24.4904,0.0,3.3992,0.0,0.0,14.8253,2.5391,2.4163
66.0,7.4946,7.9041,7.5765,0.0,3.6858,12.8595,0.0,2.621,0.0,0.6962
69.0,15.0301,7.9041,9.2146,8.0679,5.1602,50.1275,0.0,0.0,2.2934,0.6962
72.0,11.2623,11.8357,5.2421,0.7372,2.2525,1.761,0.0,3.522,0.0,0.0
75.0,7.4946,7.2488,1.3924,0.0,5.6926,0.0,0.0,22.1151,0.7372,3.3992
78.0,4.9964,10.8528,1.6382,0.0,11.2623,27.9715,44.1892,21.9103,0.0,2.0477
81.0,12.5319,6.9212,4.5459,0.0,10.4432,19.9855,3.2354,41.9777,0.0,5.0373
84.0,16.2996,0.0,0.9829,0.0,13.3919,8.887,17.8149,7.2898,0.0,1.3924
87.0,7.4946,0.3276,1.5562,0.0,25.6371,2.2115,2.9487,3.6449,0.0,0.0
90.0,13.7605,0.0,2.7439,0.0,12.7367,0.901,6.8802,5.5288,0.0,0.0
93.0,20.0264,3.2763,1.6382,0.0,10.7709,0.4505,10.1156,8.7641,0.0,0.3686
96.0,11.2623,5.9383,2.7849,0.0,31.043,0.901,10.7709,0.0,0.0,9.0508
99.0,2.4982,1.6382,1.4743,0.0,14.9891,3.1125,1.2696,0.0,0.0,6.225
102.0,7.4946,3.6039,3.9316,0.0,11.7947,1.761,3.1125,0.0,0.0,1.4334
105.0,10.0337,18.4292,1.9658,0.0,10.9347,19.535,0.9829,5.4878,0.0,0.3686
108.0,3.7268,4.9145,2.7849,1.1467,12.7776,0.4505,0.1229,14.4977,0.0,3.2354
111.0,0.0,8.887,0.6962,0.0,7.8631,0.4505,3.3992,17.3644,0.86,22.4427
114.0,4.9964,6.5936,1.3515,0.0,9.2146,0.0,6.3478,11.508,15.1529,21.2551
117.0,3.7678,22.6884,7.5765,0.2048,3.6449,0.0,19.8217,19.1664,13.6376,14.0472
120.0,2.4982,28.9544,0.0,5.9793,21.2141,2.2115,40.872,24.7771,0.9829,13.6376
123.0,2.4982,11.1804,0.2867,4.5868,0.2867,20.395,62.6185,6.1021,19.494,48.0798
126.0,1.2696,14.7843,0.0,33.9098,0.6143,4.8735,16.2177,10.4023,20.5998,0.7372
129.0,0.0,2.2934,0.2867,7.7403,0.0,12.8595,2.2525,33.3364,8.1908,1.1058
132.0,1.2696,32.8859,0.2048,10.5251,0.0,47.4655,0.0,7.1669,11.7538,11.1394
135.0,0.0,22.0332,0.8191,6.1021,5.2011,23.5075,3.4811,6.5117,2.0477,6.0612
138.0,0.0,29.9373,0.4505,51.2742,10.5661,14.6615,0.1638,1.0648,19.0845,0.0
141.0,0.0,8.5594,9.3375,26.1286,0.1638,3.563,0.5324,2.4982,31.5345,25.6781
144.0,6.2659,26.3333,31.3707,41.5272,0.0,27.0705,4.0954,8.7232,69.8263,29.6096
147.0,0,0,0,0,0,0,0,0,0,0
