! Written by Qhydro Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.25,9.5035,6.1682,9.1609,4.7746,5.9397,5.9397,4.7518,32.6912,2.353,3.8608
0.5,8.1557,11.491,12.1079,5.8712,16.4256,11.9251,2.7871,9.8005,2.9699,4.1578
0.75,6.4194,17.6364,23.8502,7.8587,18.3902,16.8139,6.7393,6.8535,2.8785,4.6832
1.0,8.1557,15.6488,25.2437,11.8566,12.4734,21.1545,10.7143,6.8535,4.7746,5.0944
1.25,7.3333,12.2906,14.4837,9.4807,1.9647,26.0433,4.6375,16.6769,5.7341,3.7694
1.5,6.0996,17.4307,27.1627,9.4807,1.9647,22.7993,8.4527,15.032,6.5337,6.0539
1.75,4.1806,25.7692,10.9199,7.7216,4.5918,24.4213,3.1755,2.2845,7.4475,6.8078
2.0,5.3914,19.4183,1.9647,9.7777,7.219,21.1545,13.4786,1.3022,8.3156,7.4018
2.25,7.7445,3.2668,1.5078,13.4557,11.8109,9.7777,18.2532,1.6448,8.9552,5.7341
2.5,4.3862,4.6604,0.1599,5.0487,13.7755,5.4371,14.2781,13.0673,9.6863,7.7445
2.75,9.5721,4.5233,0.1599,8.3156,14.4381,3.2668,12.7018,12.4277,9.6863,9.4121
3.0,9.869,0.6625,0.9138,9.9833,15.1006,2.1703,6.3509,1.6448,12.6333,9.9604
3.25,8.3613,0.2741,2.513,10.8971,27.5739,4.3406,9.5264,15.032,15.4661,8.2927
3.5,9.7777,2.4444,3.1983,15.7859,15.7631,2.7186,6.8763,0.6625,13.0445,9.4121
3.75,7.6302,1.4621,12.7247,12.1764,9.8462,3.2668,9.0009,1.6448,12.3363,11.057
4.0,8.544,2.3987,12.8846,10.3716,5.2544,4.3406,4.7518,8.8182,9.2522,12.1764
4.25,8.7496,7.8358,1.2793,11.9936,13.7755,5.9625,7.9272,3.9293,5.8712,19.9209
4.5,8.6583,7.3333,2.0104,9.0923,1.3022,5.9625,19.0299,3.5867,8.7496,19.9209
4.75,8.0414,11.8794,6.7621,13.8669,1.9647,6.5108,22.2054,6.2138,4.0664,25.4493
5.0,5.597,11.491,8.841,11.1941,1.9647,5.4371,1.5763,18.9614,7.3333,21.0174
5.25,16.6997,14.6665,2.9699,12.8617,5.9169,5.4371,4.7518,20.5834,5.2772,13.273
5.5,21.7028,7.1276,6.6707,7.7445,9.8462,4.8888,12.085,10.1203,17.7049,5.3
5.75,19.6467,13.0673,22.5709,2.7642,6.5565,4.3406,11.6966,4.569,34.496,3.8151
6.0,18.2303,9.5035,18.3902,6.0768,4.5918,4.3406,12.7018,14.0497,12.8846,4.1349
6.25,0,0,0,0,0,0,0,0,0,0
