! Written by Qhydro Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.25,12.9776,8.423,12.5097,6.52,8.111,8.111,6.4888,44.6417,3.2132,5.2722
0.5,11.137,15.6917,16.534,8.0174,22.4301,16.2844,3.8059,13.3832,4.0555,5.6777
0.75,8.7661,24.0834,32.5688,10.7315,25.1129,22.9604,9.2029,9.3589,3.9307,6.3952
1.0,11.137,21.3694,34.4718,16.1908,17.0331,28.8877,14.631,9.3589,6.52,6.9567
1.25,10.014,16.7835,19.7784,12.9464,2.6829,35.5636,6.3328,22.7732,7.8302,5.1474
1.5,8.3294,23.8027,37.0923,12.9464,2.6829,31.1338,11.5426,20.5271,8.9221,8.267
1.75,5.7089,35.1893,14.9118,10.5443,6.2704,33.3487,4.3363,3.1196,10.17,9.2965
2.0,7.3623,26.5168,2.6829,13.352,9.858,28.8877,18.4057,1.7782,11.3554,10.1076
2.25,10.5755,4.4611,2.0589,18.3745,16.1284,13.352,24.9257,2.2461,12.2289,7.8302
2.5,5.9897,6.364,0.2184,6.8944,18.8113,7.4247,19.4976,17.8442,13.2272,10.5755
2.75,13.0712,6.1768,0.2184,11.3554,19.716,4.4611,17.3451,16.9707,13.2272,12.8528
3.0,13.4767,0.9047,1.2478,13.6327,20.6207,2.9636,8.6725,2.2461,17.2515,13.6015
3.25,11.4178,0.3744,3.4316,14.8806,37.6538,5.9273,13.0088,20.5271,21.1198,11.3242
3.5,13.352,3.338,4.3675,21.5566,21.5254,3.7123,9.39,0.9047,17.813,12.8528
3.75,10.4195,1.9966,17.3763,16.6276,13.4456,4.4611,12.2913,2.2461,16.8459,15.099
4.0,11.6674,3.2756,17.5946,14.1631,7.1751,5.9273,6.4888,12.0417,12.6345,16.6276
4.25,11.9481,10.7003,1.747,16.378,18.8113,8.1422,10.8251,5.3657,8.0174,27.2031
4.5,11.8234,10.014,2.7453,12.4161,1.7782,8.1422,25.9864,4.8978,11.9481,27.2031
4.75,10.9811,16.222,9.2341,18.9361,2.6829,8.8909,30.3227,8.4854,5.5529,34.7525
5.0,7.6431,15.6917,12.0729,15.2861,2.6829,7.4247,2.1525,25.8928,10.014,28.7005
5.25,22.8044,20.0279,4.0555,17.5634,8.0798,7.4247,6.4888,28.1078,7.2063,18.125
5.5,29.6364,9.7332,9.1093,10.5755,13.4456,6.676,16.5028,13.8199,24.177,7.2375
5.75,26.8287,17.8442,30.8218,3.7747,8.9533,5.9273,15.9724,6.2392,47.1062,5.2098
6.0,24.8946,12.9776,25.1129,8.2982,6.2704,5.9273,17.3451,19.1856,17.5946,5.6465
6.25,0,0,0,0,0,0,0,0,0,0
