! Written by Qhydro Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
3.0,9.9068,62.7432,148.0152,45.7181,8.8061,0.954,11.0076,11.8148,46.9656,0.7338
6.0,43.59,44.4706,21.2813,4.5498,32.8026,0.0,33.1695,60.7618,60.028,0.7338
9.0,21.2079,26.3448,58.4135,1.3943,9.5399,0.8806,24.4368,40.6546,22.3087,86.2994
12.0,4.9901,15.5574,5.4304,72.65,14.8969,31.2615,56.0652,13.9429,12.622,11.5213
15.0,3.0821,18.1992,0.0,77.8602,19.0798,6.2376,126.8072,9.9802,1.2475,7.9255
18.0,1.2475,19.5935,0.0,41.1683,13.6494,4.4764,78.2271,16.8049,41.8288,35.9581
21.0,34.8573,19.5935,0.0,46.6721,7.3384,32.1421,41.0949,34.7105,27.3722,39.9208
24.0,53.4968,39.8474,0.0,40.8748,66.1922,28.5463,27.8858,31.0414,13.6494,6.8247
27.0,81.456,35.8113,0.0,74.8515,37.7193,17.8323,12.1817,13.7228,31.7752,3.3023
30.0,60.1747,60.1013,15.5574,23.3361,25.6843,27.6657,6.0175,101.6366,4.9901,11.668
33.0,43.6634,39.8474,60.1013,15.1904,9.76,49.9744,0.8806,68.834,33.6098,4.3296
36.0,39.3337,45.9383,90.7758,26.7851,13.7962,48.2132,0.8806,53.2766,115.0658,8.7327
39.0,27.152,39.8474,54.5242,38.7467,44.1037,57.166,0.954,77.1998,15.9243,22.0151
42.0,35.1508,39.187,34.417,31.0414,6.3844,74.1177,6.6045,55.3314,17.1718,26.4182
45.0,58.4135,16.2178,58.3401,10.2004,56.7991,98.1875,11.9616,38.8934,39.7006,7.1916
48.0,51.7356,13.5026,38.1596,21.7216,34.417,25.9045,48.2132,9.0262,74.7047,71.4758
51.0,39.5539,17.5387,38.5999,35.7379,66.339,27.6657,68.6139,10.3471,68.6139,43.6634
54.0,36.4718,36.4718,30.968,27.8125,35.6645,0.8806,44.6907,9.5399,4.403,108.2411
57.0,24.5836,31.7018,0.954,21.1345,71.9161,8.9528,1.6878,9.173,0.6605,87.18
60.0,22.8224,38.4531,0.0,18.8596,33.6832,13.3559,25.3908,24.2167,68.7606,37.3524
63.0,11.4479,11.4479,0.0,20.6209,34.4904,34.7839,57.3128,28.5463,20.6209,5.5038
66.0,2.495,14.1631,18.4193,15.484,57.5329,10.714,11.668,5.6506,2.5684,45.2778
69.0,14.9703,20.2539,9.173,14.8969,17.3186,37.4991,0.6605,0.954,5.5038,43.8835
72.0,12.0349,27.0052,50.7082,6.5312,15.9243,96.4263,37.4257,7.7787,3.7426,17.6855
75.0,0,0,0,0,0,0,0,0,0,0
