"EPR_E1a_001_180m_E0_MHWS_001","Location","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"C:\Temp\JBP\2023s1024-ROLFS\EPR\runs\EPR_~s1~_~e1~_~e2~_~e3~_~e4~_001.tcf","Time","EPR_Outlet","ManningEsplanadeDogArea","ThornlandsRdBridge","RedlandsHorseClub","RedlandsNetballClub","ColthouseDrBridge","BushCherryPl","CrystalWater_1","CrystalWater_2","ImmediatelyDS_CrystalWtr","EPR_at_RedlandCityMarina","LinkRd","VicPntSharksSportsClub","VicPntShoppingCentre_US","VicPntShoppingCentre_DS","EPR_atKFCVicPnt","EPR_atCreeksideCct","EPR_atKodakCl","BunkerRoad","EPR_atSpringacreRd","EldershawAve","SandyCkatMtCottonRd","EPR_atCottonCnr","S_36","S_8","S_20","S_22","EPR_Outlet","EPR_at_RedlandCityMarina","EPR_atKFCVicPoint","EPR_atSpringacreRd","EPR_atCreeksideCct","VicPntShoppingCentre","LinkRoad","ManningEsplanadeDogArea","BushCherryPl","RedlandsHorseClub","RedlandsNetballClub","DS_CrystalWtrs","US_CrystalWtrs","ThornlandsRdBridge","ColthouseDrBridge","SandyCkatMtCottonRd","EPR_atCottonCorner","EldershawAve","VicPntSharksSportClub","EPR_atKodakCl","BunkerRd","CrystalWtrs_Interim","BunningVicPnt","S_36","S_8","S_20","S_22","S_18","S_19","S_35","S_15","S_34","S_29","S_25"
,        0.300000,          0.9000,          0.9000,          6.4152,          1.7878,          4.3883,          6.1585,          9.4306,         25.7553,         21.7252,         15.7251,          0.9046,          1.9655,          4.3735,          8.8745,          2.9699,          2.7834,          4.7464,          3.6940,         13.6619,         10.0833,         16.3102,         38.1219,         27.3593,         38.8041,          0.9020,         20.5390,         13.7383,          0.0000,          2.1525,          0.1714,          0.0491,          0.0372,          0.0217,          0.0085,          0.0000,          0.6330,          0.0248,          0.0031,          0.0734,          0.4124,          0.4114,          0.4035,          0.3409,          0.0564,          0.1426,          0.1852,          0.0873,          0.1112,          0.0521,          0.0079,          0.1621,          2.8583,          0.0211,          0.0235,          0.0378,          0.2533,          0.0244,          0.1542,          0.1466,          0.1412,          0.0376
,        0.333333,          0.9000,          0.9000,          6.4453,          1.7893,          4.5646,          6.1774,          9.5358,         25.7611,         21.7314,         15.7837,          0.9049,          1.9773,          4.4016,          8.8806,          2.9913,          2.7918,          4.7464,          3.6877,         13.6874,         10.0971,         16.3206,         38.2838,         27.3802,         38.8043,          0.9024,         20.5390,         13.7384,          0.0000,          2.4216,          0.1814,          0.0425,          0.0442,          0.0428,          0.0107,          0.0000,          2.0767,          0.0294,          0.3111,          0.0833,          0.4961,          0.5948,          0.4924,          0.3742,          0.5114,          0.1962,          0.2027,          0.0891,          0.1269,          0.0533,          0.0126,          0.1885,          3.2123,          0.0484,          0.2397,          0.0553,          0.3719,          0.0299,          0.1861,          0.1665,          0.1708,          0.1480
,        0.366667,          0.9000,          0.9000,          6.4615,          1.7931,          4.6262,          6.2008,          9.5678,         25.7676,         21.7378,         15.8197,          0.9051,          1.9918,          4.4259,          8.8882,          3.0185,          2.7989,          4.7464,          3.6808,         13.7241,         10.1254,         16.3377,         38.3483,         27.4024,         38.8045,          0.9025,         20.5391,         13.7384,          0.0000,          2.6822,          0.1973,          0.0359,          0.0479,          0.0565,          0.0143,          0.0000,          2.6380,          0.0324,          0.6892,          0.0662,          0.5972,          0.7089,          0.6208,          0.4151,          0.7058,          0.3150,          0.2213,          0.0667,          0.1374,          0.0539,          0.0383,          0.2228,          3.5717,          0.0768,          0.3015,          0.0765,          0.4856,          0.4222,          0.2168,          0.2930,          0.2078,          0.1678
,        0.400000,          0.9000,          0.9000,          6.4713,          1.8002,          4.6708,          6.2263,          9.5884,         25.7778,         21.7444,         15.8331,          0.9053,          2.0064,          4.5084,          8.8971,          3.2098,          2.8048,          4.7464,          3.6715,         13.7742,         10.1404,         16.3625,         38.4747,         27.7379,         38.8047,          0.9024,         20.5391,         13.7384,          0.0000,          2.9311,          0.1980,          0.0259,          0.1283,          0.0868,         -0.0006,          0.0000,          3.0616,          0.0382,          0.9754,          0.0813,          0.6671,          0.7700,          0.7167,          0.4570,          0.7628,          0.5219,          0.6018,          0.0390,          0.1542,          0.0542,          0.2121,          0.2612,          3.9494,          0.1022,          0.3202,          0.0684,          0.6012,          0.8278,          0.2426,          0.4464,          0.2508,          0.1824
,        0.433333,          0.9000,          0.9000,          6.4801,          1.8154,          4.7077,          6.2443,          9.6046,         25.7934,         21.7511,         15.8509,          0.9050,          2.0320,          4.5681,          8.9085,          3.4008,          2.8104,          4.7467,          3.7337,         13.8275,         10.1576,         16.3815,         38.5913,         27.9640,         38.8052,          0.9021,         20.5391,         13.7384,          0.0000,          3.1760,          0.1881,          0.0283,          0.2066,          0.1069,          0.0343,          0.0000,          3.4401,          0.0494,          1.2472,          0.0770,          0.7163,          0.8164,          0.7923,          0.4881,          0.8266,          0.7166,          0.8740,          0.2793,          0.1555,          0.0544,          0.9085,          0.3350,          4.2861,          0.1312,          0.3442,          0.0751,          0.7050,          1.0664,          0.2672,          0.6544,          0.2989,          0.2114
,        0.466667,          0.9000,          0.9000,          6.4911,          1.8374,          4.7406,          6.2558,          9.6179,         25.8120,         21.7577,         15.8723,          0.9044,          2.4627,          4.6079,          8.9223,          3.5852,          2.8162,          4.7469,          3.8430,         13.8745,         10.1675,         16.3977,         38.6570,         28.0533,         38.8070,          0.9019,         20.5391,         13.7385,          0.0000,          3.3734,          0.1985,          0.0500,          0.2475,          0.1261,          0.2412,          0.0000,          3.7904,          0.0846,          1.4100,          0.0793,          0.7629,          0.8685,          0.8530,          0.5055,          0.9093,          0.8949,          1.0538,          0.5184,          0.1598,          0.0545,          1.3278,          0.5502,          4.5511,          0.1762,          0.3848,          0.0800,          0.7761,          1.3231,          0.3802,          1.3049,          0.3143,          0.2985
,        0.500000,          0.9000,          0.9000,          6.5021,          1.8689,          4.7647,          6.2669,          9.6309,         25.8311,         21.7644,         15.8907,          0.9037,          2.5297,          4.6375,          8.9385,          3.6984,          2.8221,          4.7474,          3.8983,         13.9117,         10.1687,         16.4130,         38.6960,         28.0915,         38.8129,          0.9017,         20.5392,         13.7385,          0.0000,          3.5088,          0.1902,          0.0901,          0.2588,          0.1867,          0.5649,          0.0000,          4.1420,          0.1609,          1.6111,          0.0846,          0.8084,          0.9141,          0.9238,          0.5390,          1.3151,          1.0893,          1.3576,          0.6564,          0.1676,          0.0546,          1.9682,          0.8423,          4.7254,          0.2138,          0.4006,          0.0828,          0.8644,          1.8663,          0.5139,          2.4690,          0.3407,          0.3919
,        0.533333,          0.9000,          0.9000,          6.5114,          1.9035,          4.7839,          6.2775,          9.6422,         25.8511,         21.7708,         15.9025,          0.9031,          2.6043,          4.6970,          8.9568,          3.7651,          2.8270,          4.7485,          3.8965,         13.9301,         10.1843,         16.4293,         38.7148,         28.1205,         38.8581,          0.9012,         20.5392,         13.7383,          0.0000,          3.6098,          0.1981,          0.1186,          0.2624,          0.2345,          1.1319,          0.0000,          4.4554,          0.2304,          1.7674,          0.0842,          0.8441,          0.9488,          0.9760,          0.5716,          1.6725,          1.3175,          2.0043,          0.4666,          0.1647,          0.0510,          2.8407,          1.6522,          4.8243,          0.2390,          0.4625,          0.0831,          0.9567,          2.4279,          0.6560,          3.1502,          0.3918,          0.4843
,        0.566667,          0.9000,          0.9000,          6.5195,          1.9354,          4.8020,          6.2872,          9.6528,         25.8727,         21.7771,         15.9139,          0.9026,          2.6899,          4.7593,          8.9809,          3.8030,          2.8315,          4.7975,          3.9041,         13.9158,         10.1997,         16.4441,         38.7237,         28.1448,         38.9352,          0.9009,         20.5397,         13.7383,          0.0000,          3.6893,          0.1870,          0.1614,          0.2462,          0.2618,          1.3527,          0.0000,          4.7685,          0.2985,          1.9769,          0.0827,          0.8588,          0.9775,          1.0635,          0.6000,          1.8369,          1.5397,          2.6258,          1.0931,          0.1640,          0.0497,          3.5413,          2.5975,          4.8622,          0.2639,          0.2771,          0.0854,          1.0341,          3.0842,          0.8351,          3.5338,          0.6552,          0.6270
,        0.600000,          0.9000,          0.9000,          6.5265,          1.9594,          4.8217,          6.4577,          9.6596,         25.8947,         21.7833,         15.9244,          0.9024,          2.7994,          4.7982,          9.0089,          3.8212,          2.8350,          4.8503,          3.9943,         13.9146,         10.2140,         16.4587,         38.7283,         28.2273,         38.9895,          0.9008,         20.5418,         13.7383,          0.0000,          3.7618,          0.2116,          0.1903,          0.3561,          0.2855,          2.0532,          0.0000,          4.9867,          0.3775,          2.2166,          0.0804,          0.8727,          1.0016,          3.3657,          0.6272,          1.8929,          1.7600,          2.9561,          1.7202,          0.1647,          0.0493,          4.0472,          3.7787,          4.8511,          0.3327,          0.4784,          0.0852,          1.0793,          4.2082,          1.0197,          4.0487,          1.3164,          0.9958
,        0.633333,          0.9000,          0.9000,          6.5328,          1.9829,          4.8432,          6.5957,          9.6710,         25.9156,         21.7894,         15.9464,          0.9027,          2.8821,          4.8189,          9.0389,          3.8264,          2.8378,          4.8641,          4.2176,         13.9144,         10.2284,         16.4715,         38.7320,         28.3042,         39.0301,          0.9009,         20.5964,         13.7383,          0.0000,          3.8360,          0.2130,          0.2168,          0.3749,          0.3087,          2.8533,          0.0000,          5.3436,          0.4653,          2.4845,          0.0790,          0.8819,          1.0274,          5.0564,          0.6605,          3.1503,          1.9865,          3.2568,          2.4253,          0.1663,          0.0490,          4.1662,          4.8903,          4.8762,          0.9049,          0.8592,          0.0871,          1.1331,          4.7823,          1.1778,          4.7644,          1.5357,          1.1957
,        0.666667,          0.9000,          0.9000,          6.5415,          2.0052,          4.8600,          6.6439,          9.6791,         25.9374,         21.7954,         15.9578,          0.9032,          2.9517,          4.8346,          9.0709,          3.8342,          2.8397,          4.9475,          4.3571,         13.9144,         10.2427,         16.4819,         38.7356,         28.4230,         39.0607,          0.9012,         20.6837,         13.7383,          0.0000,          3.9196,          0.2465,          0.1987,          1.1231,          0.3294,          3.4884,          0.0000,          5.6193,          0.5645,          2.7040,          0.0810,          0.8883,          1.0777,          5.8233,          0.6866,          4.1846,          2.1837,          3.5309,          3.0653,          0.1690,          0.0490,          4.3860,          6.1517,          4.9347,          1.9816,          1.0290,          0.0849,          1.2352,          5.0759,          1.3351,          5.5806,          1.7034,          1.6845
,        0.700000,          0.9000,          0.9000,          6.5513,          2.0296,          4.8748,          6.6783,          9.6858,         25.9590,         21.8014,         15.9717,          0.9037,          2.9921,          4.8512,          9.1045,          3.8435,          2.8410,          5.0233,          4.4450,         13.9143,         10.2556,         16.4913,         38.7399,         28.5049,         39.0900,          0.9017,         20.7238,         13.7383,          0.0000,          4.0018,          0.2855,          0.2087,          1.5594,          0.3500,          4.0830,          0.0000,          5.8491,          0.7218,          2.8916,          0.0832,          0.8964,          1.1304,          6.4319,          0.7691,          5.0870,          2.3713,          3.8300,          3.6667,          0.1731,          0.0490,          4.6034,          7.5558,          5.0288,          2.8022,          1.1398,          0.0832,          1.3449,          5.3381,          1.5422,          6.2603,          2.1397,          2.6059
,        0.733333,          0.9000,          0.9000,          6.5620,          2.0581,          4.8866,          6.7053,          9.6916,         25.9801,         21.8074,         15.9816,          0.9043,          3.0225,          4.8741,          9.1398,          3.8499,          2.8418,          5.0645,          4.5202,         13.9144,         10.2967,         16.5029,         38.7504,         28.5706,         39.1212,          0.9021,         20.7437,         13.7383,          0.0000,          4.0887,          0.3445,          0.2293,          1.7916,          0.3673,          4.4940,          0.0000,          6.0572,          0.9462,          3.0451,          0.0851,          0.9087,          1.1863,          6.8843,          1.0125,          5.8826,          2.6250,          4.1196,          4.4753,          0.1846,          0.0557,          4.7649,          9.1496,          5.1658,          3.3274,          1.2182,          0.0784,          1.4657,          5.7497,          1.7937,          6.6721,          2.7828,          3.4183
,        0.766667,          0.9000,          0.9000,          6.5732,          2.0872,          4.8955,          6.7254,          9.6970,         26.0010,         21.8134,         15.9914,          0.9063,          3.0452,          4.8856,          9.1763,          3.8542,          2.8421,          5.0969,          4.5934,         13.9300,         10.3763,         16.5154,         38.7903,         28.6298,         39.1527,          0.9021,         20.7568,         13.7382,          0.0000,          4.5099,          0.4172,          0.2775,          2.0134,          0.3788,          4.9374,          0.0000,          6.2247,          1.2213,          3.1610,          0.0827,          0.9177,          1.2412,          7.2575,          2.0654,          6.7202,          2.8756,          4.3843,          5.1393,          0.3215,          0.1060,          4.8822,         11.0889,          5.3649,          3.6600,          1.3591,          0.0791,          1.5872,          6.1907,          2.0560,          6.8711,          3.3013,          3.8593
,        0.800000,          0.9000,          0.9000,          6.5837,          2.1128,          4.9019,          6.7385,          9.7004,         26.0213,         21.8199,         16.0000,          0.9101,          3.0689,          4.8931,          9.2126,          3.8574,          2.8420,          5.1217,          4.6628,         14.0114,         10.4276,         16.5269,         38.8670,         28.6777,         39.1889,          0.9026,         20.7654,         13.7381,          0.0000,          5.3163,          0.4673,          0.2838,          2.3690,          0.3856,          5.2943,          0.0000,          6.3464,          1.5168,          3.2488,          0.0795,          0.9107,          1.2873,          7.4569,          2.9955,          7.3336,          3.1227,          4.4719,          5.6501,          0.8819,          0.1669,          4.9651,         13.3601,          5.6959,          3.8550,          1.5581,          0.0803,          1.7368,          6.4541,          2.2202,          6.9481,          3.5935,          4.2705
,        0.833333,          0.9000,          0.9000,          6.5945,          2.1340,          4.9081,          6.7546,          9.7019,         26.0411,         21.8272,         16.0011,          0.9136,          3.0908,          4.9021,          9.2496,          3.8597,          2.8418,          5.1429,          4.7171,         14.1025,         10.4669,         16.5388,         38.9381,         28.7085,         39.2274,          0.9047,         20.7721,         13.7381,          0.0000,          6.2577,          0.4888,          0.5266,          2.7911,          0.3914,          5.5885,          0.0000,          6.3998,          1.7787,          3.3527,          0.0782,          0.8949,          1.3384,          7.7673,          3.6588,          7.9779,          3.3387,          4.5607,          6.1765,          1.4533,          0.2419,          5.0247,         15.9817,          6.4746,          4.0435,          1.7776,          0.0777,          1.9131,          6.5605,          2.4010,          6.9609,          3.8225,          4.6163
,        0.866667,          0.9000,          0.9000,          6.6089,          2.1526,          4.9116,          6.7663,          9.7017,         26.0602,         21.8356,         16.0035,          0.9173,          3.1067,          4.9086,          9.2868,          3.8607,          2.8417,          5.1649,          4.7563,         14.1732,         10.4899,         16.5530,         38.9846,         28.7366,         39.2728,          0.9070,         20.7804,         13.7381,          0.0000,          7.2867,          0.4993,          0.4726,          3.2950,          0.3996,          5.9014,          0.0000,          6.3896,          1.9980,          3.3949,          0.0776,          0.8792,          1.4312,          7.9368,          4.1935,          8.5800,          3.5291,          4.6595,          6.5965,          2.0243,          0.3320,          5.0493,         18.8457,          7.5763,          4.3563,          1.9723,          0.0757,          2.0832,          6.5820,          2.6833,          6.9355,          3.9054,          4.9468
