"EPR_E1a_001_180m_E0_MHWS_001","Location","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"C:\Temp\JBP\2023s1024-ROLFS\EPR\runs\EPR_~s1~_~e1~_~e2~_~e3~_~e4~_001.tcf","Time","EPR_Outlet","ManningEsplanadeDogArea","ThornlandsRdBridge","RedlandsHorseClub","RedlandsNetballClub","ColthouseDrBridge","BushCherryPl","CrystalWater_1","CrystalWater_2","ImmediatelyDS_CrystalWtr","EPR_at_RedlandCityMarina","LinkRd","VicPntSharksSportsClub","VicPntShoppingCentre_US","VicPntShoppingCentre_DS","EPR_atKFCVicPnt","EPR_atCreeksideCct","EPR_atKodakCl","BunkerRoad","EPR_atSpringacreRd","EldershawAve","SandyCkatMtCottonRd","EPR_atCottonCnr","S_36","S_8","S_20","S_22","EPR_Outlet","EPR_at_RedlandCityMarina","EPR_atKFCVicPoint","EPR_atSpringacreRd","EPR_atCreeksideCct","VicPntShoppingCentre","LinkRoad","ManningEsplanadeDogArea","BushCherryPl","RedlandsHorseClub","RedlandsNetballClub","DS_CrystalWtrs","US_CrystalWtrs","ThornlandsRdBridge","ColthouseDrBridge","SandyCkatMtCottonRd","EPR_atCottonCorner","EldershawAve","VicPntSharksSportClub","EPR_atKodakCl","BunkerRd","CrystalWtrs_Interim","BunningVicPnt","S_36","S_8","S_20","S_22","S_18","S_19","S_35","S_15","S_34","S_29","S_25"
,        0.900000,          0.9000,          0.9000,          6.6319,          2.1706,          4.9165,          6.7770,          9.7010,         26.0786,         21.8453,         16.0032,          0.9200,          3.1209,          4.9123,          9.3238,          3.8607,          2.8416,          5.2271,          4.7942,         14.2188,         10.5016,         16.5689,         39.0209,         28.7631,         39.3214,          0.9086,         20.7912,         13.7381,          0.0000,          8.1005,          0.4975,          0.5190,          3.7807,          0.4060,          6.1287,          0.0000,          6.3646,          2.2437,          3.4796,          0.0765,          0.8696,          1.5996,          8.1157,          4.6300,          9.1924,          3.6896,          4.7217,          7.2338,          2.5066,          0.4324,          5.0475,         21.7925,          8.8696,          4.8054,          2.1044,          0.0741,          2.2193,          6.5557,          3.0397,          6.8880,          3.9562,          5.1329
,        0.933333,          0.9000,          0.9000,          6.6634,          2.1899,          4.9215,          6.7858,          9.7004,         26.0960,         21.8563,         16.0015,          0.9209,          3.1342,          4.9113,          9.3610,          3.8603,          2.8415,          5.2669,          4.8294,         14.2526,         10.5079,         16.5873,         39.0504,         28.7873,         39.3693,          0.9094,         20.8036,         13.7381,          0.0000,          8.8791,          0.5084,          0.5827,          4.1847,          0.4187,          6.3181,          0.0000,          6.3392,          2.5756,          3.5791,          0.0766,          0.8607,          1.8511,          8.2905,          5.2722,          9.8407,          3.8211,          4.6902,          7.7110,          2.9493,          0.5387,          5.0368,         24.5507,         10.0803,          5.3458,          2.1928,          0.0717,          2.3056,          6.5037,          3.3442,          6.8263,          3.9794,          5.2968
,        0.966667,          0.9000,          0.9000,          6.6992,          2.2111,          4.9275,          6.7924,          9.6996,         26.1128,         21.8688,         16.0007,          0.9211,          3.1450,          4.9131,          9.3974,          3.8601,          2.8415,          5.2814,          4.8824,         14.2588,         10.5116,         16.6048,         39.0847,         28.8079,         39.4132,          0.9091,         20.8169,         13.7381,          0.0000,          9.6051,          0.5024,          0.5500,          4.5949,          0.4353,          6.5032,          0.0000,          6.3155,          2.9866,          3.6845,          0.0766,          0.8532,          2.1905,          8.4176,          5.9129,         10.5173,          3.9360,          4.7260,          8.3814,          3.1827,          0.6498,          5.0292,         26.7811,         11.0472,          5.9161,          2.3258,          0.0707,          2.3859,          6.4369,          3.4896,          6.7475,          3.9840,          5.3859
,        1.000000,          0.9000,          0.9000,          6.7377,          2.2326,          4.9324,          6.7974,          9.6987,         26.1289,         21.8829,         16.0000,          0.9206,          3.1539,          4.9171,          9.4307,          3.8601,          2.8414,          5.3003,          4.9574,         14.2820,         10.5134,         16.6189,         39.1198,         28.8322,         39.4528,          0.9084,         20.8309,         13.7381,          0.0000,         10.2257,          0.5007,          0.4837,          4.9139,          0.4557,          6.6501,          0.0000,          6.2822,          3.4376,          3.7711,          0.0766,          0.8470,          2.5900,          8.5114,          6.3556,         11.2790,          4.0243,          4.8257,          9.2718,          3.2706,          0.7625,          5.0321,         28.4066,         11.8166,          6.5358,          2.5925,          0.0723,          2.4611,          6.3510,          3.5943,          6.6555,          3.9931,          5.4974
,        1.033333,          0.9000,          0.9000,          6.7765,          2.2530,          4.9354,          6.8031,          9.6994,         26.1451,         21.8994,         16.0018,          0.9206,          3.1622,          4.9235,          9.4562,          3.8614,          2.8425,          5.3202,          5.0041,         14.3120,         10.5158,         16.6306,         39.1573,         28.8606,         39.4848,          0.9080,         20.8457,         13.7384,          0.0000,         10.7992,          0.5200,          0.4504,          5.2503,          0.4939,          6.8251,          0.0000,          6.3006,          3.8977,          3.9000,          0.0864,          0.8812,          3.1064,          8.6214,          7.3063,         12.3088,          4.1129,          4.9412,         10.1368,          3.6138,          0.8862,          5.0684,         29.5003,         12.5075,          7.2214,          3.1829,          0.0668,          2.5509,          6.2962,          3.6924,          6.5933,          4.0872,          5.7363
,        1.066667,          0.9000,          0.9000,          6.8086,          2.2709,          4.9441,          6.8095,          9.7019,         26.1612,         21.9178,         16.0075,          0.9205,          3.1738,          4.9301,          9.4758,          3.8658,          2.8435,          5.3500,          5.0580,         14.2732,         10.5182,         16.6399,         39.2122,         28.8909,         39.5103,          0.9076,         20.8625,         13.7388,          0.0000,         11.2708,          0.5508,          0.6494,          5.7367,          0.5385,          7.0243,          0.0000,          6.4039,          4.3601,          4.0738,          0.0929,          0.9385,          3.6269,          8.7564,          8.6406,         13.5099,          4.2459,          5.0557,         11.0953,          4.1013,          1.0177,          5.2033,         30.2053,         13.0648,          8.0925,          4.6956,          0.0792,          2.6606,          6.2541,          3.7691,          6.5560,          4.2469,          5.9284
,        1.100000,          0.9000,          0.9000,          6.8351,          2.2864,          4.9590,          6.8160,          9.7085,         26.1773,         21.9381,         16.0171,          0.9205,          3.1852,          4.9408,          9.4921,          3.8754,          2.8443,          5.3807,          5.1031,         14.3252,         10.5246,         16.6420,         39.2682,         28.9180,         39.5304,          0.9074,         20.8875,         13.7402,          0.0000,         11.7222,          0.5819,          0.8832,          6.4246,          0.6333,          7.2026,          0.0000,          6.6522,          4.8396,          4.3895,          0.0974,          1.0130,          4.0474,          8.8967,          9.4314,         15.1290,          4.3979,          5.2421,         11.7462,          3.9720,          1.1577,          5.4862,         30.7093,         13.4719,          9.5978,          6.3864,          0.0895,          2.7950,          6.2585,          3.8548,          6.5400,          4.4387,          6.2942
,        1.133333,          0.9000,          0.9000,          6.8552,          2.3010,          4.9837,          6.8228,          9.7167,         26.1941,         21.9603,         16.0288,          0.9209,          3.1911,          4.9528,          9.5095,          3.8887,          2.8447,          5.4145,          5.1532,         14.3105,         10.5620,         16.6467,         39.3087,         28.9571,         39.5447,          0.9078,         20.9271,         13.7429,          0.0000,         12.1046,          0.6087,          1.5598,          7.0038,          0.7947,          7.4856,          0.0000,          6.9736,          5.6559,          4.9398,          0.1020,          1.0857,          4.3951,          9.0107,          9.9676,         16.7276,          4.5396,          5.4269,         12.4453,          4.2626,          1.3022,          5.8813,         31.0615,         13.7719,         12.2921,          8.3325,          0.0890,          2.9421,          6.2972,          4.0189,          6.5470,          4.6864,          6.8892
,        1.166667,          0.9000,          0.9000,          6.8702,          2.3204,          5.0216,          6.8296,          9.7241,         26.2109,         21.9839,         16.0466,          0.9217,          3.2024,          4.9662,          9.5303,          3.9033,          2.8450,          5.4759,          5.2074,         14.3200,         10.6298,         16.6524,         39.3401,         28.9939,         39.5558,          0.9084,         20.9812,         13.8052,          0.0000,         12.4155,          0.6352,          2.3253,          8.0395,          1.0062,          7.7508,          0.0000,          7.2631,          6.9984,          5.8782,          0.1616,          1.1351,          4.6828,          9.1485,         10.4031,         18.5228,          4.7033,          5.6260,         13.0811,          4.4324,          1.4532,          6.3162,         31.3557,         14.0393,         16.3157,         10.1155,          0.0953,          3.1160,          6.3771,          4.1194,          6.5917,          5.0851,          7.4356
,        1.200000,          0.9000,          0.9000,          6.8818,          2.3477,          5.0666,          6.8368,          9.7300,         26.2278,         22.0086,         16.0517,          0.9228,          3.2188,          4.9758,          9.5571,          3.9176,          2.8452,          5.5019,          5.2465,         14.3288,         10.7386,         16.6577,         39.3666,         29.0314,         39.5647,          0.9091,         21.0407,         13.8601,          0.0000,         12.6766,          0.6615,          4.1822,          8.8497,          1.2844,          8.1069,          0.0000,          7.5078,          8.7626,          7.1481,          0.2358,          1.1880,          4.9156,          9.2852,         10.6833,         20.7548,          4.8887,          5.8056,         14.0809,          4.5882,          1.6096,          6.7449,         31.6221,         14.3673,         21.0212,         11.5116,          0.0961,          3.3156,          6.4969,          4.2463,          6.6924,          5.6463,          8.2203
,        1.233333,          0.9000,          0.9000,          6.8913,          2.3809,          5.1142,          6.8453,          9.7350,         26.2448,         22.0342,         16.0625,          0.9241,          3.2288,          4.9872,          9.5806,          3.9317,          2.8453,          5.5429,          5.2918,         14.3378,         10.8748,         16.6635,         39.3881,         29.0742,         39.5725,          0.9096,         21.0936,         13.9255,          0.0000,         12.9369,          0.6884,          7.4123,          9.7255,          1.7862,          8.7350,          0.0000,          7.7046,         10.6641,          8.5827,          0.5910,          1.2313,          5.1170,          9.4614,         11.0256,         23.6435,          5.0882,          5.9852,         14.8561,          4.7417,          1.7686,          7.1753,         31.8859,         14.7164,         25.4969,         12.9138,          0.1041,          3.5000,          6.6552,          4.4090,          6.8842,          6.1939,          8.8443
,        1.266667,          0.9000,          0.9000,          6.8990,          2.4168,          5.1546,          6.8548,          9.7383,         26.2610,         22.0599,         16.0731,          0.9250,          3.2480,          4.9967,          9.5989,          3.9458,          2.8447,          5.5971,          5.3314,         14.3460,         11.0443,         16.6768,         39.4073,         29.1212,         39.5792,          0.9098,         21.1369,         13.9857,          0.0000,         13.2360,          0.7018,         10.9566,         10.5320,          2.0095,          9.2242,          0.0000,          7.8380,         12.6596,          9.8355,          0.5410,          1.2318,          5.2808,          9.6592,         11.4955,         27.2517,          5.5138,          6.1484,         15.1877,          4.8671,          1.9209,          7.6250,         32.1270,         15.0611,         29.3404,         14.1091,          0.1064,          3.6752,          6.8161,          4.5185,          7.1791,          6.7753,          9.5185
,        1.300000,          0.9000,          0.9000,          6.9048,          2.4523,          5.1891,          6.8617,          9.7386,         26.2756,         22.0850,         16.0751,          0.9253,          3.2742,          5.0022,          9.6167,          3.9590,          2.8433,          5.6425,          5.3694,         14.3546,         11.2252,         16.6783,         39.4241,         29.1691,         39.5847,          0.9097,         21.1698,         14.0384,          0.0000,         13.5555,          0.6832,         14.3370,         11.3755,          2.0339,          9.5484,          0.0000,          7.8462,         14.5218,         11.0414,          1.1291,          1.1460,          5.3927,          9.7606,         11.7466,         30.8979,          5.4997,          6.3024,         15.3926,          4.9730,          2.0614,          8.0494,         32.3393,         15.3328,         32.3700,         15.2049,          0.7685,          3.8267,          6.9282,          4.6489,          7.5271,          7.3205,         10.2456
,        1.333333,          0.9000,          0.9000,          6.9073,          2.4863,          5.2199,          6.8651,          9.7356,         26.2890,         22.1100,         16.0749,          0.9257,          3.2941,          5.0055,          9.6372,          3.9686,          2.8422,          5.6883,          5.4230,         14.3614,         11.3959,         16.6834,         39.4386,         29.2154,         39.5896,          0.9098,         21.1942,         14.0887,          0.0000,         13.8722,          0.6604,         17.5192,         12.1395,          2.6841,         10.0045,          0.0000,          7.7161,         16.3069,         12.1351,          0.3592,          1.0497,          5.4343,          9.8739,         12.0801,         33.9807,          5.6291,          6.4004,         15.8276,          5.0792,          2.1972,          8.3516,         32.5449,         15.5797,         34.6499,         16.2626,          1.6762,          3.9450,          7.0179,          4.7714,          7.8618,          7.7972,         11.2255
,        1.366667,          0.9000,          0.9000,          6.9085,          2.5187,          5.2475,          6.8695,          9.7297,         26.3007,         22.1347,         16.0732,          0.9265,          3.3098,          5.0066,          9.6590,          3.9738,          2.8415,          5.7231,          5.4577,         14.3677,         11.5470,         16.6892,         39.4553,         29.2545,         39.5943,          0.9101,         21.2113,         14.1337,          0.0000,         14.1743,          0.6389,         20.4193,         12.7896,          2.8263,         10.4357,          0.0000,          7.4766,         18.0926,         13.1662,          0.0748,          0.9721,          5.4499,         10.0267,         12.6440,         36.8716,          5.7651,          6.4576,         16.1643,          5.1843,          2.3144,          8.5274,         32.7490,         15.8035,         36.2570,         17.2498,          2.0497,          4.0298,          7.0405,          4.8832,          8.1326,          8.0764,         12.0500
,        1.400000,          0.9000,          0.9000,          6.9095,          2.5493,          5.2750,          6.8729,          9.7230,         26.3108,         22.1586,         16.0711,          0.9278,          3.3196,          5.0065,          9.6815,          3.9773,          2.8410,          5.7604,          5.4905,         14.3734,         11.6647,         16.6943,         39.4796,         29.2868,         39.5994,          0.9107,         21.2231,         14.1787,          0.0000,         14.4717,          0.6208,         23.3632,         13.6429,          2.9609,         10.8646,          0.0000,          7.2033,         19.8341,         14.2462,          0.9117,          0.9101,          5.4741,         10.1528,         13.6245,         39.2290,          5.8768,          6.4868,         16.3831,          5.2845,          2.4250,          8.6423,         32.9894,         16.0826,         37.3291,         18.2663,          2.2766,          4.0832,          7.0148,          5.0121,          8.3129,          8.2480,         12.8081
,        1.433333,          0.9000,          0.9000,          6.9106,          2.5777,          5.3030,          6.8775,          9.7165,         26.3196,         22.1815,         16.0712,          0.9295,          3.3321,          5.0054,          9.7086,          3.9810,          2.8406,          5.7743,          5.5146,         14.3786,         11.7447,         16.6988,         39.5106,         29.3126,         39.6057,          0.9114,         21.2312,         14.2184,          0.0000,         14.7731,          0.6081,         26.1833,         14.4946,          3.4121,         11.0783,          0.0000,          6.9396,         21.5379,         15.4027,          1.8983,          0.8663,          5.5012,         10.2438,         14.6627,         41.1649,          5.9530,          6.4893,         16.5649,          5.3810,          2.5180,          8.7747,         33.2999,         16.4306,         37.9930,         19.1057,          2.4544,          4.1088,          6.9235,          5.1179,          8.3832,          8.3491,         13.6073
,        1.466667,          0.9000,          0.9000,          6.9118,          2.6047,          5.3313,          6.8817,          9.7115,         26.3271,         22.2029,         16.0732,          0.9317,          3.3397,          5.0041,          9.7384,          3.9847,          2.8404,          5.8037,          5.5385,         14.3837,         11.8224,         16.7051,         39.5487,         29.3320,         39.6129,          0.9123,         21.2366,         14.2583,          0.0000,         15.1091,          0.5971,         29.2052,         15.4596,          3.7268,         11.2907,          0.0000,          6.7476,         23.2080,         16.5943,          1.7640,          0.8375,          5.5315,         10.2995,         15.8406,         42.5863,          5.9932,          6.4861,         16.7900,          5.4804,          2.5943,          8.9114,         33.6134,         16.8860,         38.3574,         19.8639,          2.6066,          4.1059,          6.7801,          5.2065,          8.3507,          8.4498,         14.3299
,        1.500000,          0.9000,          0.9000,          6.9131,          2.6299,          5.3596,          6.8830,          9.7067,         26.3333,         22.2230,         16.0756,          0.9342,          3.3398,          5.0028,          9.7716,          3.9881,          2.8403,          5.8376,          5.5723,         14.3883,         11.8913,         16.7078,         39.5918,         29.3462,         39.6202,          0.9133,         21.2399,         14.2986,          0.0000,         15.4803,          0.5878,         32.3666,         16.4549,          3.9777,         11.5376,          0.0000,          6.5691,         24.8553,         17.8504,          0.3976,          0.8151,          5.5620,         10.3101,         17.0814,         43.5774,          6.0524,          6.4748,         17.2989,          5.5653,          2.6640,          9.0335,         33.9082,         17.4402,         38.5117,         20.5523,          2.7032,          4.0678,          6.6065,          5.3505,          8.2432,          8.5853,         15.0824
,        1.533333,          0.9000,          0.9000,          6.9150,          2.6539,          5.3861,          6.8829,          9.7030,         26.3393,         22.2421,         16.0790,          0.9371,          3.3417,          5.0020,          9.8057,          3.9917,          2.8406,          5.8668,          5.6267,         14.3936,         11.9524,         16.7114,         39.6329,         29.3561,         39.6274,          0.9146,         21.2418,         14.3382,          0.0000,         15.8954,          0.5877,         35.7426,         17.3057,          4.2841,         11.6197,          0.0000,          6.4295,         26.4930,         18.9852,          1.9422,          0.8112,          5.6184,         10.2999,         18.2882,         44.2718,          6.0696,          6.4769,         18.5254,          5.6690,          2.7365,          9.1591,         34.1731,         18.1066,         38.5497,         21.2108,          2.7715,          4.0254,          6.4268,          5.4458,          8.0859,          8.7134,         15.8257
,        1.566667,          0.9000,          0.9000,          6.9179,          2.6766,          5.4111,          6.8823,          9.7000,         26.3452,         22.2595,         16.0845,          0.9401,          3.3433,          5.0014,          9.8426,          3.9958,          2.8409,          5.8992,          5.7162,         14.4003,         12.0141,         16.7154,         39.6694,         29.3629,         39.6337,          0.9158,         21.2425,         14.3805,          0.0000,         16.3549,          0.5925,         39.4068,         18.1789,          4.5394,         11.6739,          0.0000,          6.3254,         28.0879,         20.0336,          2.2808,          0.8178,          5.6955,         10.2822,         19.1496,         44.7265,          6.0862,          6.4533,         20.7805,          5.7755,          2.7982,          9.3082,         34.3631,         18.8583,         38.5056,         21.9042,          2.8050,          3.9984,          6.2474,          5.5574,          7.8936,          8.8760,         16.5547
,        1.600000,          0.9000,          0.9000,          6.9205,          2.6980,          5.4330,          6.8810,          9.6983,         26.3504,         22.2753,         16.0893,          0.9431,          3.3444,          5.0013,          9.8787,          4.0001,          2.8412,          5.9118,          5.7893,         14.4058,         12.0817,         16.7204,         39.7001,         29.3673,         39.6384,          0.9170,         21.2425,         14.4207,          0.0000,         16.8629,          0.5996,         43.1505,         18.8794,          4.8671,         11.7081,          0.0000,          6.2687,         29.6279,         20.9350,          2.4176,          0.8304,          5.7639,         10.2507,         19.8745,         45.0144,          6.0957,          6.4766,         23.4198,          5.8896,          2.8573,          9.4951,         34.4965,         19.6664,         38.4227,         22.6084,          2.8178,          3.9953,          6.0679,          5.7028,          7.6808,          9.0045,         17.1840
,        1.633333,          0.9000,          0.9000,          6.9229,          2.7182,          5.4525,          6.8793,          9.6979,         26.3550,         22.2899,         16.0963,          0.9460,          3.3452,          5.0016,          9.9168,          4.0061,          2.8413,          5.9322,          5.8821,         14.4134,         12.1383,         16.7253,         39.7280,         29.3701,         39.6421,          0.9180,         21.2422,         14.4601,          0.0000,         17.4320,          0.6044,         46.8988,         19.4049,          5.0555,         11.7320,          0.0000,          6.2541,         31.1188,         21.7133,          2.5526,          0.8401,          5.8231,         10.2174,         20.5276,         45.1978,          6.0915,          6.4531,         26.2769,          6.0544,          2.9130,          9.7132,         34.5900,         20.4781,         38.3369,         23.2897,          2.8222,          4.0163,          5.9364,          6.0065,          7.4643,          9.0874,         17.7829
,        1.666667,          0.9000,          0.9000,          6.9247,          2.7373,          5.4689,          6.8780,          9.6977,         26.3597,         22.3028,         16.1026,          0.9488,          3.3457,          5.0020,          9.9525,          4.0133,          2.8415,          5.9557,          5.9688,         14.4272,         12.1715,         16.7341,         39.7510,         29.3720,         39.6445,          0.9189,         21.2418,         14.4987,          0.0000,         18.0282,          0.6099,         50.5049,         20.1911,          5.2601,         11.7513,          0.0000,          6.2477,         32.5965,         22.3632,          2.4975,          0.8482,          5.8664,         10.1946,         20.9667,         45.3343,          6.0652,          6.4670,         29.6234,          6.3886,          2.9676,          9.9737,         34.6250,         21.2832,         38.2744,         23.9886,          2.8170,          4.0588,          5.8140,          6.3764,          7.2613,          9.1425,         18.3526
,        1.700000,          0.9000,          0.9000,          6.9260,          2.7553,          5.4855,          6.8775,          9.6977,         26.3641,         22.3145,         16.1083,          0.9515,          3.3464,          5.0025,          9.9865,          4.0214,          2.8415,          5.9899,          6.0500,         14.4301,         12.2201,         16.7375,         39.7693,         29.3735,         39.6451,          0.9198,         21.2416,         14.5358,          0.0000,         18.6531,          0.6177,         54.1136,         20.6169,          5.5351,         11.7715,          0.0000,          6.2504,         33.9705,         23.0399,          2.0443,          0.8553,          5.8933,         10.1935,         21.3280,         45.4819,          6.0686,          6.4837,         32.9387,          6.1968,          3.0179,         10.2371,         34.5540,         22.0651,         38.2504,         24.8769,          2.8493,          4.1191,          5.7170,          6.7791,          7.1055,          9.1708,         18.8893
,        1.733333,          0.9000,          0.9000,          6.9267,          2.7720,          5.5001,          6.8784,          9.6979,         26.3683,         22.3251,         16.1124,          0.9542,          3.3470,          5.0030,         10.0209,          4.0286,          2.8416,          6.0066,          6.1319,         14.4529,         12.2641,         16.7424,         39.7852,         29.3752,         39.6434,          0.9207,         21.2417,         14.5723,          0.0000,         19.2768,          1.3271,         57.4185,         21.2862,          5.7914,         11.7921,          0.0000,          6.2591,         35.2846,         23.6259,          2.9101,          0.8610,          5.9076,         10.2208,         21.6462,         45.6766,          6.0531,          6.5058,         36.3219,          7.1360,          3.0729,         10.5056,         34.3826,         22.8286,         38.2691,         25.5736,          2.9730,          4.1873,          5.6604,          6.7997,          6.9852,          9.1802,         19.4402
,        1.766667,          0.9000,          0.9000,          6.9271,          2.7880,          5.5135,          6.8807,          9.6984,         26.3731,         22.3348,         16.1166,          0.9569,          3.3475,          5.0037,         10.0554,          4.0354,          2.8417,          6.0389,          6.2122,         14.4867,         12.3051,         16.7476,         39.7965,         29.3773,         39.6397,          0.9217,         21.2422,         14.6092,          0.0000,         19.8878,          4.4576,         60.5716,         21.5791,          6.0309,         11.8154,          0.0000,          6.2781,         36.5877,         24.1636,          2.7517,          0.8692,          5.9164,         10.2767,         21.9060,         45.9376,          6.0407,          6.4956,         39.6538,          8.1844,          3.1245,         10.7617,         34.1406,         23.5656,         38.3283,         26.2446,          3.2147,          4.2656,          5.6333,          7.0564,          6.8994,          9.1773,         20.1126
,        1.800000,          0.9000,          0.9000,          6.9275,          2.8038,          5.5264,          6.8842,          9.6990,         26.3770,         22.3438,         16.1210,          0.9595,          3.3483,          5.0048,         10.0891,          4.0423,          2.8418,          6.0789,          6.2909,         14.5201,         12.3423,         16.7529,         39.8040,         29.3802,         39.6346,          0.9227,         21.2429,         14.6460,          0.0000,         20.4947,          9.1310,         63.6055,         21.9240,          6.2315,         11.8452,          0.0000,          6.3033,         37.9245,         24.7032,          2.8714,          0.8816,          5.9280,         10.3573,         22.0830,         46.2781,          6.0353,          6.5253,         43.4911,          9.0750,          3.1786,         11.0249,         33.8529,         24.2748,         38.4126,         26.8829,          3.6058,          4.3524,          5.6226,          7.5127,          6.8508,          9.1651,         20.8688
,        1.833333,          0.9000,          0.9000,          6.9281,          2.8201,          5.5375,          6.8886,          9.7002,         26.3821,         22.3520,         16.1245,          0.9622,          3.3492,          5.0061,         10.1157,          4.0505,          2.8420,          6.1243,          6.3715,         14.5663,         12.3783,         16.7585,         39.8109,         29.3837,         39.6277,          0.9236,         21.2436,         14.6777,          0.0000,         21.0972,         14.7269,         66.5922,         22.2010,          6.3913,         11.8782,          0.0000,          6.3422,         39.3694,         25.1091,          2.9817,          0.8947,          5.9454,         10.4523,         22.1862,         46.6673,          6.0195,          6.5768,         47.0825,         10.8811,          3.2288,         11.3159,         33.4926,         24.9548,         38.4990,         27.5705,          4.0514,          4.4441,          5.6276,          8.1757,          6.8328,          9.1510,         21.7985
,        1.866667,          0.9000,          0.9000,          6.9290,          2.8369,          5.5479,          6.8934,          9.7020,         26.3862,         22.3595,         16.1280,          0.9649,          3.3503,          5.0078,         10.1438,          4.0574,          2.8421,          6.1769,          6.4544,         14.7150,         12.4122,         16.7627,         39.8156,         29.3876,         39.6197,          0.9246,         21.2443,         14.7104,          0.0000,         21.6909,         21.1821,         69.4026,         22.5641,          6.5870,         11.9203,          0.0000,          6.4138,         40.8816,         25.5444,          3.0931,          0.9057,          5.9767,         10.5550,         22.2724,         47.0640,          6.0137,          6.5766,         50.2711,         16.8173,          3.2815,         11.5753,         33.1154,         25.6169,         38.5673,         28.1365,          4.5282,          4.5594,          5.6507,          8.6988,          6.8406,          9.1415,         22.9017
,        1.900000,          0.9000,          0.9000,          6.9301,          2.8535,          5.5584,          6.8985,          9.7040,         26.3906,         22.3664,         16.1492,          0.9676,          3.3515,          5.0095,         10.1685,          4.0640,          2.8422,          6.2261,          6.5320,         14.9003,         12.4606,         16.7668,         39.8188,         29.3920,         39.6111,          0.9255,         21.2447,         14.7445,          0.0000,         22.2806,         27.2878,         72.3596,         22.7782,          6.7575,         11.9668,          0.0000,          6.4856,         42.3377,         26.0030,          3.1827,          0.9146,          6.0056,         10.6675,         22.3504,         47.5704,          6.0183,          6.6474,         53.8263,         23.8513,          3.3326,         11.8485,         32.7574,         26.2599,         38.5972,         28.7768,          4.9316,          4.7314,          5.6853,          9.1368,          6.8703,          9.1393,         24.2129
,        1.933333,          0.9000,          0.9000,          6.9316,          2.8691,          5.5683,          6.9044,          9.7057,         26.3949,         22.3728,         16.1543,          0.9703,          3.3529,          5.0108,         10.1914,          4.0716,          2.8422,          6.2782,          6.6071,         15.0549,         12.4948,         16.7706,         39.8216,         29.3965,         39.6026,          0.9265,         21.2448,         14.7817,          0.0000,         22.8663,         33.3027,         75.4211,         23.0098,          6.9184,         12.0147,          0.0000,          6.5484,         43.7088,         26.4263,          3.3023,          0.9214,          6.0484,         10.7940,         22.4219,         48.0352,          6.0104,          6.6807,         57.3002,         30.7871,          3.3837,         12.1035,         32.4354,         26.8896,         38.5774,         29.3143,          5.3231,          5.0316,          5.7270,          9.4082,          6.9176,          9.1469,         25.1703
,        1.966667,          0.9000,          0.9000,          6.9334,          2.8836,          5.5780,          6.9106,          9.7070,         26.3991,         22.3786,         16.1587,          0.9730,          3.3544,          5.0126,         10.2132,          4.0798,          2.8422,          6.3300,          6.6799,         15.1690,         12.5292,         16.7758,         39.8242,         29.4008,         39.5947,          0.9275,         21.2443,         14.8184,          0.0000,         23.4323,         38.2535,         78.5736,         23.4096,          7.0759,         12.0684,          0.0000,          6.5995,         45.0156,         26.8353,          3.3896,          0.9271,          6.1003,         10.9389,         22.4856,         48.4485,          6.0176,          6.6898,         60.9106,         36.9586,          3.4346,         12.3357,         32.1521,         27.5078,         38.4996,         29.8286,          5.6803,          5.4941,          5.7740,          9.5955,          6.9778,          9.1659,         26.2082
,        2.000000,          0.9000,          0.9000,          6.9356,          2.8969,          5.5875,          6.9122,          9.7083,         26.4032,         22.3839,         16.1621,          0.9757,          3.3560,          5.0137,         10.2338,          4.0888,          2.8422,          6.3774,          6.7576,         15.2530,         12.5649,         16.7795,         39.8265,         29.4046,         39.5878,          0.9284,         21.2434,         14.8560,          0.0000,         23.9992,         41.9132,         81.8051,         23.6712,          7.2200,         12.1242,          0.0000,          6.6476,         46.2274,         27.2461,          3.4776,          0.9315,          6.1588,         11.0651,         22.5497,         48.7961,          6.0221,          6.7257,         64.1548,         41.6751,          3.4835,         12.5470,         31.9385,         28.1111,         38.3626,         30.3719,          6.0226,          6.1187,          5.8228,          9.8278,          7.0470,          9.1949,         27.2968
