Time (h),72,9
60.5,1.462,0.192
60.75,1.462,0.192
61,1.462,0.192
61.25,1.551,0.188
61.5,1.551,0.188
61.75,1.551,0.188
62,1.551,0.188
62.25,1.514,0.178
62.5,1.514,0.178
62.75,1.514,0.178
63,1.514,0.178
63.25,1.492,0.178
63.5,1.492,0.178
63.75,1.462,0.178
64,1.462,0.178
64.25,1.412,0.173
64.5,1.412,0.173
64.75,1.412,0.173
65,1.398,0.173
65.25,1.384,0.171
65.5,1.363,0.171
65.75,1.328,0.171
66,1.328,0.171
66.25,1.254,0.173
66.5,1.254,0.173
66.75,1.254,0.173
67,1.254,0.173
67.25,1.18,0.182
67.5,1.18,0.182
67.75,1.18,0.182
68,1.18,0.182
68.25,1.133,0.235
68.5,1.133,0.29
68.75,1.107,0.29
69,1.107,0.29
69.25,1.061,0.308
69.5,1.061,0.308
69.75,1.061,0.308
70,1.061,0.308
70.25,1.005,0.293
70.5,1.005,0.293
70.75,1.005,0.293
71,1.005,0.293
71.25,0.968,0.239
71.5,0.968,0.239
71.75,0.968,0.239
72,0.968,0.239
72.25,0.932,0.196
72.5,0.932,0.196
72.75,0.932,0.196
73,0.932,0.196
73.25,0.902,0.176
73.5,0.902,0.176
73.75,0.902,0.176
74,0.902,0.176
74.25,0.896,0.171
74.5,0.896,0.171
74.75,0.896,0.171
75,0.896,0.171
75.25,0.908,0.167
75.5,0.908,0.167
75.75,0.908,0.167
76,0.908,0.167
76.25,0.956,0.163
76.5,0.956,0.163
76.75,0.956,0.163
77,0.956,0.163
77.25,0.992,0.165
77.5,0.992,0.165
77.75,0.992,0.165
78,0.992,0.165
78.25,1.011,0.161
78.5,1.011,0.161
78.75,1.011,0.161
79,1.011,0.161
79.25,1.005,0.16
79.5,1.005,0.16
79.75,1.005,0.16
80,1.005,0.16
80.25,0.986,0.156
80.5,0.986,0.156
80.75,0.986,0.156
81,0.986,0.156
81.25,0.962,0.158
81.5,0.962,0.158
81.75,0.962,0.158
82,0.962,0.158
